max schd: 0.026021, max dp: 0.013875, max job: 237
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,14864968,14864968,1.0003,1.0003,1.0003,1.00503,1,1,1,1,1,1,1.96339,0,1,1,0,0,0,0,0,VGG19,1,32,876,14860528,1
Job2,5000,5000,14320702,14320702,1.00015,1.00015,1.00015,1.00471,1,1,1,1,1,1,2,0,1,1,0,0,0,0,0,ResNet50,1,128,875,14318568,1
Job3,44085000,44085000,236610,236610,1.00021,1.00021,1.00021,1.42057,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,VGG19,1,32,36,236560,1
Job4,44474000,44474000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,6.52351,0,1,1,0,0,0,0,0,ResNet50,1,128,7,211944,1
Job5,44483000,44483000,9933312,9933312,1.0003,1.0003,1.0003,1.0074,1,1,1,1,1,1,3.0364,0,1,1,0,0,0,0,0,VGG19,1,32,870,9930352,1
Job6,44483000,44483000,215507,215507,1.00009,1.00009,1.00009,2.2569,1,1,1,1,1,1,6.66552,0,1,1,0,0,0,0,0,GNMT,1,64,17,215488,1
Job7,44483000,44483000,241578,241578,1.00047,1.00047,1.00047,1.45123,1,1,1,1,1,1,6.37786,0,1,1,0,0,0,0,0,ResNeXt,1,32,73,241464,1
Job8,44489000,44489000,11160990,11160990,1.00068,1.00068,1.00068,1.00374,1,1,1,1,1,1,2.81078,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,872,11153360,1
Job9,44491000,44491000,9470824,9470824,1.00015,1.00015,1.00015,1.00706,1,1,1,1,1,1,3.08511,0,1,1,0,0,0,0,0,ResNet50,1,128,869,9469416,1
Job10,44491000,44491000,169966,169966,1.00018,1.00018,1.00018,1.70075,1,1,1,1,1,1,7,0,1,1,0,0,0,0,0,VGG19,1,32,4,169936,1
Job11,224977000,224977000,13095125,13095125,1.00002,1.00002,1.00002,1.0027,1,1,1,1,1,1,4.44632,0,1,1,0,0,0,0,0,BERTLARGE,1,128,873,13094840,1
Job12,224982000,224982000,13198868,13198868,1.0003,1.0003,1.0003,1.00563,1,1,1,1,1,1,4.41923,0,1,1,0,0,0,0,0,VGG19,1,32,874,13194928,1
Job13,224993000,224993000,5208810,5208810,1.00015,1.00015,1.00015,1.01279,1,1,1,1,1,1,6.38483,0,1,1,0,0,0,0,0,ResNet50,1,128,864,5208040,1
Job14,224993000,224993000,169966,169966,1.00018,1.00018,1.00018,1.70075,1,1,1,1,1,1,13.7764,0,1,1,0,0,0,0,0,VGG19,1,32,3,169936,1
Job15,224993000,224993000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,11.6903,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,543,351696,1
Job16,224995000,224995000,8299764,8299764,1.00068,1.00068,1.00068,1.0048,1,1,1,1,1,1,5.54435,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,867,8294096,1
Job17,224995000,224995000,264125,264125,1.00002,1.00002,1.00002,1.15278,1,1,1,1,1,1,12.9396,0,1,1,0,0,0,0,0,BERTLARGE,1,128,133,264120,1
Job18,224995000,224995000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,11.7017,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,483,351696,1
Job19,224997000,224997000,215507,215507,1.00009,1.00009,1.00009,2.2569,1,1,1,1,1,1,13.7305,0,1,1,0,0,0,0,0,GNMT,1,64,14,215488,1
Job20,224997000,224997000,215507,215507,1.00009,1.00009,1.00009,2.2569,1,1,1,1,1,1,13.7305,0,1,1,0,0,0,0,0,GNMT,1,64,16,215488,1
Job21,224998000,224998000,5601452,5601452,1.0003,1.0003,1.0003,1.01296,1,1,1,1,1,1,6.2858,0,1,1,0,0,0,0,0,VGG19,1,32,865,5599792,1
Job22,224999000,224999000,10912291,10912291,1.0002,1.0002,1.0002,1.01132,1,1,1,1,1,1,4.93292,0,1,1,0,0,0,0,0,GNMT,1,64,871,10910144,1
Job23,224999000,224999000,236610,236610,1.00021,1.00021,1.00021,1.42057,1,1,1,1,1,1,13.3935,0,1,1,0,0,0,0,0,VGG19,1,32,31,236560,1
Job24,225000000,225000000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,13.7688,0,1,1,0,0,0,0,0,ResNet50,1,128,6,211944,1
Job25,291261000,291261000,368172788,368172788,1.00035,1.00035,1.00035,1.00068,1,1,1,1,1,4,2.16338,0,1,1,0,0,0,0,0,GNMT,4,16,1370,368042208,0.259
Job26,343901000,343901000,203978992,203978992,1,1,1,1.00034,1,1,1,1,1,4,2.99997,0,1,1,0,0,0,0,0,VGG19,4,8,1247,203978992,0.258
Job27,343908000,343908000,224346940,224346940,1.0005,1.0005,1.0005,1.00066,1,1,1,1,1,4,2.90918,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,1273,224233936,0.26
Job28,810547000,810547000,99813995,99813995,1.0005,1.0005,1.0005,1.00084,1,1,1,1,1,4,2.83813,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,1062,99763728,0.26
Job29,810587000,810587000,86416624,86416624,1,1,1,1.00081,1,1,1,1,1,4,2.99639,0,1,1,0,0,0,0,0,VGG19,4,8,1029,86416624,0.258
Job30,810899000,810899000,97054080,97054080,1.00055,1.00055,1.00055,1.00133,1,1,1,1,1,4,2.88718,0,1,1,0,0,0,0,0,ResNeXt,4,8,1057,97000648,0.253
