Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,14877175,14877175,1,1,1,1.01145,1,1,1,0,1.97712,0,VGG19,1,877,14877175
Job2,5000,5000,14536858,14536858,1,1,1,1.0038,1,1,1,0,2,0,ResNet50,1,875,14536858
Job3,44085000,44085000,313547,313547,1,1,1,2.15971,1,1,1,0,1,0,VGG19,1,484,313547
Job4,44474000,44474000,182857,182857,1,1,1,1.43017,1,1,1,0,6.58437,0,ResNet50,1,6,182857
Job5,44483000,44483000,9977350,9977350,1,1,1,1.01716,1,1,1,0,3.04548,0,VGG19,1,870,9977350
Job6,44483000,44483000,269456,269456,1,1,1,3.87952,1,1,1,0,6.24739,0,GNMT,1,396,269456
Job7,44483000,44483000,207870,207870,1,1,1,1.31964,1,1,1,0,6.73054,0,ResNeXt,1,46,207870
Job8,44489000,44489000,11369066,11369066,1,1,1,1.00405,1,1,1,0,2.7935,0,GPT2_SMALL,1,872,11369066
Job9,44491000,44491000,9548089,9548089,1,1,1,1.00579,1,1,1,0,3.0906,0,ResNet50,1,868,9548089
Job10,44491000,44491000,237846,237846,1,1,1,3.42328,1,1,1,0,6.53766,0,VGG19,1,209,237846
Job11,224977000,224977000,13569022,13569022,1,1,1,1.00533,1,1,1,0,4.3104,0,BERTLARGE,1,874,13569022
Job12,224982000,224982000,13236641,13236641,1,1,1,1.01288,1,1,1,0,4.39352,0,VGG19,1,873,13236641
Job13,224993000,224993000,5238487,5238487,1,1,1,1.01061,1,1,1,0,6.32277,0,ResNet50,1,864,5238487
Job14,224993000,224993000,250290,250290,1,1,1,3.05519,1,1,1,0,12.2864,0,VGG19,1,292,250290
Job15,224993000,224993000,135854,135854,1,1,1,1.50902,1,1,1,0,13.6977,0,GPT2_SMALL,1,4,135854
Job16,224995000,224995000,8427306,8427306,1,1,1,1.00547,1,1,1,0,5.49279,0,GPT2_SMALL,1,867,8427306
Job17,224995000,224995000,149770,149770,1,1,1,1.92338,1,1,1,0,13.6334,0,BERTLARGE,1,5,149770
Job18,224995000,224995000,130782,130782,1,1,1,1.53941,1,1,1,0,13.8471,0,GPT2_SMALL,1,3,130782
Job19,224997000,224997000,275244,275244,1,1,1,3.65802,1,1,1,0,12.0195,0,GNMT,1,415,275244
Job20,224997000,224997000,273797,273797,1,1,1,3.71014,1,1,1,0,12.0408,0,GNMT,1,412,273797
Job21,224998000,224998000,5647875,5647875,1,1,1,1.03073,1,1,1,0,6.22494,0,VGG19,1,865,5647875
Job22,224999000,224999000,10664704,10664704,1,1,1,1.01911,1,1,1,0,4.96747,0,GNMT,1,871,10664704
Job23,224999000,224999000,305251,305251,1,1,1,2.23,1,1,1,0,11.5032,0,VGG19,1,475,305251
Job24,225000000,225000000,182857,182857,1,1,1,1.43017,1,1,1,0,13.1843,0,ResNet50,1,7,182857
Job25,291261000,291261000,339476336,339476336,1,1,1,1.00059,1,1,1,0,2.38147,0,GNMT,4,1347,339476336
Job26,343901000,343901000,229806493,229806493,1,1,1,1.00106,1,1,1,0,2.99997,0,VGG19,4,1272,229806493
Job27,343908000,343908000,239170972,239170972,1,1,1,1.00019,1,1,1,0,2.96082,0,GPT2_SMALL,4,1278,239170972
Job28,810547000,810547000,106407364,106407364,1,1,1,1.00043,1,1,1,0,2.82344,0,GPT2_SMALL,4,1072,106407364
Job29,810587000,810587000,97452833,97452833,1,1,1,1.0025,1,1,1,0,2.99099,0,VGG19,4,1053,97452833
Job30,810899000,810899000,96574913,96574913,1,1,1,1.00083,1,1,1,0,3,0,ResNeXt,4,1050,96574913
Job31,960915000,960915000,178955989,110234600,0.316723,0.31301,0.313023,0.313049,3.16414,1,1,2,103.949,0,ResNet50,2,1077,110053552
Job32,960919000,960919000,101100560,101041560,0.181811,0.1803,0.180311,0.180323,5.51321,1,1,2,111.247,0,ResNet50,2,1058,100860592
Job33,960922000,960922000,667887584,251970557,0.79518,0.724527,0.724536,0.724581,1.25826,1,1,1,73.2086,0,BERTLARGE,2,1286,251881513
Job34,960927000,960927000,369657188,175834432,0.484729,0.469328,0.469336,0.469364,2.0645,1,1,1,89.6513,0,ResNeXt,2,1197,175753617
Job35,960931000,960931000,390863052,183738084,0.499892,0.482314,0.482321,0.482341,2.00152,1,1,1,88.2583,0,GPT2_SMALL,2,1217,183673046
Job36,960934000,960934000,3351005054,490719690,1.74076,1.36412,1.52379,1.36414,0.574809,0.549496,0.0989917,4,89.6832,0,GPT2_SMALL,2,1414,490457186
Job37,960939000,960939000,785690993,271944512,0.962696,0.849885,0.849891,0.84995,1.03927,1,1,1,68.0238,0,ResNet50,2,1303,271854512
Job38,960943000,960943000,743428785,263671397,0.906653,0.808978,0.808983,0.809031,1.10346,1,1,1,69.7381,0,ResNeXt,2,1296,263591070
Job39,960947000,960947000,4551499626,757718166,1.90055,1.31076,1.55484,1.31083,0.527333,0.866281,0.732561,7,77.4395,0,GNMT,2,1432,756174672
Job40,960951000,960951000,432165780,196494155,0.537361,0.514704,0.514707,0.514837,1.86475,1,1,1,85.6372,0,VGG19,2,1236,196257155
Job41,960954000,960954000,303631714,158131172,0.418326,0.408555,0.408558,0.408588,2.39241,1,1,1,94.0716,0,ResNeXt,2,1162,158050338
Job42,960957000,960957000,1975767228,440893601,1.29133,1.00497,1.17755,1.00507,0.776197,0.544359,0.088718,4,76.2899,0,GNMT,2,1399,440013081
Job43,960961000,960961000,466541151,209746295,0.558241,0.531969,0.531971,0.532006,1.79241,1,1,1,83.6756,0,ResNeXt,2,1247,209665968
Job44,960964000,960964000,519397847,215996133,0.629966,0.595649,0.595651,0.595786,1.59009,1,1,1,80.8795,0,GNMT,2,1260,215776133
Job45,960968000,960968000,3858609040,567314370,1.85905,1.39441,1.60833,1.39444,0.538636,0.503038,0.00607633,9,84.6935,0,ResNeXt,2,1426,566591658
Job46,960972000,960972000,640521044,249791992,0.749026,0.688111,0.688112,0.688163,1.33582,1,1,1,74.5715,0,ResNet50,2,1284,249701424
Job47,960976000,960976000,729047000,262741849,0.881775,0.789768,0.789768,0.789939,1.13562,1,1,1,70.3654,0,GNMT,2,1295,262520849
Job48,960984000,960984000,791816533,272921450,0.966874,0.854357,0.854357,0.854398,1.03462,1,1,1,67.9411,0,GPT2_SMALL,2,1304,272855828
Job49,960987000,960987000,804775666,280285686,0.959092,0.848895,0.848895,0.849089,1.04407,1,1,1,67.7414,0,VGG19,2,1309,280048847
Job50,960991000,960991000,4607528391,788834887,1.87346,1.28065,1.52133,1.28067,0.534128,0.885386,0.770773,6,76.8387,0,ResNeXt,2,1433,788351757
Job51,960994000,961014000,1088555907,341311098,0.990912,0.926129,0.859709,0.926183,1.01063,0.878843,0.757685,5,74.3037,0,BERTLARGE,2,1348,340865189
Job52,960998000,1573647824,1146018747,341284427,1.02509,0.939576,0.889659,0.939628,0.976172,0.854249,0.708499,2,75.5391,0,BERTLARGE,2,1350,341106705
Job53,961002000,4752505706,4761524481,855409676,1.85411,1.23979,1.47952,1.23981,0.539621,0.523729,0.0474576,5,75.2849,0,ResNeXt,2,1435,855007467
Job54,961006000,961026000,39268159,39248159,0.171816,0.170937,0.170937,0.171098,5.84692,1,1,0,117.6,0,VGG19,2,912,39248159
Job55,961009000,961029000,39578384,39558384,0.171231,0.170401,0.170401,0.170452,5.84866,1,1,0,117.602,0,ResNet50,2,914,39558384
Job56,961013000,961033000,149030965,101046149,0.279012,0.276929,0.276929,0.276964,3.59237,1,1,2,106.763,0,BERTLARGE,2,1059,100868145
Job57,961016000,961036000,47388176,47368176,0.171469,0.170836,0.170836,0.170864,5.83656,1,1,0,117.213,0,GPT2_SMALL,2,929,47368176
Job58,961019000,961039000,47211040,47191040,0.171884,0.171277,0.171277,0.171401,5.83837,1,1,0,117.231,0,GNMT,2,928,47191040
Job59,961024000,961044000,207136968,122447575,0.338818,0.33449,0.33449,0.334607,2.96135,1,1,1,101.487,0,VGG19,2,1110,122210897
Job60,961028000,961048000,84270698,84169698,0.177576,0.176985,0.176985,0.177002,5.64694,1,1,3,113.452,0,GPT2_SMALL,2,1024,83974746
Job61,961031000,961051000,80717994,80635994,0.176725,0.176184,0.176184,0.176201,5.67031,1,1,2,113.871,0,GPT2_SMALL,2,1012,80504942
Job62,961034000,1234826610,485537505,211744895,0.584002,0.55521,0.55521,0.555347,1.71363,1,1,0,82.6646,0,VGG19,2,1252,211744895
Job63,961038000,961058000,145219743,98151167,0.279196,0.277306,0.277306,0.27742,3.59682,1,1,1,107.16,0,VGG19,2,1054,97914650
Job64,961041000,961065000,190250549,113063752,0.330968,0.32741,0.32741,0.327449,3.02782,1,1,2,103.005,0,ResNet50,2,1087,112881968
Job65,961045000,1534298926,867599643,294345717,0.995136,0.88573,0.88573,0.885785,1.00502,1,1,0,66.5659,0,ResNeXt,2,1317,294345717
