Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,14877175,14877175,1,1,1,1.01145,1,1,1,0,1.97712,0,VGG19,1,877,14877175
Job2,5000,5000,14536858,14536858,1,1,1,1.0038,1,1,1,0,2,0,ResNet50,1,875,14536858
Job3,44085000,44085000,313547,313547,1,1,1,2.15971,1,1,1,0,1,0,VGG19,1,484,313547
Job4,44474000,44474000,182857,182857,1,1,1,1.43017,1,1,1,0,6.58437,0,ResNet50,1,6,182857
Job5,44483000,44483000,9977350,9977350,1,1,1,1.01716,1,1,1,0,3.04548,0,VGG19,1,870,9977350
Job6,44483000,44483000,269456,269456,1,1,1,3.87952,1,1,1,0,6.24739,0,GNMT,1,396,269456
Job7,44483000,44483000,207870,207870,1,1,1,1.31964,1,1,1,0,6.73054,0,ResNeXt,1,46,207870
Job8,44489000,44489000,11369066,11369066,1,1,1,1.00405,1,1,1,0,2.7935,0,GPT2_SMALL,1,872,11369066
Job9,44491000,44491000,9548089,9548089,1,1,1,1.00579,1,1,1,0,3.0906,0,ResNet50,1,868,9548089
Job10,44491000,44491000,237846,237846,1,1,1,3.42328,1,1,1,0,6.53766,0,VGG19,1,209,237846
Job11,224977000,224977000,13569022,13569022,1,1,1,1.00533,1,1,1,0,4.3104,0,BERTLARGE,1,874,13569022
Job12,224982000,224982000,13236641,13236641,1,1,1,1.01288,1,1,1,0,4.39352,0,VGG19,1,873,13236641
Job13,224993000,224993000,5238487,5238487,1,1,1,1.01061,1,1,1,0,6.32277,0,ResNet50,1,864,5238487
Job14,224993000,224993000,250290,250290,1,1,1,3.05519,1,1,1,0,12.2864,0,VGG19,1,292,250290
Job15,224993000,224993000,135854,135854,1,1,1,1.50902,1,1,1,0,13.6977,0,GPT2_SMALL,1,4,135854
Job16,224995000,224995000,8427306,8427306,1,1,1,1.00547,1,1,1,0,5.49279,0,GPT2_SMALL,1,867,8427306
Job17,224995000,224995000,149770,149770,1,1,1,1.92338,1,1,1,0,13.6334,0,BERTLARGE,1,5,149770
Job18,224995000,224995000,130782,130782,1,1,1,1.53941,1,1,1,0,13.8471,0,GPT2_SMALL,1,3,130782
Job19,224997000,224997000,275244,275244,1,1,1,3.65802,1,1,1,0,12.0195,0,GNMT,1,415,275244
Job20,224997000,224997000,273797,273797,1,1,1,3.71014,1,1,1,0,12.0408,0,GNMT,1,412,273797
Job21,224998000,224998000,5647875,5647875,1,1,1,1.03073,1,1,1,0,6.22494,0,VGG19,1,865,5647875
Job22,224999000,224999000,10664704,10664704,1,1,1,1.01911,1,1,1,0,4.96747,0,GNMT,1,871,10664704
Job23,224999000,224999000,305251,305251,1,1,1,2.23,1,1,1,0,11.5032,0,VGG19,1,475,305251
Job24,225000000,225000000,182857,182857,1,1,1,1.43017,1,1,1,0,13.1843,0,ResNet50,1,7,182857
Job25,291261000,291261000,339476336,339476336,1,1,1,1.00059,1,1,1,0,2.38147,0,GNMT,4,1347,339476336
Job26,343901000,343901000,229806493,229806493,1,1,1,1.00106,1,1,1,0,2.99997,0,VGG19,4,1272,229806493
Job27,343908000,343908000,239170972,239170972,1,1,1,1.00019,1,1,1,0,2.96082,0,GPT2_SMALL,4,1278,239170972
Job28,810547000,810547000,106407364,106407364,1,1,1,1.00043,1,1,1,0,2.82344,0,GPT2_SMALL,4,1072,106407364
Job29,810587000,810587000,97452833,97452833,1,1,1,1.0025,1,1,1,0,2.99099,0,VGG19,4,1053,97452833
Job30,810899000,810899000,96574913,96574913,1,1,1,1.00083,1,1,1,0,3,0,ResNeXt,4,1050,96574913
Job31,960915000,960915000,192590025,110144592,0.343014,0.338681,0.338694,0.338723,2.91923,1,1,1,103.389,0,ResNet50,2,1077,110053552
Job32,960919000,960919000,176049092,100950768,0.336777,0.333026,0.333038,0.33307,2.97365,1,1,1,104.88,0,ResNet50,2,1058,100860592
Job33,960922000,960922000,682796427,251969981,0.822287,0.745045,0.745054,0.745101,1.21678,1,1,1,72.7817,0,BERTLARGE,2,1286,251881513
Job34,960927000,960927000,373727604,175833794,0.489376,0.473408,0.473415,0.473444,2.04489,1,1,1,89.8574,0,ResNeXt,2,1197,175753617
Job35,960931000,960931000,389377273,183738674,0.495113,0.47758,0.477586,0.477606,2.02084,1,1,1,88.7945,0,GPT2_SMALL,2,1217,183673046
Job36,960934000,960934000,1286485576,490718854,0.715997,0.609638,0.568505,0.609651,1.39749,0.72175,0.443501,4,92.2848,0,GPT2_SMALL,2,1414,490457186
Job37,960939000,960939000,789231717,271944784,0.965061,0.851122,0.851128,0.851186,1.03673,1,1,1,68.2311,0,ResNet50,2,1303,271854512
Job38,960943000,960943000,738412380,263671639,0.894493,0.797972,0.797977,0.798024,1.11847,1,1,1,70.2229,0,ResNeXt,2,1296,263591070
Job39,960947000,960947000,2836507846,757941621,0.817223,0.66713,0.656389,0.667161,1.22677,0.936489,0.872977,8,114.321,0,GNMT,2,1432,756174672
Job40,960951000,960951000,435610446,196493755,0.541063,0.517619,0.517622,0.517752,1.85199,1,1,1,85.8337,0,VGG19,2,1236,196257155
Job41,960954000,960954000,310088376,158130779,0.427182,0.416891,0.416893,0.416925,2.34281,1,1,1,94.151,0,ResNeXt,2,1162,158050338
Job42,960957000,960957000,1178716136,440895756,0.761897,0.668134,0.606537,0.66821,1.31557,1,1,4,88.3627,0,GNMT,2,1399,440013081
Job43,960961000,960961000,484808919,209746357,0.586384,0.556899,0.556901,0.556937,1.70638,1,1,1,83.0595,0,ResNeXt,2,1247,209665968
Job44,960964000,960964000,541912254,215996515,0.66749,0.627976,0.627977,0.628121,1.5007,1,1,1,80.0413,0,GNMT,2,1260,215776133
Job45,960968000,960968000,2032975304,567637253,0.911297,0.687691,0.766932,0.687705,1.09945,0.777445,0.55489,13,93.5775,0,ResNeXt,2,1426,566591658
Job46,960972000,960972000,636165505,249792232,0.738499,0.678572,0.678572,0.678622,1.35486,1,1,1,75.1056,0,ResNet50,2,1284,249701424
Job47,960976000,960976000,727029674,262741903,0.875577,0.783539,0.783539,0.783708,1.14366,1,1,1,70.7286,0,GNMT,2,1295,262520849
Job48,960984000,960984000,796917722,272921534,0.971238,0.857536,0.857536,0.857577,1.02998,1,1,1,68.1253,0,GPT2_SMALL,2,1304,272855828
Job49,960987000,960987000,812193333,280285462,0.966234,0.8548,0.8548,0.854995,1.03636,1,1,1,67.8934,0,VGG19,2,1309,280048847
Job50,960991000,960991000,2951893132,788673399,0.800751,0.656536,0.642454,0.656545,1.24941,0.631546,0.263091,4,116.572,0,ResNeXt,2,1433,788351757
Job51,960994000,1565672763,946923669,341044906,0.893133,0.799589,0.762819,0.799635,1.1204,1,1,2,72.8456,0,BERTLARGE,2,1348,340865189
Job52,960998000,1570164925,951652185,341285260,0.894296,0.800757,0.761881,0.800803,1.11894,1,1,2,73.2477,0,BERTLARGE,2,1350,341106705
Job53,961002000,1838135000,3153715907,855168816,0.769745,0.634313,0.621127,0.634321,1.29945,0.738656,0.477313,2,118.776,0,ResNeXt,2,1435,855007467
Job54,961006000,962135000,40377159,39248159,0.176627,0.175748,0.175748,0.175914,5.68765,1,1,0,117.611,0,VGG19,2,912,39248159
Job55,961009000,962135000,40684384,39558384,0.175976,0.175146,0.175146,0.175199,5.69094,1,1,0,117.613,0,ResNet50,2,914,39558384
Job56,961013000,963335000,157279597,100957597,0.294507,0.292312,0.292312,0.292349,3.40039,1,1,1,106.743,0,BERTLARGE,2,1059,100868145
Job57,961016000,962735000,49087176,47368176,0.177555,0.176923,0.176923,0.176952,5.63649,1,1,0,117.238,0,GPT2_SMALL,2,929,47368176
Job58,961019000,962735000,48907040,47191040,0.178001,0.177394,0.177394,0.177523,5.63775,1,1,0,117.255,0,GNMT,2,928,47191040
Job59,961024000,1044439942,205626839,122210897,0.333816,0.329642,0.329642,0.329756,2.99992,1,1,0,102.23,0,VGG19,2,1110,122210897
Job60,961028000,963935000,86881746,83974746,0.182691,0.182122,0.182122,0.182139,5.47612,1,1,0,113.668,0,GPT2_SMALL,2,1024,83974746
Job61,961031000,963935000,83408942,80504942,0.182321,0.181792,0.181792,0.181809,5.48735,1,1,0,114.037,0,GPT2_SMALL,2,1012,80504942
Job62,961034000,1215277876,465988771,211744895,0.549905,0.523818,0.523818,0.523945,1.81989,1,1,0,84.0912,0,VGG19,2,1252,211744895
Job63,961038000,964535000,155500729,98151398,0.299719,0.297619,0.297619,0.297742,3.35054,1,1,1,106.914,0,VGG19,2,1054,97914650
Job64,961041000,966935000,163758280,112972464,0.275676,0.273532,0.273532,0.273564,3.63218,1,1,1,106.125,0,ResNet50,2,1087,112881968
Job65,961045000,1530760962,864061679,294345717,0.985895,0.87669,0.87669,0.876744,1.01444,1,1,0,66.9781,0,ResNeXt,2,1317,294345717
