max schd: 0.020347, max dp: 0.00091, max job: 64
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,943113500,943113500,1.00002,0.773186,1.00002,0.773209,1,1,1,1,1,1,7.50565,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1990,943092920,1
Job2,219316000,219316000,1942609894,1942609894,0.843489,0.815124,0.769334,0.81515,1.20086,0.619034,0.253941,85,1.13871,3.72258,8.48837,0,85,1,0,870,870,0,0,ResNeXt,4,8,1991,1784855088,0.253
Job3,251674000,251674000,22718375,22718375,1.00002,1.00002,1.00002,1.00156,1,1,1,1,1,1,10.5538,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1441,22717880,1
Job4,251699000,251699000,22718375,22718375,1.00002,1.00002,1.00002,1.00156,1,1,1,1,1,1,10.556,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1442,22717880,1
Job5,256418000,256418000,11199548,11199548,1.0003,1.0003,1.0003,1.00659,1,1,1,1,1,1,12.8487,0,1,1,0,0,0,0,0,VGG19,1,32,1264,11196208,1
Job6,256458000,256458000,11796818,11796818,1.00068,1.00068,1.00068,1.00358,1,1,1,1,1,1,12.9915,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,1276,11788752,1
Job7,256459000,256459000,14320702,14320702,1.00015,1.00015,1.00015,1.00471,1,1,1,1,1,1,13.1898,0,1,1,0,0,0,0,0,ResNet50,1,128,1287,14318568,1
Job8,258863000,258863000,11033000,11033000,1.00002,1.00002,1.00002,1.0032,1,1,1,1,1,1,14.54,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1255,11032760,1
Job9,258886000,258886000,11160990,11160990,1.00068,1.00068,1.00068,1.00374,1,1,1,1,1,1,14.5462,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,1263,11153360,1
Job10,258888000,258888000,14446050,14446050,1.0002,1.0002,1.0002,1.00858,1,1,1,1,1,1,13.518,0,1,1,0,0,0,0,0,GNMT,1,64,1292,14443200,1
Job11,259585000,259585000,11234416,11234416,1.00015,1.00015,1.00015,1.00597,1,1,1,1,1,1,14.7194,0,1,1,0,0,0,0,0,ResNet50,1,128,1265,11232744,1
Job12,259600000,259600000,11478904,11478904,1.00068,1.00068,1.00068,1.00366,1,1,1,1,1,1,14.6225,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,1268,11471056,1
Job13,259609000,259609000,11266192,11266192,1.0003,1.0003,1.0003,1.00655,1,1,1,1,1,1,14.7081,0,1,1,0,0,0,0,0,VGG19,1,32,1266,11262832,1
Job14,262503000,262503000,11796818,11796818,1.00068,1.00068,1.00068,1.00358,1,1,1,1,1,1,13.4069,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,1277,11788752,1
Job15,262517000,262517000,11033000,11033000,1.00002,1.00002,1.00002,1.0032,1,1,1,1,1,1,13.7828,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1256,11032760,1
Job16,262523000,262523000,11675314,11675314,1.00015,1.00015,1.00015,1.00575,1,1,1,1,1,1,13.4611,0,1,1,0,0,0,0,0,ResNet50,1,128,1272,11673576,1
Job17,268877000,268877000,75962606,75962606,0.898921,0.902451,0.674904,0.902827,1.11139,1,1,2,1.08017,3.83965,9.25358,0,2,1,0,0,0,0,0,BERTLARGE,4,32,1716,72991544,0.264
Job18,273432000,273432000,74318175,74318175,0.928077,0.932583,0.714466,0.933403,1.08333,0.856678,0.713356,11,1.16435,3.67131,9.20113,0,11,1,0,9,9,0,0,VGG19,4,8,1708,67854640,0.258
Job19,274530000,274530000,108305931,108305931,0.988814,0.979577,0.799332,0.980641,0.986793,0.884556,0.77987,6,1.45138,3.09725,9.46105,0,6,1,0,11,11,0,0,GNMT,4,16,1769,85972272,0.259
