Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,994631381,977258767,1.01826,0.897303,1.01826,0.897361,0.982534,1,1,5,6.26846,0,BERTLARGE,1,1990,976794328
Job2,219316000,219316000,8643025590,1784705980,2.33135,1.31846,1.27363,1.31848,0.430811,0.795212,0.593472,45,22.9142,0,ResNeXt,4,1991,1776982964
Job3,251674000,251674000,23558374,23558374,1,1,1,1.00306,1,1,1,0,10.4698,0,BERTLARGE,1,1461,23558374
Job4,251699000,251699000,23437864,23437864,1,1,1,1.00308,1,1,1,0,10.4959,0,BERTLARGE,1,1456,23437864
Job5,256418000,256418000,11249749,11249749,1,1,1,1.01519,1,1,1,0,12.8628,0,VGG19,1,1259,11249749
Job6,256458000,256458000,11817938,11817938,1,1,1,1.00389,1,1,1,0,12.9994,0,GPT2_SMALL,1,1274,11817938
Job7,256459000,256459000,14607238,14607238,1,1,1,1.00378,1,1,1,0,13.2038,0,ResNet50,1,1287,14607238
Job8,258863000,258863000,11292310,11292310,1,1,1,1.00641,1,1,1,0,14.5569,0,BERTLARGE,1,1260,11292310
Job9,258886000,258886000,11400766,11400766,1,1,1,1.00404,1,1,1,0,14.5637,0,GPT2_SMALL,1,1267,11400766
Job10,258888000,258888000,14075283,14075283,1,1,1,1.01441,1,1,1,0,13.7209,0,GNMT,1,1283,14075283
Job11,259585000,259585000,11333395,11333395,1,1,1,1.00488,1,1,1,0,14.7568,0,ResNet50,1,1262,11333395
Job12,259600000,259600000,11677190,11677190,1,1,1,1.00394,1,1,1,0,14.6281,0,GPT2_SMALL,1,1271,11677190
Job13,259609000,259609000,11293303,11293303,1,1,1,1.01513,1,1,1,0,14.7679,0,VGG19,1,1261,11293303
Job14,262503000,262503000,11779898,11779898,1,1,1,1.00391,1,1,1,0,13.5198,0,GPT2_SMALL,1,1272,11779898
Job15,262517000,262517000,11359054,11359054,1,1,1,1.00637,1,1,1,0,13.7169,0,BERTLARGE,1,1264,11359054
Job16,262523000,262523000,11793211,11793211,1,1,1,1.00469,1,1,1,0,13.5,0,ResNet50,1,1273,11793211
Job17,268877000,268877000,80533123,80533123,0.848628,0.848059,0.636741,0.848694,1.17853,1,1,0,9.42601,0,BERTLARGE,4,1728,80533123
Job18,273432000,273432000,76558789,76558789,0.838475,0.83928,0.644421,0.841526,1.19326,1,1,0,9.32124,0,VGG19,4,1715,76558789
Job19,274530000,274530000,79350512,79350512,0.831796,0.832983,0.644241,0.834736,1.20273,1,1,0,9.32166,0,GNMT,4,1724,79350512
