max schd: 0.009656, max dp: 0.001587, max job: 52
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,5094160,5094160,1.00006,1.00006,1.00006,1.02625,1,1,1,1,1,8,1,0,1,1,0,0,0,0,0,GNMT,8,8,157,5093840,0.142
Job2,5355000,5355000,3916107,3916107,1.00025,1.00025,1.00025,1.01031,1,1,1,1,1,8,1,0,1,1,0,0,0,0,0,GPT2_SMALL,8,32,142,3915128,0.139
Job3,20913000,20913000,3968709,3968709,1.00015,1.00015,1.00015,1.02336,1,1,1,1,1,8,1,0,1,1,0,0,0,0,0,ResNet50,8,16,143,3968112,0.13
Job4,29818000,29818000,4923517,4923517,1.00006,1.00006,1.00006,1.02719,1,1,1,1,1,8,1,0,1,1,0,0,0,0,0,GNMT,8,8,154,4923208,0.142
Job5,74931000,74931000,983215,983215,1.00006,1.00006,1.00006,1.15244,1,1,1,1,1,8,1,0,1,1,0,0,0,0,0,GNMT,8,8,65,983160,0.142
Job6,77100000,77100000,1699680,1699680,1.00049,1.00049,1.00049,1.05976,1,1,1,1,1,8,1,0,1,1,0,0,0,0,0,VGG19,8,4,120,1698840,0.136
Job7,160167000,160167000,606170587,605957427,0.961561,0.735233,0.891182,0.735349,0.948263,0.970383,0.949033,43,2.90545,3.58751,10.2709,0,43,1.00035,0,40,40,0,0,GNMT,8,8,427,298084496,0.142
Job8,160191000,160191000,176595842,176595842,0.572335,0.508213,0.571218,0.508323,1.75144,1,1,5,1.02553,7.8979,7.99896,0,5,1,0,0,0,0,0,ResNeXt,8,4,329,173955840,0.13
Job9,160297000,160297000,271107584,271089095,0.828577,0.724817,0.822405,0.724893,1.19942,1,1,5,1.62643,5.49427,7.91844,0,5,1.00007,0,0,0,0,0,GPT2_SMALL,8,32,349,187356152,0.139
Job10,160319000,160319000,325314297,325314297,0.938795,0.769465,0.909601,0.769536,1.05399,1,1,7,1.86316,4.59875,8.51568,0,7,1,0,0,0,0,0,GPT2_SMALL,8,32,355,189011128,0.139
Job11,160345000,160359052,275197120,275183068,0.832195,0.724308,0.825119,0.724383,1.19398,1,1,5,1.63737,5.45051,7.95413,0,5,1.00005,0,0,0,0,0,GPT2_SMALL,8,32,353,188706264,0.139
Job12,160398000,160401563,381012691,380975251,0.974753,0.775965,0.931148,0.776084,1.03693,1,1,8,1.97669,4.30456,9.07915,0,8,1.0001,0,0,0,0,0,ResNeXt,8,4,374,202847220,0.13
Job13,160726000,160746556,499533,478977,0.721884,0.721884,0.721884,0.83676,1.49154,1,1,1,1,8,7,0,1,1.04292,0,0,0,0,0,VGG19,8,4,32,478776,0.136
Job14,161931000,161949064,512924707,512824570,0.644377,1.0281,0.620722,1.0282,1.16906,0.993606,0.980506,19,4.10575,4.69391,9.30961,0,19,1.0002,0,6,6,0,0,BERTLARGE,16,8,371,199752264,0.083
Job15,167532000,167568691,4308662,4271971,0.518247,0.46609,0.517625,0.472738,1.95915,1,1,1,1,8,8.90275,0,1,1.00859,0,0,0,0,0,GNMT,8,8,145,4271704,0.142
Job16,167549000,167595223,1583977,1537754,0.527898,0.475727,0.527898,0.481365,1.94164,0.5,0,1,1,8,9,0,1,1.03006,0,0,0,0,0,GPT2_SMALL,8,32,111,1519768,0.139
Job17,169535000,169537866,463418611,463369976,0.917988,0.73031,0.881622,0.730358,1.0317,1,1,11,2.26209,4.12987,9.3653,0,11,1.0001,0,0,0,0,0,BERTLARGE,8,16,413,252591888,0.142
Job18,174264000,174266932,199677,196745,0.552571,0.503162,0.552571,0.562717,1.97063,0.666667,0,1,1,8,9,0,1,1.0149,0,0,0,0,0,BERTLARGE,8,16,5,201680,0.142
Job19,252350000,252366091,4904001,4887910,0.509748,0.458959,0.509748,0.460641,1.99344,0.5,0,1,1,8,9,0,1,1.00329,0,0,0,0,0,GPT2_SMALL,8,32,151,4829720,0.139
Job20,382593000,382617197,1046555564,1045888996,1.23808,0.632875,0.826902,0.632909,0.763379,1,1,37,6.65855,1.40194,29.3697,1,37,1.00064,0,0,0,0,0,ResNet50,8,16,362,193995600,0.13
Job21,424438000,424519253,559405337,558853766,0.639052,0.783645,0.530004,0.783787,1.05262,0.9892,0.9784,49,7.74821,2.60467,17.5597,0,49,1.00099,0,12,12,0,0,VGG19,16,2,297,135355474,0.075
Job22,424461000,424502953,81208993,80988853,0.324202,0.46858,0.312754,0.468904,3.04884,0.994741,0.989483,5,1.96643,9.62249,11.8563,0,5,1.00272,0,0,0,0,0,ResNet50,16,8,260,49373216,0.066
Job23,424483000,424490755,148793793,148786038,0.414323,0.623753,0.405882,0.623886,1.82095,0.750498,0.500996,5,3.339,5.716,11.7077,0,5,1.00005,0,10,10,0,0,BERTLARGE,16,8,284,70493640,0.083
Job24,425350000,425459971,942429,832458,0.44256,0.333446,0.44256,0.338112,2.3555,0.5,0,1,1,8,12,0,1,1.1321,0,0,0,0,0,GPT2_SMALL,8,32,47,822936,0.139
Job25,427759000,427778124,371038,351914,1.055,0.336753,1.055,0.347475,0.948458,1,1,1,1,1,12,0,1,1.05434,0,0,0,0,0,GPT2_SMALL,1,256,18,351696,1
Job26,429661000,429678399,376331,358932,1.0486,0.357461,1.0486,0.380983,0.953767,1,1,1,1,1,12,0,1,1.04847,0,0,0,0,0,ResNet50,1,128,20,358888,1
Job27,430684000,430689249,1718266,1713017,1.00372,0.320239,1.00372,0.324778,0.996945,1,1,1,1,1,11.4194,0,1,1.00306,0,0,0,0,0,ResNeXt,1,32,121,1711896,1
Job28,438428000,438458020,266632,236612,1.05652,0.481376,1.05652,0.556764,0.986012,0.333333,0,1,1,4,10,0,1,1.12687,0,0,0,0,0,ResNeXt,4,8,9,234632,0.253
