max schd: 0.127132, max dp: 0.022744, max job: 321
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,2049561220,1482556212,1.13482,0.513852,1.25767,0.513861,0.8818,1,1,13,1,1,48.3985,12,13,1.38245,0,0,0,0,0,ResNet50,1,128,10036,1481554408,1
Job2,116571000,116571000,16934290,16934290,1.0005,1.0005,1.0005,1.00252,1,1,1,1,1,4,2,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,8765,16925776,0.26
Job3,134364000,134364000,141512,141512,1.00023,1.00023,1.00023,1.85031,1,1,1,1,1,4,2.788,0,1,1,0,0,0,0,0,ResNet50,4,32,163,141480,0.255
Job4,134394000,134394000,135856,135856,1,1,1,2.06293,1,1,1,1,1,4,2.82081,0,1,1,0,0,0,0,0,VGG19,4,8,117,135856,0.258
Job5,138942000,138942000,140340,140340,1.00026,1.00026,1.00026,2.14903,1,1,1,1,1,4,2,0,1,1,0,0,0,0,0,ResNeXt,4,8,162,140304,0.253
Job6,139135000,139135000,6238386,6238386,1.00068,1.00068,1.00068,1.01286,1,1,1,1,1,1,4.94479,0,1,1,0,0,0,0,0,ResNeXt,1,32,7674,6234168,1
Job7,139230000,139230000,6904698,6904698,1.00068,1.00068,1.00068,1.01167,1,1,1,1,1,1,4.73241,0,1,1,0,0,0,0,0,ResNeXt,1,32,7832,6900024,1
Job8,139287000,139287000,6501146,6501146,1.0003,1.0003,1.0003,1.01119,1,1,1,1,1,1,4.89326,0,1,1,0,0,0,0,0,VGG19,1,32,7747,6499216,1
Job9,139380000,139380000,6074366,6074366,1.00068,1.00068,1.00068,1.00632,1,1,1,1,1,1,5.01097,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,7627,6070224,1
Job10,140223000,140223000,147600,147600,1.00027,1.00027,1.00027,2.03418,1,1,1,1,1,4,6,0,1,1,0,0,0,0,0,ResNeXt,4,8,175,147560,0.253
Job11,148825000,148825000,29989194,29989194,1.00015,1.00015,0.89696,1.00316,1,1,1,1,1,8,6.13467,0,1,1,0,0,0,0,0,ResNet50,8,16,9124,29984592,0.13
Job12,148857000,148857000,28913952,28913952,1.00006,1.00006,0.895359,1.00152,1,1,1,1,1,8,6.14411,0,1,1,0,0,0,0,0,BERTLARGE,8,16,9111,28912144,0.142
Job13,148859000,148859000,34928085,34928085,1.00079,1.00079,0.921062,1.00294,1,1,1,1,1,8,5.97709,0,1,1,0,0,0,0,0,ResNeXt,8,4,9166,34900620,0.13
Job14,148957000,148957000,241578,241578,1.00047,1.00047,1.00047,1.45123,1,1,1,1,1,1,5,0,1,1,0,0,0,0,0,ResNeXt,1,32,792,241464,1
Job15,155257000,155257000,126448,126448,1,1,1,2.24008,1,1,1,1,1,4,5,0,1,1,0,0,0,0,0,VGG19,4,8,78,126448,0.258
Job16,156946000,156946000,241578,241578,1.00047,1.00047,1.00047,1.45123,1,1,1,1,1,1,5.43067,0,1,1,0,0,0,0,0,ResNeXt,1,32,793,241464,1
Job17,157072000,157072000,104040,104040,1.00015,1.00015,1.00015,3.58462,1,1,1,1,1,4,6,0,1,1,0,0,0,0,0,ResNeXt,4,8,51,104024,0.253
Job18,157318000,157318000,109098500,109098500,1.00002,1.00002,1.00002,1.00034,1,1,1,1,1,1,6.21233,0,1,1,0,0,0,0,0,BERTLARGE,1,128,9715,109096120,1
