Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,2845902564,2234597411,0.96078,0.647168,0.7916,0.647175,1.04098,1,1,5,13.6774,0,GPT2_SMALL,8,731,2234257258
Job2,664859000,664859000,2681755880,1785865573,0.87799,0.519754,0.534334,0.519767,1.14035,1,1,14,23.9172,0,ResNet50,8,723,1783754210
Job3,1041729000,1041729000,4759054741,2644208070,0.5728,0.361791,0.315256,0.361793,1.74325,0.857202,0.645838,17,48.4557,0,GPT2_SMALL,8,732,2648120146
Job4,1041744000,1041744000,4944601450,2685402267,0.577776,0.368975,0.320913,0.368978,1.74231,0.829112,0.599484,28,49.0954,0,ResNeXt,8,733,2667697010
Job5,1316312000,1316312000,7381476835,4639563551,0.389642,0.293831,0.277541,0.293832,2.57272,0.966352,0.920728,35,48.8447,0,ResNet50,8,734,4628368762
Job6,1489167000,1489167000,3344126013,1135913811,0.842451,0.595,0.552172,0.595011,1.19069,0.964595,0.893785,14,45.4602,0,ResNeXt,8,718,1132481510
Job7,1647288000,1647288000,2034833495,497642471,1.28619,0.956822,0.91163,0.956857,0.778184,1,1,4,38.1598,0,BERTLARGE,8,682,497250170
Job8,1750290000,1750290000,1310704455,286174180,1.53226,1.21413,1.18,1.21425,0.653108,1,1,1,33.0174,0,ResNeXt,8,627,286040460
Job9,1781851000,1781871000,2053867801,561769497,0.945545,0.794434,0.756234,0.794474,1.05862,1,1,3,41.1345,0,ResNet50,8,697,561317866
Job10,1791691000,1791711000,2305269202,401960971,1.38483,1.18149,1.11449,1.18152,0.721519,0.891961,0.675882,5,43.7046,0,GPT2_SMALL,8,669,402325374
Job11,1803137000,1803157000,139693465,139673465,0.573861,0.565685,0.565685,0.565861,1.74299,1,1,0,15.0318,0,BERTLARGE,8,569,139673465
Job12,1809323000,1809343000,450325,430325,0.782137,0.782137,0.782137,0.903102,1.34906,1,1,0,12,0,BERTLARGE,8,79,430325
