max schd: 0.011757, max dp: 0.008571, max job: 121
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,2150204323,2150204323,0.969031,0.912441,1.05076,0.912456,1.03142,1,1,4,1.09761,7.60957,5.21119,0,4,1,0,0,0,0,0,GPT2_SMALL,8,32,729,2046329720,0.139
Job2,664859000,664859000,2518658673,2518658673,0.906456,0.570511,0.579885,0.570523,1.09715,0.994348,0.988696,5,2.10466,5.37413,21.7008,0,5,1,0,1,1,0,0,ResNet50,8,16,723,1701314448,0.13
Job3,1041729000,1041729000,6503563362,5793417656,0.819826,0.587918,0.501324,0.58792,1.20176,0.807331,0.676627,41,3.34748,3.29964,45.4654,3,41,1.12258,2,105,105,0,0,GPT2_SMALL,8,32,731,2425362776,0.139
Job4,1041744000,1041744000,7333262079,6611804020,0.827605,0.599618,0.519881,0.599621,1.20797,0.690295,0.515397,36,3.19951,3.37218,43.0083,4,36,1.10912,0,1757,1757,0,0,ResNeXt,8,4,733,2787847812,0.13
Job5,1316312000,1316312000,9178510888,8035646295,0.858585,0.549516,0.489936,0.549519,1.15897,0.530581,0.276884,65,2.53523,4.37324,36.0725,12,65,1.14222,1,423,423,0,0,ResNet50,8,16,734,4414511760,0.13
Job6,1489167000,1489167000,3670687010,3670687010,0.825659,0.620574,0.518966,0.620581,1.20449,0.89177,0.78354,30,4.52835,2.56498,50.8037,0,30,1,0,482,482,0,0,ResNeXt,8,4,718,1183465164,0.13
Job7,1647288000,1647288000,782224584,782224584,0.902312,0.753736,0.762566,0.753766,1.05751,1,1,3,2.01866,4.57913,18.5821,0,3,1,0,0,0,0,0,BERTLARGE,8,16,681,469245712,0.142
Job8,1750290000,1750290000,604856596,604856596,1.00411,0.904595,0.905838,0.904697,1.00463,1,1,3,2.21806,3.9873,18.9922,0,3,1,0,0,0,0,0,ResNeXt,8,4,633,298886808,0.13
Job9,1781851000,1781851000,1653487352,1653487352,0.860657,0.739349,0.66565,0.739378,1.1318,0.984044,0.968087,4,3.59304,2.52284,39.4439,0,4,1,0,5,5,0,0,ResNet50,8,16,693,535366896,0.13
Job10,1791691000,1791693792,995016384,995013592,0.942581,0.807624,0.756501,0.807649,1.03941,1,1,2,3.09757,2.90243,30.3423,0,2,1,0,0,0,0,0,GPT2_SMALL,8,32,660,368488920,0.139
Job11,1803137000,1803155502,245986606,245968104,1.01119,0.998864,0.998864,0.999034,0.922854,1,1,1,2,4,15.8833,0,1,1.00008,0,0,0,0,0,BERTLARGE,8,16,561,131809936,0.142
Job12,1809323000,1809323139,697783,697644,1.29712,1.29712,1.29712,1.40697,0.705742,1,1,1,2,4,12,0,1,1.0002,0,0,0,0,0,BERTLARGE,8,16,79,393296,0.142
Job13,1814484000,1814486229,722256953,722254724,1.00806,0.922361,0.918179,0.922449,0.99693,1,1,2,2.82471,3.17529,23.4399,0,2,1,0,0,0,0,0,ResNeXt,8,4,629,285298920,0.13
Job14,1821512000,1821530756,663525794,663507038,1.04603,0.965979,0.964972,0.966106,0.939244,1,1,2,2.94078,3.05922,22.632,0,2,1.00003,0,0,0,0,0,ResNet50,8,16,620,258306000,0.13
Job15,1821790000,1821793353,1319128933,1319125580,0.912785,0.803024,0.742132,0.803068,1.06654,1,1,4,3.50331,2.49669,35.7286,0,4,1,0,0,0,0,0,ResNet50,8,16,670,422940624,0.13
Job16,1823616000,1823636724,1302302698,1302231814,0.791672,0.696835,0.644635,0.69687,1.06125,0.999501,0.999003,4,3.50574,2.49426,35.5342,0,4,1.00005,0,1,1,0,0,VGG19,8,4,684,483320536,0.136
Job17,1906385000,1906389263,1542376588,1542372325,0.859706,0.789268,0.707937,0.789283,1.13322,0.980606,0.961213,6,3.94581,2.24373,41.7073,0,6,1,0,4,4,0,0,GPT2_SMALL,8,32,675,444051640,0.139
Job18,1906430000,1906443006,1852325420,1852312414,0.856016,0.80351,0.71833,0.803536,1.15715,0.909434,0.818868,4,4.04713,2.16643,43.2831,0,4,1.00001,0,219,219,0,0,ResNeXt,8,4,689,506459676,0.13
Job19,2083057000,2083092401,6570374828,5795403442,0.799245,0.722071,0.619609,0.722074,1.22417,0.566656,0.254391,59,3.85719,2.55946,47.5634,8,59,1.13372,0,184,184,0,0,GPT2_SMALL,8,32,726,1895073624,0.139
Job20,2084031000,2084074882,1215134850,1214941684,0.902202,0.887882,0.802454,0.887931,1.09224,0.752877,0.505754,14,4.18823,1.95294,42.7653,0,14,1.00016,0,309,309,0,0,ResNeXt,8,4,635,301036068,0.13
Job21,2126509000,2126509232,3495801193,3495713815,0.794254,0.880778,0.692924,0.880798,1.19061,0.900349,0.800698,27,6.03705,1.49074,62.2537,0,27,1.00002,0,85,85,0,0,ResNet50,8,16,711,688912848,0.13
Job22,2143060000,2143070452,1355295650,1355146330,0.914644,0.937955,0.833234,0.93798,1.056,0.827374,0.654748,23,5.21742,1.69564,46.4916,0,23,1.00011,0,22,22,0,0,GPT2_SMALL,8,32,632,297412056,0.139
Job23,2144150000,2144156111,1830166020,1830159909,0.879677,0.920403,0.816299,0.920437,1.11771,0.879046,0.758092,21,5.12847,1.71788,47.6785,0,21,1,0,207,207,0,0,ResNeXt,8,4,666,399765084,0.13
Job24,2146104000,2146128043,1444916515,1444892472,0.798886,0.824208,0.731766,0.824252,0.996572,0.86202,0.724039,9,5.69004,1.57749,46.9001,0,9,1.00002,0,142,142,0,0,VGG19,8,4,653,357940344,0.136
