Job#, Admitted_time, Scheduled_time, JCT, Running_time, Init_time, Fairness
Job1, 0, 2000, 3760000, 3758000, 41, 1.025
Job2, 363000, 363000, 5622000, 5622000, 78, 0.991
Job3, 489000, 489000, 3206000, 3206000, 177, 0.935
Job4, 1049000, 1049000, 1422000, 1422000, 140, 0.909
Job5, 1221000, 1221000, 2846000, 2846000, 57, 1.005
Job6, 1353000, 1353000, 5197000, 5184000, 105, 0.949
Job7, 1625000, 1625000, 2279000, 2279000, 103, 0.976
Job8, 1850000, 1850000, 2441000, 2441000, 148, 0.922
Job9, 2222000, 2222000, 4761000, 4724000, 94, 0.98
Job10, 2421000, 2421000, 2993000, 2993000, 40, 1.033
Job11, 2453000, 26098000, 28051000, 4406000, 133, 2.567
Job12, 3002000, 3002000, 3400000, 3400000, 41, 0.934
Job13, 3696000, 3696000, 4338000, 4338000, 72, 0.995
Job14, 3768000, 3768000, 5774000, 5746000, 135, 0.944
Job15, 4286000, 4286000, 3844000, 3844000, 32, 1.031
Job16, 4653000, 4653000, 5214000, 5214000, 72, 0.978
Job17, 4868000, 4868000, 21229000, 8910000, 58, 1.666
Job18, 5187000, 5436000, 3011000, 2341000, 108, 0.466
Job19, 5397000, 5397000, 4384000, 4384000, 73, 1.041
Job20, 5593000, 5593000, 2081000, 2081000, 37, 1.073
Job21, 6143000, 6143000, 2400000, 2400000, 94, 0.955
Job22, 6256000, 6276000, 7884000, 6451000, 67, 1.104
Job23, 6362000, 6383000, 2917000, 2896000, 78, 1.008
Job24, 6509000, 6519000, 1281000, 1271000, 88, 0.857
Job25, 6600000, 6808000, 4410000, 3182000, 51, 0.996
Job26, 6785000, 6808000, 1280000, 1257000, 76, 1.054
Job27, 7111000, 7111000, 4633000, 4633000, 50, 0.991
Job28, 7163000, 7163000, 3299000, 3299000, 52, 0.967
Job29, 7375000, 7375000, 6770000, 6770000, 63, 1.035
Job30, 7557000, 7576000, 2210000, 2191000, 74, 0.972
Job31, 7995000, 8015000, 2218000, 2198000, 55, 1.002
Job32, 8362000, 8362000, 5369000, 5369000, 65, 1.08
Job33, 8399000, 8399000, 3073000, 3073000, 76, 1.019
Job34, 8761000, 8761000, 3817000, 3817000, 43, 0.966
Job35, 9127000, 9127000, 5965000, 5965000, 49, 1
Job36, 9251000, 9264000, 2353000, 2340000, 31, 0.683
Job37, 9752000, 9753000, 1179000, 1178000, 59, 0.992
Job38, 10015000, 10015000, 1579000, 1579000, 60, 0.957
Job39, 10312000, 10330000, 3653000, 3553000, 84, 0.834
Job40, 10540000, 10558000, 2884000, 2834000, 79, 0.828
Job41, 10896000, 10896000, 7190000, 5553000, 85, 1.105
Job42, 11158000, 11176000, 2837000, 2746000, 45, 0.786
Job43, 11233000, 11233000, 1294000, 1294000, 41, 1.039
Job44, 11337000, 11337000, 1602000, 1602000, 41, 0.982
Job45, 11555000, 11555000, 6311000, 6311000, 51, 1.004
Job46, 11672000, 11672000, 3129000, 3044000, 52, 0.778
Job47, 11714000, 11732000, 6049000, 6031000, 45, 0.978
Job48, 11838000, 11855000, 2035000, 2018000, 133, 0.638
Job49, 11981000, 11981000, 1512000, 1512000, 72, 0.694
Job50, 12163000, 12172000, 2436000, 2427000, 136, 0.706
Job51, 12355000, 12365000, 4537000, 3175000, 53, 1.156
Job52, 12432000, 12444000, 1333000, 1321000, 36, 0.957
Job53, 12539000, 12550000, 3834000, 3823000, 45, 0.956
Job54, 12655000, 14142000, 6582000, 4980000, 53, 1.096
Job55, 12985000, 13887000, 2267000, 1365000, 47, 0.705
Job56, 13347000, 13358000, 2307000, 2296000, 37, 1.011
Job57, 13505000, 13516000, 2953000, 2942000, 87, 0.916
Job58, 13823000, 13823000, 5411000, 5411000, 33, 0.995
Job59, 14481000, 14492000, 2639000, 2628000, 88, 1.004
Job60, 14944000, 15253000, 14276000, 5091000, 32, 1.783
Job61, 15304000, 15313000, 6903000, 5970000, 99, 0.68
Job62, 15452000, 15462000, 1804000, 1794000, 20, 1.062
Job63, 15555000, 15555000, 3822000, 3822000, 68, 1.023
Job64, 15555000, 15555000, 3310000, 3310000, 38, 0.965
Job65, 15557000, 15557000, 3856000, 3856000, 54, 1.002
Job66, 15557000, 15557000, 2729000, 2729000, 71, 1.022
Job67, 15557000, 15557000, 1948000, 1948000, 47, 0.926
Job68, 15586000, 15612000, 1278000, 1252000, 82, 0.708
Job69, 15795000, 15811000, 4177000, 4161000, 67, 0.952
Job70, 15795000, 15811000, 3458000, 3442000, 14, 1.052
Job71, 15812000, 15813000, 2205000, 2204000, 42, 0.936
