Job#, Admitted_time, Scheduled_time, JCT, Running_time, Init_time, Fairness
Job1, 0, 0, 3747000, 3747000, 30, 1.022
Job2, 363000, 363000, 5596000, 5596000, 50, 0.986
Job3, 489000, 489000, 3178000, 3178000, 92, 0.926
Job4, 1049000, 1049000, 1364000, 1364000, 79, 0.872
Job5, 1221000, 1221000, 2919000, 2919000, 131, 1.031
Job6, 1353000, 1353000, 4976000, 4976000, 127, 0.91
Job7, 1625000, 1625000, 2251000, 2251000, 79, 0.964
Job8, 1850000, 1850000, 2481000, 2481000, 126, 0.937
Job9, 2222000, 2222000, 4349000, 4349000, 104, 0.905
Job10, 2421000, 2421000, 2959000, 2959000, 30, 1.021
Job11, 2453000, 5419000, 7118000, 4152000, 160, 0.732
Job12, 3002000, 3002000, 3430000, 3430000, 47, 0.942
Job13, 3696000, 3696000, 4363000, 4363000, 102, 1
Job14, 3768000, 3768000, 5493000, 5493000, 80, 0.903
Job15, 4286000, 4286000, 3842000, 3842000, 34, 1.03
Job16, 4653000, 4653000, 5283000, 5283000, 85, 0.991
Job17, 4868000, 4868000, 11176000, 7023000, 47, 0.788
Job18, 5187000, 8111000, 4807000, 1883000, 126, 0.771
Job19, 5397000, 5397000, 4357000, 4333000, 73, 1.035
Job20, 5593000, 5593000, 2050000, 2050000, 34, 1.057
Job21, 6143000, 6143000, 3604000, 2445000, 71, 1.479
Job22, 6256000, 6330000, 7851000, 5889000, 100, 1.073
Job23, 6362000, 6433000, 4656000, 2940000, 61, 1.608
Job24, 6509000, 6572000, 1326000, 1263000, 80, 0.917
Job25, 6600000, 9572000, 5925000, 2953000, 48, 1.103
Job26, 6785000, 7645000, 2148000, 1288000, 35, 1.769
Job27, 7111000, 7836000, 6997000, 4631000, 75, 1.497
Job28, 7163000, 7836000, 4401000, 3707000, 89, 1.289
Job29, 7375000, 7836000, 8704000, 6409000, 51, 1.331
Job30, 7557000, 7836000, 3574000, 2468000, 70, 1.571
Job31, 7995000, 8060000, 3921000, 2209000, 61, 1.771
Job32, 8362000, 9995000, 6573000, 4940000, 42, 1.323
Job33, 8399000, 9750000, 4464000, 3113000, 73, 1.481
Job34, 8761000, 9995000, 5138000, 3904000, 42, 1.3
Job35, 9127000, 9995000, 6539000, 5671000, 52, 1.096
Job36, 9251000, 9995000, 3074000, 2330000, 33, 0.782
Job37, 9752000, 9755000, 1129000, 1126000, 49, 0.95
Job38, 10015000, 10015000, 1662000, 1662000, 51, 1.008
Job39, 10312000, 12326000, 5452000, 3438000, 141, 1.085
Job40, 10540000, 12326000, 4640000, 2854000, 145, 1.134
Job41, 10896000, 12527000, 8044000, 4358000, 77, 1.012
Job42, 11158000, 12527000, 4069000, 2700000, 47, 0.983
Job43, 11233000, 11233000, 1319000, 1319000, 36, 1.059
Job44, 11337000, 11337000, 1561000, 1561000, 44, 0.957
Job45, 11555000, 11556000, 6348000, 6347000, 50, 1.009
Job46, 11672000, 14108000, 5388000, 2952000, 55, 1.06
Job47, 11714000, 11714000, 6246000, 6246000, 53, 1.01
Job48, 11838000, 13522000, 3738000, 2054000, 74, 1.068
Job49, 11981000, 13522000, 3017000, 1476000, 98, 1.255
Job50, 12163000, 15000000, 5191000, 2354000, 65, 1.246
Job51, 12355000, 15182000, 5820000, 2993000, 115, 1.158
Job52, 12432000, 12432000, 1361000, 1361000, 45, 0.977
Job53, 12539000, 12539000, 4279000, 3989000, 39, 1.067
