Job#, Admitted_time, Scheduled_time, JCT, Running_time, Init_time, Fairness
Job1, 0, 0, 3755000, 3755000, 40, 1.024
Job2, 363000, 363000, 5574000, 5574000, 48, 0.982
Job3, 489000, 489000, 3141000, 3141000, 138, 0.916
Job4, 1049000, 1049000, 1330000, 1330000, 73, 0.85
Job5, 1221000, 1221000, 2885000, 2885000, 74, 1.019
Job6, 1353000, 1353000, 5069000, 5069000, 131, 0.927
Job7, 1625000, 1625000, 2251000, 2251000, 75, 0.964
Job8, 1850000, 1850000, 2344000, 2344000, 57, 0.885
Job9, 2222000, 2222000, 4541000, 4541000, 111, 0.941
Job10, 2421000, 2421000, 2975000, 2975000, 37, 1.027
Job11, 2453000, 4195000, 24529000, 4437000, 144, 1.677
Job12, 3002000, 3002000, 3439000, 3439000, 39, 0.945
Job13, 3696000, 3696000, 4339000, 4339000, 73, 0.995
Job14, 3768000, 3768000, 6047000, 6047000, 114, 0.989
Job15, 4286000, 5397000, 4830000, 3719000, 54, 1.295
Job16, 4653000, 4653000, 5554000, 5554000, 75, 1.042
Job17, 4868000, 8020000, 10130000, 6978000, 55, 0.7
Job18, 5187000, 25394000, 22163000, 1956000, 108, 3.051
Job19, 5397000, 5397000, 4201000, 4201000, 66, 0.998
Job20, 5593000, 5593000, 2030000, 2030000, 34, 1.047
Job21, 6143000, 6143000, 2349000, 2349000, 47, 0.932
Job22, 6256000, 6423000, 5870000, 5703000, 125, 0.869
Job23, 6362000, 6442000, 2866000, 2786000, 68, 0.99
Job24, 6509000, 6764000, 1517000, 1262000, 85, 1.031
Job25, 6600000, 8020000, 4375000, 2955000, 64, 0.787
Job26, 6785000, 7624000, 2097000, 1258000, 33, 1.727
Job27, 7111000, 8027000, 5463000, 4547000, 70, 1.169
Job28, 7163000, 8027000, 4320000, 3456000, 68, 1.266
Job29, 7375000, 8027000, 7005000, 6353000, 49, 1.071
Job30, 7557000, 8027000, 2835000, 2365000, 69, 1.247
Job31, 7995000, 8036000, 2160000, 2119000, 62, 0.975
Job32, 8362000, 8362000, 5260000, 5260000, 42, 1.058
Job33, 8399000, 8493000, 3121000, 3027000, 77, 1.035
Job34, 8761000, 8761000, 3973000, 3973000, 45, 1.005
