user, #gpu, model, submitTime, queuingTime, scheduleTime, JCT, runningTime, finishTime, avgN, avgMM, fairness
user1, 4, GPT2-SMALL, 0, 0, 0, 3542, 3542, 3542, 6.5, 4, 1.01
user2, 4, ResNeXt, 362, 0, 362, 5616, 5616, 5978, 8.53, 4, 0.99
user3, 4, VGG19-I, 488, 0, 488, 2841, 2841, 3329, 7.13, 4, 1
user4, 4, VGG19-I, 1048, 0, 1048, 1254, 1254, 2302, 6.59, 4, 1.03
user5, 1, BERTLARGE, 1219, 0, 1219, 2706, 2706, 3925, 8.8, 1, 1
user6, 4, VGG19-I, 1352, 0, 1352, 4382, 4382, 5734, 9.52, 4, 0.95
user7, 1, VGG19-I, 1623, 0, 1623, 2242, 2242, 3865, 9.33, 1, 1
user8, 4, VGG19-I, 1849, 0, 1849, 2295, 2295, 4144, 9.55, 4, 1.06
user9, 4, VGG19-I, 2221, 0, 2221, 4041, 4041, 6262, 10.32, 4, 1
user10, 4, GPT2-SMALL, 2420, 0, 2420, 2779, 2779, 5199, 9.9, 4, 1.01
user11, 16, ResNet50, 2456, 0, 2456, 7542, 6075, 9998, 12.84, 8.04, 0.9
user12, 1, ResNeXt, 3000, 0, 3000, 3447, 3447, 6447, 10.61, 1, 0.95
user13, 2, BERTLARGE, 3694, 0, 3694, 4146, 4146, 7840, 12.18, 2, 1.02
user14, 4, VGG19-I, 3768, 0, 3768, 5794, 5794, 9562, 13.2, 4, 1.15
user15, 2, BERTLARGE, 4285, 0, 4285, 3418, 3418, 7703, 12.52, 2, 0.99
user16, 1, ResNet50, 4651, 0, 4651, 5530, 5530, 10181, 14.12, 1, 1.06
user17, 8, ResNeXt, 4868, 331, 5199, 24241, 12632, 29109, 13.49, 5.56, 2.21
user18, 16, ResNet50, 5191, 0, 5191, 1731, 1731, 6922, 12.43, 5.89, 0.36
user19, 1, GNMT, 5395, 0, 5395, 4588, 4588, 9983, 14.67, 1, 1.08
user20, 1, BERTLARGE, 5593, 0, 5593, 1817, 1817, 7410, 13.38, 1, 0.99
user21, 4, BERTLARGE, 6142, 0, 6142, 2160, 2160, 8302, 14.55, 3.99, 1.02
user22, 4, VGG19-I, 6256, 0, 6256, 7106, 6612, 13362, 15.8, 3.76, 1.24
user23, 1, ResNet50, 6360, 0, 6360, 2994, 2994, 9354, 15.15, 1, 1.05
user24, 4, GNMT, 6508, 0, 6508, 1529, 1529, 8037, 15.2, 3.99, 1.11
user25, 8, ResNeXt, 6601, 182, 6783, 3453, 3271, 10054, 15.56, 5.72, 0.77
user26, 1, BERTLARGE, 6783, 0, 6783, 1205, 1205, 7988, 15.56, 1, 1.06
user27, 1, VGG19-I, 7110, 0, 7110, 4374, 4374, 11484, 15.12, 1, 0.95
user28, 1, ResNet50, 7161, 0, 7161, 3331, 3331, 10492, 15.43, 1, 0.99
user29, 1, ResNeXt, 7373, 0, 7373, 6868, 6868, 14241, 16.3, 1, 1.06
user30, 1, ResNet50, 7555, 0, 7555, 2297, 2297, 9852, 15.76, 1, 1.03
user31, 1, ResNeXt, 7994, 0, 7994, 2212, 2212, 10206, 15.57, 1, 1
user32, 1, GPT2-SMALL, 8360, 0, 8360, 5473, 5473, 13833, 16.51, 1, 1.13
user33, 1, GNMT, 8398, 0, 8398, 3135, 3135, 11533, 15.03, 1, 1.04
user34, 1, ResNeXt, 8760, 0, 8760, 3648, 3648, 12408, 15.53, 1, 0.93
user35, 1, VGG19-I, 9125, 0, 9125, 5509, 5509, 14634, 16.44, 1, 0.94
user36, 8, GPT2-SMALL, 9251, 311, 9562, 2993, 2580, 12244, 15.25, 6.21, 1.06
user37, 1, ResNeXt, 9750, 0, 9750, 1533, 1533, 11283, 13.96, 1, 1.28
user38, 1, ResNet50, 10013, 0, 10013, 1685, 1685, 11698, 13.95, 1, 1.04
user39, 4, GNMT, 10312, 0, 10312, 3825, 3825, 14137, 16.91, 3.38, 0.86
user40, 4, GNMT, 10539, 0, 10539, 3033, 3033, 13572, 17.16, 3.35, 0.84
user41, 4, GNMT, 10895, 0, 10895, 7733, 5716, 18628, 17.81, 3.6, 1.21
user42, 4, ResNeXt, 11157, 0, 11157, 2698, 2698, 13855, 18.15, 3.16, 0.8
user43, 1, GPT2-SMALL, 11231, 0, 11231, 1350, 1350, 12581, 17.04, 1, 1.12
user44, 1, ResNeXt, 11335, 0, 11335, 1663, 1663, 12998, 17.84, 1, 1.02
user45, 1, ResNet50, 11554, 0, 11554, 6030, 6030, 17584, 18.12, 1, 0.98
user46, 4, BERTLARGE, 11671, 0, 11671, 2986, 2723, 14657, 17.74, 3.2, 0.9
user47, 1, ResNeXt, 11712, 0, 11712, 6665, 6144, 18377, 18.24, 1, 1.09
user48, 4, VGG19-I, 11838, 0, 11838, 1834, 1834, 13672, 19.14, 2.86, 0.76
user49, 4, ResNet50, 11981, 0, 11981, 1392, 1392, 13373, 19.34, 2.81, 0.74
user50, 4, ResNet50, 12162, 82, 12244, 2340, 2258, 14502, 18.16, 3.07, 0.81
user51, 4, ResNet50, 12354, 54, 12408, 3774, 3004, 16128, 17.09, 3.35, 1.13
user52, 1, ResNeXt, 12430, 0, 12430, 1446, 1446, 13876, 19.44, 1, 1.03
user53, 1, ResNeXt, 12538, 0, 12538, 4063, 4063, 16601, 17.54, 1, 1.02
user54, 4, ResNeXt, 12655, 1200, 13855, 6617, 5156, 19272, 18.1, 3.64, 1.2
user55, 8, ResNeXt, 12986, 387, 13373, 2008, 1553, 14994, 16.35, 4.17, 0.74
user56, 2, GPT2-SMALL, 13345, 0, 13345, 2251, 2251, 15596, 14.89, 2, 1.03
user57, 4, GNMT, 13504, 0, 13504, 2909, 2809, 16413, 16.56, 3.61, 0.94
user58, 1, BERTLARGE, 13823, 0, 13823, 5608, 5586, 19431, 17.74, 1, 1.08
user59, 2, ResNet50, 14480, 0, 14480, 2666, 2666, 17146, 17.96, 2, 1.06
user60, 8, GPT2-SMALL, 14946, 0, 14946, 5019, 5019, 19965, 18.32, 4.47, 0.6
user61, 8, GNMT, 15305, 0, 15305, 9294, 8140, 24599, 16.29, 4.41, 0.95
user62, 1, GPT2-SMALL, 15450, 0, 15450, 1966, 1966, 17416, 21.04, 1, 1.19
user63, 1, ResNet50, 15554, 0, 15554, 3766, 3766, 19320, 19.68, 1, 1.03
user64, 1, ResNeXt, 15554, 0, 15554, 3350, 3350, 18904, 19.92, 1, 0.98
user65, 1, BERTLARGE, 15555, 0, 15555, 3735, 3735, 19290, 19.7, 1, 1.02
user66, 1, GNMT, 15555, 0, 15555, 2767, 2767, 18322, 20.63, 1, 1.04
user67, 1, VGG19-I, 15555, 0, 15555, 1980, 1980, 17535, 21.41, 1, 0.98
user68, 4, GNMT, 15585, 0, 15585, 1546, 1546, 17131, 21.56, 3.57, 1.02
user69, 1, ResNet50, 15793, 0, 15793, 4206, 4206, 19999, 19.08, 1, 0.98
user70, 1, GPT2-SMALL, 15793, 0, 15793, 3524, 3524, 19317, 19.72, 1, 1.1
user71, 1, VGG19-I, 15794, 0, 15794, 2321, 2321, 18115, 21.1, 1, 1.02
user72, 1, BERTLARGE, 15794, 0, 15794, 2050, 2050, 17844, 21.44, 1, 1.07
user73, 1, GPT2-SMALL, 16668, 0, 16668, 3820, 3820, 20488, 17.88, 1, 1.15
user74, 1, ResNet50, 16762, 0, 16762, 1229, 1229, 17991, 20.77, 1, 1.12
user75, 8, GNMT, 17120, 0, 17120, 3304, 3304, 20424, 17.41, 4.49, 0.62
user76, 1, GNMT, 17424, 0, 17424, 3022, 3022, 20446, 17.02, 1, 1.04
user77, 1, GNMT, 17653, 0, 17653, 6029, 6029, 23682, 15.61, 1, 1.02
user78, 8, GNMT, 18285, 0, 18285, 10645, 9201, 28930, 10.27, 5.95, 1.39
user79, 2, GNMT, 18682, 0, 18682, 5672, 5672, 24354, 14.75, 2, 1.01
user80, 2, ResNeXt, 18720, 0, 18720, 2972, 2972, 21692, 15.36, 2, 1.01
user81, 2, GPT2-SMALL, 18754, 0, 18754, 2214, 2214, 20968, 15.76, 2, 1.09
user82, 1, GPT2-SMALL, 19064, 0, 19064, 2299, 2299, 21363, 15.29, 1, 1.03
user83, 16, ResNet50, 19210, 1214, 20424, 12123, 7673, 31333, 7.94, 10.96, 1.13
user84, 1, ResNet50, 19366, 0, 19366, 2995, 2995, 22361, 14.53, 1, 1.05
user85, 2, ResNet50, 19548, 0, 19548, 2542, 2542, 22090, 14.53, 2, 1.06
user86, 8, BERTLARGE, 19960, 0, 19960, 1173, 1173, 21133, 14.69, 4.39, 0.57
user87, 4, VGG19-I, 20422, 0, 20422, 3247, 3247, 23669, 14.63, 3.79, 0.97
user88, 4, GNMT, 20618, 0, 20618, 1176, 1176, 21794, 14.19, 4, 1.06
user89, 1, GNMT, 20715, 0, 20715, 3681, 3681, 24396, 14.05, 1, 1.06
user90, 1, VGG19-I, 20983, 0, 20983, 2907, 2907, 23890, 14.65, 1, 0.97
user91, 8, VGG19-I, 21482, 0, 21482, 1525, 1525, 23007, 14.03, 4.51, 0.71
user92, 1, ResNet50, 21758, 0, 21758, 2286, 2286, 24044, 14.73, 1, 1.06
user93, 1, BERTLARGE, 21967, 0, 21967, 1296, 1296, 23263, 14.99, 1, 1.28
user94, 16, GPT2-SMALL, 22017, 0, 22017, 1210, 1210, 23227, 14.97, 4.06, 0.33
user95, 4, BERTLARGE, 22610, 0, 22610, 5745, 5344, 28355, 7.4, 3.87, 1.17
user96, 4, BERTLARGE, 22862, 0, 22862, 1260, 1203, 24122, 15.36, 3.41, 1.11
user97, 4, VGG19-I, 22889, 0, 22889, 1041, 1041, 23930, 16.13, 3.29, 0.99
user98, 4, GPT2-SMALL, 22896, 111, 23007, 1159, 1048, 24055, 15.67, 3.37, 0.94
user99, 1, ResNeXt, 22950, 0, 22950, 2594, 2594, 25544, 10.13, 1, 1.15
user100, 8, ResNeXt, 22971, 256, 23227, 1431, 1175, 24402, 13.98, 4.15, 0.69
