rc_file name: a/coldzero-s-alpha-zero-fixedgbs-pknob-0.50/jr_s-alpha-zero_phase.json
max schd: 0.00716, max dp: 0.000494, max job: 23
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3503409,3503409,1.00011,0.960292,1.00011,0.960292,1,1,1,1,1,4,6.40457,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,67,3503040,0.26
Job2,363000,363000,5604864,5604864,1.00027,0.888215,1.00027,0.888215,1,1,1,1,1,4,8.47244,0,1,1,0,0,0,0,0,ResNeXt,4,8,92,5603328,0.253
Job3,489000,489000,2765952,2765952,1,0.956227,1,0.956227,1,1,1,1,1,4,6.99153,0,1,1,0,0,0,0,0,VGG19,4,8,50,2765952,0.258
Job4,1049000,1049000,1147776,1147776,1,1,1,1,1,1,1,1,1,4,6.38557,0,1,1,0,0,0,0,0,VGG19,4,8,11,1147776,0.258
Job5,1221000,1221000,2749500,2749500,1.00002,0.943241,1.00002,0.943241,1,1,1,1,1,1,8.71339,0,1,1,0,0,0,0,0,BERTLARGE,1,128,48,2749440,1
Job6,1353000,1353000,4534656,4534656,1,0.871768,1,0.871768,1,1,1,1,1,4,9.53641,0,1,1,0,0,0,0,0,VGG19,4,8,80,4534656,0.258
Job7,1625000,1625000,2199252,2199252,1.0003,0.934806,1.0003,0.934806,1,1,1,1,1,1,9.20081,0,1,1,0,0,0,0,0,VGG19,1,32,37,2198592,1
Job8,1850000,1850000,2088576,2088576,1,0.926571,1,0.926571,1,1,1,1,1,4,9.48165,0,1,1,0,0,0,0,0,VGG19,4,8,29,2088576,0.258
Job9,2222000,2222000,3960768,3960768,1,0.832474,0.979109,0.832474,1,1,1,1,1,4,10.2134,0,1,1,0,0,0,0,0,VGG19,4,8,74,3960768,0.258
Job10,2421000,2421000,2734368,2734368,1.00011,0.914096,1.00011,0.914096,1,1,1,1,1,4,9.75938,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,47,2734080,0.26
Job11,2453000,2453000,6381035,6381035,0.81442,1.14265,0.313681,1.14265,1.15773,0.945718,0.835842,15,2.81419,9.87344,12.1775,0,15,1,0,10,10,0,0,ResNet50,16,8,76,4176232,0.066
Job12,3002000,3002000,3553664,3553664,1.00068,0.797866,1.00068,0.797866,1,1,1,1,1,1,10.6157,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3551232,1
Job13,3696000,3696000,4197835,4197835,1.02288,0.720634,1.02288,0.720634,0.974482,1,1,2,1.05104,1.94896,12.3223,0,2,1,0,0,0,0,0,BERTLARGE,2,64,75,4103936,0.5
Job14,3768000,3771302,5546185,5540531,1.10525,0.816496,0.859247,0.816496,0.897876,1,1,5,1.21381,3.57238,12.945,0,5,1.00102,0,0,0,0,0,VGG19,4,8,84,4986240,0.258
Job15,4286000,4288742,3503477,3500735,1.00087,0.673414,1.00087,0.673414,0.999217,1,1,1,1,2,12.8061,0,1,1.00078,0,0,0,0,0,BERTLARGE,2,64,66,3500416,0.5
Job16,4653000,4653000,5290776,5290776,1.00015,0.727621,1.00015,0.727621,1,1,1,1,1,1,13.8039,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5289984,1
Job17,4868000,4874567,13966514,13146075,1.27868,1.42926,0.587739,1.42926,0.754826,0.870843,0.651576,40,3.67267,4.44402,15.7036,4,40,1.06241,0,299,299,0,0,ResNeXt,8,4,100,7566144,0.13
Job18,5187000,5188992,2202794,2192896,0.422053,0.765006,0.236164,0.765006,2.23788,0.803902,0.274135,8,1.48774,12.0981,13.2828,0,8,1.00451,0,9,9,0,0,ResNet50,16,8,23,1755544,0.066
Job19,5397000,5399286,4204594,4202308,1.00074,0.703232,1.00074,0.703232,0.999456,1,1,1,1,1,14.3398,0,1,1.00054,0,0,0,0,0,GNMT,1,64,77,4201472,1
Job20,5593000,5605702,1845702,1833000,1.00695,0.608918,1.00695,0.608918,0.993118,1,1,1,1,1,13.7772,0,1,1.00693,0,0,0,0,0,BERTLARGE,1,128,24,1832960,1
Job21,6143000,6152238,2097933,2088695,0.982272,0.629536,0.677856,0.629536,1.01257,0.5,0,1,1,4,14.7379,0,1,1.00442,0,6,6,0,0,BERTLARGE,4,32,30,2100000,0.264
Job22,6256000,6265067,6561211,6464235,1.19258,0.978699,0.81779,0.978699,0.833945,0.64135,0.289526,10,1.58412,3.26545,15.1205,0,10,1.015,1,30,30,0,0,VGG19,4,8,88,5306112,0.258
Job23,6362000,6370004,2800358,2792354,1.00302,0.689684,1.00302,0.689684,0.997142,1,1,1,1,1,15.0034,0,1,1.00287,0,0,0,0,0,ResNet50,1,128,51,2791936,1
Job24,6509000,6518608,1282703,1273095,0.980032,0.588494,0.642282,0.588494,1.02048,1,1,1,1,4,15.6887,0,1,1.00755,0,0,0,0,0,GNMT,4,16,16,1272960,0.259
Job25,6600000,6607544,4429953,4422409,1.13815,1.10529,0.477194,1.10529,0.866921,0.967987,0.924301,6,2.3912,5.6198,14.7423,0,6,1.00171,0,7,7,0,0,ResNeXt,8,4,60,3148544,0.13
Job26,6785000,6787436,1148061,1145625,1.00215,0.603817,1.00215,0.603817,0.997878,1,1,1,1,1,16.0143,0,1,1.00213,0,0,0,0,0,BERTLARGE,1,128,9,1145600,1
Job27,7111000,7136692,4557484,4531792,1.00597,0.853794,1.00597,0.853794,0.994363,1,1,1,1,1,14.6752,0,1,1.00567,0,0,0,0,0,VGG19,1,32,79,4530432,1
Job28,7163000,7181602,3398820,3380218,1.00565,0.835678,1.00565,0.835678,0.994527,1,1,1,1,1,14.8426,0,1,1.0055,0,0,0,0,0,ResNet50,1,128,63,3379712,1
Job29,7375000,7389794,6428047,6413253,1.00299,0.828127,1.00299,0.828127,0.997699,1,1,1,1,1,15.6764,0,1,1.00231,0,0,0,0,0,ResNeXt,1,32,98,6408864,1
