rc_file name: a/s-alpha-zero-fixedgbs-pknob-1.00/jr_s-alpha-zero_phase.json
max schd: 0.007335, max dp: 0.00052, max job: 23
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3537409,3537409,1.0001,0.95856,1.0001,0.967473,1,1,1,1,1,4,6.4787,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,66,3537040,0.26
Job2,363000,363000,5679864,5679864,1.00027,0.881808,1.00027,0.892197,1,1,1,1,1,4,8.59877,0,1,1,0,0,0,0,0,ResNeXt,4,8,91,5678328,0.253
Job3,489000,489000,2835952,2835952,1,0.954419,1,0.977446,1,1,1,1,1,4,7.11516,0,1,1,0,0,0,0,0,VGG19,4,8,50,2835952,0.258
Job4,1049000,1049000,1217776,1217776,1,1,1,1.06099,1,1,1,1,1,4,6.51514,0,1,1,0,0,0,0,0,VGG19,4,8,11,1217776,0.258
Job5,1221000,1221000,2784500,2784500,1.00002,0.938922,1.00002,0.950135,1,1,1,1,1,1,8.82865,0,1,1,0,0,0,0,0,BERTLARGE,1,128,47,2784440,1
Job6,1353000,1353000,4604656,4604656,1,0.864855,1,0.876378,1,1,1,1,1,4,9.67225,0,1,1,0,0,0,0,0,VGG19,4,8,80,4604656,0.258
Job7,1625000,1625000,2269252,2269252,1.00029,0.931699,1.00029,0.959268,1,1,1,1,1,1,9.33299,0,1,1,0,0,0,0,0,VGG19,1,32,38,2268592,1
Job8,1850000,1850000,2158576,2158576,1,0.923907,1,0.952444,1,1,1,1,1,4,9.61007,0,1,1,0,0,0,0,0,VGG19,4,8,30,2158576,0.258
Job9,2222000,2222000,4030768,4030768,1,0.825321,0.964997,0.837323,1,1,1,1,1,4,10.3691,0,1,1,0,0,0,0,0,VGG19,4,8,74,4030768,0.258
Job10,2421000,2421000,2768368,2768368,1.0001,0.90781,1.0001,0.918045,1,1,1,1,1,4,9.87625,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,46,2768080,0.26
Job11,2453000,2453000,7372180,7338164,0.856227,1.23068,0.337687,1.25583,1.25395,0.914915,0.744745,8,2.02977,9.91473,12.997,0,8,1.00464,0,24,24,0,0,ResNet50,16,8,76,4296232,0.066
Job12,3002000,3002000,3628664,3628664,1.00067,0.78809,1.00067,0.801139,1,1,1,1,1,1,10.8396,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3626232,1
Job13,3696000,3696000,4267835,4267835,1.03114,0.697132,1.03114,0.701141,0.9708,1,1,2,1.0584,1.9416,12.6542,0,2,1,0,0,0,0,0,BERTLARGE,2,64,75,4138936,0.5
Job14,3768000,3769422,5721678,5716798,1.11374,0.771433,0.842109,0.778783,0.930735,1,1,5,1.16676,3.66648,13.486,0,5,1.00085,0,0,0,0,0,VGG19,4,8,84,5056240,0.258
Job15,4286000,4291006,3540741,3535735,1.00151,0.651124,1.00151,0.655342,0.998586,1,1,1,1,2,13.0717,0,1,1.00142,0,0,0,0,0,BERTLARGE,2,64,65,3535416,0.5
Job16,4653000,4653000,5355776,5355776,1.00015,0.659717,1.00015,0.665042,1,1,1,1,1,1,14.384,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5354984,1
Job17,4868000,4877213,22425190,21946924,1.79543,1.94524,0.9871,1.95798,0.639432,0.942488,0.901529,56,4.24349,3.18544,14.9635,0,56,1.02179,3,38,38,0,0,ResNeXt,8,4,100,7641144,0.13
Job18,5187000,5190882,3248248,3244366,0.563046,1.05066,0.318827,1.09309,1.607,0.666667,0,1,2,8,14.3376,0,1,1.0012,0,21,21,0,0,ResNet50,16,8,24,1875544,0.066
Job19,5397000,5400801,4326109,4322308,1.00107,0.636027,1.00107,0.647449,0.999121,1,1,1,1,1,14.9962,0,1,1.00088,0,0,0,0,0,GNMT,1,64,77,4321472,1
Job20,5593000,5593753,1868753,1868000,1.00042,0.600151,1.00042,0.606973,0.999597,1,1,1,1,1,14.0107,0,1,1.0004,0,0,0,0,0,BERTLARGE,1,128,23,1867960,1
Job21,6143000,6144960,2136960,2135000,0.9587,0.572725,0.656656,0.578149,1.04381,1,1,1,1,4,15.33,0,1,1.00092,0,0,0,0,0,BERTLARGE,4,32,29,2135000,0.264
Job22,6256000,6256000,7009100,7008065,1.2164,0.914541,0.810961,0.922971,0.89645,0.920198,0.844175,13,1.41027,3.3431,16.1568,0,13,1.00015,0,5,5,0,0,VGG19,4,8,88,5376112,0.258
Job23,6362000,6366241,2861595,2857354,1.00163,0.61743,1.00163,0.626213,0.998518,1,1,1,1,1,15.6566,0,1,1.00148,0,0,0,0,0,ResNet50,1,128,51,2856936,1
Job24,6509000,6516196,1378736,1371540,0.929366,0.559492,0.632932,0.588132,1.06555,0.5,0,1,1,4,16.1696,0,1,1.00525,0,4,4,0,0,GNMT,4,16,17,1392960,0.259
Job25,6600000,6601543,5240659,5180022,1.12671,1.1467,0.530275,1.16583,0.931706,0.804652,0.47507,8,2.01986,5.18824,15.5753,0,8,1.01171,1,118,118,0,0,ResNeXt,8,4,61,3223544,0.13
Job26,6785000,6785136,1180761,1180625,1.00014,0.545755,1.00014,0.554729,0.999885,1,1,1,1,1,16.638,0,1,1.00012,0,0,0,0,0,BERTLARGE,1,128,8,1180600,1
Job27,7111000,7125528,4616320,4601792,1.00345,0.725825,1.00345,0.733902,0.996853,1,1,1,1,1,15.653,0,1,1.00316,0,0,0,0,0,VGG19,1,32,79,4600432,1
Job28,7163000,7215519,3497737,3445218,1.01539,0.715684,1.01539,0.725331,0.984985,1,1,1,1,1,15.6939,0,1,1.01524,0,0,0,0,0,ResNet50,1,128,63,3444712,1
Job29,7375000,7379805,6493058,6488253,1.00142,0.723082,1.00142,0.729172,0.99926,1,1,1,1,1,16.6721,0,1,1.00074,0,0,0,0,0,ResNeXt,1,32,98,6483864,1
Job30,7557000,7572096,2284586,2269490,1.0068,0.680997,1.0068,0.694452,0.993392,1,1,1,1,1,16.008,0,1,1.00665,0,0,0,0,0,ResNet50,1,128,39,2269160,1
Job31,7995000,8053289,2271040,2212751,1.02702,0.777996,1.02702,0.798512,0.974334,1,1,1,1,1,15.3937,0,1,1.02634,0,0,0,0,0,ResNeXt,1,32,32,2211288,1
Job32,8362000,8375117,5133741,5120624,1.00324,0.773213,1.00324,0.777193,0.997445,1,1,1,1,1,16.5854,0,1,1.00256,0,0,0,0,0,GPT2_SMALL,1,256,85,5117136,1
Job33,8399000,8435248,3116965,3080717,1.01196,0.835604,1.01196,0.863379,0.988371,1,1,1,1,1,15.247,0,1,1.01177,0,0,0,0,0,GNMT,1,64,58,3080128,1
Job34,8761000,8764479,3937536,3934057,1.00156,0.811443,1.00156,0.824181,0.999116,1,1,1,1,1,16.0444,0,1,1.00088,0,0,0,0,0,ResNeXt,1,32,72,3931416,1
Job35,9127000,9128580,5902930,5901350,1.00056,0.75821,1.00056,0.765089,0.999732,1,1,1,1,1,16.6989,0,1,1.00027,0,0,0,0,0,VGG19,1,32,94,5899600,1
Job36,9251000,9313397,2515355,2452958,0.850909,0.932506,0.373338,0.946187,1.14928,0.462292,0,2,1.22625,7.095,15.2571,0,2,1.02544,0,9,9,0,0,GPT2_SMALL,8,32,33,2234200,0.139
Job37,9752000,9831661,1292944,1213283,1.06634,0.993163,1.06634,1.05388,0.938388,1,1,1,1,1,14.2941,0,1,1.06566,0,0,0,0,0,ResNeXt,1,32,10,1212504,1
Job38,10015000,10015000,1681626,1681626,1.00014,0.868958,1.00014,0.899159,1,1,1,1,1,1,14.9343,0,1,1,0,0,0,0,0,ResNet50,1,128,21,1681384,1
Job39,10312000,10312580,5127183,5096939,1.17079,1.02797,0.823063,1.05332,0.90789,0.835443,0.670886,5,1.43508,3.12984,16.742,0,5,1.00593,0,15,15,0,0,GNMT,4,16,71,3769152,0.259
Job40,10540000,10541560,3470126,3441133,0.941041,0.8327,0.653772,0.857389,1.134,0.556976,0.113951,4,1.11395,3.7721,17.634,0,4,1.00843,1,37,37,0,0,GNMT,4,16,57,3061952,0.259
Job41,10896000,10897582,9395502,9284478,1.43752,1.13415,0.906013,1.15082,0.783501,0.763436,0.526873,16,1.96542,2.79665,18.1175,0,16,1.01196,0,41,41,0,0,GNMT,4,16,93,5777600,0.259
Job42,11158000,11168146,2860602,2850456,0.840323,0.750767,0.586971,0.765841,1.24663,0.35428,0.0314202,3,1.03142,3.93716,18.32,0,3,1.00356,0,170,170,0,0,ResNeXt,4,8,44,2694264,0.253
Job43,11233000,11271117,1343773,1305656,1.02988,0.801012,1.02988,0.817582,0.971634,1,1,1,1,1,17.3728,0,1,1.02919,0,0,0,0,0,GPT2_SMALL,1,256,14,1304784,1
Job44,11337000,11488261,1808752,1657491,1.09197,0.805155,1.09197,0.832964,0.916373,1,1,1,1,1,18.3911,0,1,1.09126,0,0,0,0,0,ResNeXt,1,32,20,1656408,1
Job45,11555000,11555000,6237572,6237572,1.00015,0.723334,1.00015,0.728828,1,1,1,1,1,1,18.7519,0,1,1,0,0,0,0,0,ResNet50,1,128,97,6236648,1
Job46,11672000,11673433,3348474,3347041,0.985088,0.890423,0.707265,0.898788,1.05436,0.663813,0.327626,6,1.34449,3.31102,17.8008,0,6,1.00043,0,9,9,0,0,BERTLARGE,4,32,43,2675000,0.264
Job47,11714000,11714000,6127334,6127334,1.00068,0.723727,1.00068,0.730195,1,1,1,1,1,1,18.8033,0,1,1,0,0,0,0,0,ResNeXt,1,32,96,6123192,1
Job48,11838000,11942488,1876388,1771900,0.783727,0.739542,0.568298,0.760524,1.29604,0.5,0,1,1,4,19.0841,0,1,1.05897,0,81,81,0,0,VGG19,4,8,22,1763440,0.258
Job49,11981000,12074631,1440159,1346528,0.760472,0.728806,0.555383,0.753595,1.31293,0.333333,0,1,1,4,19.412,0,1,1.06954,0,16,16,0,0,ResNet50,4,32,16,1367336,0.255
Job50,12163000,12245338,2907666,2825328,0.991816,0.90379,0.729974,0.922427,1.04169,0.577996,0.366995,3,1.36699,3.26601,17.9462,0,3,1.02914,0,7,7,0,0,ResNet50,4,32,34,2248328,0.255
Job51,12355000,12385722,3708342,3677620,1.05234,0.932412,0.745519,0.947904,0.965408,0.432118,0.0580267,4,1.53468,3.10471,17.8005,0,4,1.00835,0,27,27,0,0,ResNet50,4,32,49,2822888,0.255
Job52,12432000,12462482,1438106,1407624,1.02232,0.6706,1.02232,0.694903,0.978804,1,1,1,1,1,19.7158,0,1,1.02165,0,0,0,0,0,ResNeXt,1,32,18,1406712,1
Job53,12539000,12576773,4027356,3989583,1.01015,0.717145,1.01015,0.726852,0.990621,1,1,1,1,1,18.2436,0,1,1.00947,0,0,0,0,0,ResNeXt,1,32,73,3986904,1
Job54,12655000,12683896,6658063,6607335,1.16105,0.941861,0.719935,0.951961,0.890034,0.678093,0.356187,7,1.67868,3.12638,18.5989,0,7,1.00768,0,212,212,0,0,ResNeXt,4,8,83,5007096,0.253
Job55,12985000,13048802,2072509,1975640,0.574541,0.998528,0.427137,1.03596,1.80027,0.387633,0,3,1.69779,5.89188,17.3399,0,3,1.04903,0,55,55,0,0,ResNeXt,8,4,19,1452488,0.13
Job56,13347000,13401779,2265330,2210551,1.0248,0.757445,1.0248,0.766155,0.975819,1,1,1,1,2,16.0888,0,1,1.02478,0,0,0,0,0,GPT2_SMALL,2,128,31,2210512,0.5
Job57,13505000,13505000,3632506,3609107,1.1205,0.955395,0.719349,0.986531,0.958333,0.590262,0.219862,5,1.42964,3.32121,18.3441,0,5,1.00648,1,37,37,0,0,GNMT,4,16,48,2807360,0.259
Job58,13823000,13829866,5311741,5304875,1.00132,0.731564,1.00132,0.735107,0.998707,1,1,1,1,1,18.4058,0,1,1.00129,0,0,0,0,0,BERTLARGE,1,128,86,5304760,1
Job59,14481000,14489064,2537735,2529671,1.00401,0.744749,1.00401,0.759231,0.996822,0.5,0,1,1,2,18.853,0,1,1.00319,0,13,13,0,0,ResNet50,2,64,42,2527592,0.5
Job60,14944000,14947373,8103883,8100510,0.848526,1.03983,0.493237,1.04506,1.20199,0.615461,0.237788,13,2.1561,4.75761,17.4224,0,13,1.00042,0,27,27,0,0,GPT2_SMALL,8,32,81,4743000,0.139
Job61,15304000,15304000,12481784,12479767,1.43418,1.46994,0.82874,1.49279,0.769349,0.92552,0.85526,21,3.45047,3.83425,13.9807,0,21,1.00016,0,8,8,0,0,GNMT,8,8,89,5469928,0.142
Job62,15452000,15462010,1951494,1941484,1.00583,0.72534,1.00583,0.734624,0.994871,1,1,1,1,1,21.2108,0,1,1.00516,0,0,0,0,0,GPT2_SMALL,1,256,25,1940176,1
Job63,15555000,15555000,3739150,3739150,1.00015,0.707881,1.00015,0.7167,1,1,1,1,1,1,19.8516,0,1,1,0,0,0,0,0,ResNet50,1,128,70,3738600,1
Job64,15555000,15595718,3447278,3406560,1.01263,0.728057,1.01263,0.739775,0.988188,1,1,1,1,1,20.0112,0,1,1.01195,0,0,0,0,0,ResNeXt,1,32,62,3404280,1
Job65,15557000,15595718,3739718,3701000,1.01048,0.713311,1.01048,0.718105,0.989647,1,1,1,1,1,19.8517,0,1,1.01046,0,0,0,0,0,BERTLARGE,1,128,69,3700920,1
Job66,15557000,15606338,2748027,2698689,1.01848,0.748244,1.01848,0.773518,0.982046,1,1,1,1,1,20.7245,0,1,1.01828,0,0,0,0,0,GNMT,1,64,45,2698176,1
Job67,15557000,15606338,2085336,2035998,1.02453,0.73924,1.02453,0.758051,0.976341,1,1,1,1,1,21.538,0,1,1.02423,0,0,0,0,0,VGG19,1,32,26,2035408,1
Job68,15586000,15606338,1364066,1343728,0.847346,0.721696,0.481087,0.770622,1.1791,0.5,0,1,1,4,21.8161,0,1,1.01514,0,13,13,0,0,GNMT,4,16,15,1364672,0.259
Job69,15795000,15914237,4446251,4327014,1.02771,0.678502,1.02771,0.6853,0.973183,1,1,1,1,1,19.2719,0,1,1.02756,0,0,0,0,0,ResNet50,1,128,78,4326376,1
Job70,15795000,15914237,3332377,3213140,1.03781,0.740465,1.03781,0.746102,0.964219,1,1,1,1,1,20.0209,0,1,1.03711,0,0,0,0,0,GPT2_SMALL,1,256,60,3210960,1
Job71,15796000,15816880,2290132,2269252,1.00949,0.734615,1.00949,0.751489,0.990883,1,1,1,1,1,21.3345,0,1,1.0092,0,0,0,0,0,VGG19,1,32,37,2268592,1
Job72,15796000,15816880,2118005,2097125,1.00998,0.727918,1.00998,0.736781,0.990142,1,1,1,1,1,21.6443,0,1,1.00996,0,0,0,0,0,BERTLARGE,1,128,28,2097080,1
Job73,16670000,16676542,3537596,3531054,1.00253,0.652694,1.00253,0.656814,0.998151,1,1,1,1,1,18.5728,0,1,1.00185,0,0,0,0,0,GPT2_SMALL,1,256,64,3528656,1
Job74,16763000,16763000,1240728,1240728,1.00014,0.74407,1.00014,0.774251,1,1,1,1,1,1,20.9717,0,1,1,0,0,0,0,0,ResNet50,1,128,12,1240552,1
Job75,17119000,17185891,3388025,3321134,0.581016,0.703252,0.320686,0.722754,1.77362,0.356725,0,2,1.14035,7.4386,17.8078,0,2,1.02014,0,51,51,0,0,GNMT,8,8,56,3059872,0.142
Job76,17424000,17424000,2985210,2985210,1.00019,0.630594,1.00019,0.646995,1,1,1,1,1,1,17.579,0,1,1,0,0,0,0,0,GNMT,1,64,54,2984640,1
Job77,17655000,17792572,6083499,5945927,1.02334,0.555783,1.02334,0.561944,0.977386,1,1,1,1,1,16.374,0,1,1.02314,0,0,0,0,0,GNMT,1,64,95,5944768,1
Job78,18284000,18294016,10653030,10489472,1.30916,1.20321,0.854924,1.22114,0.783955,0.906713,0.820228,10,3.22756,4.44815,11.0255,0,10,1.01559,2,9,9,0,0,GNMT,8,8,92,5721960,0.142
Job79,18684000,18684000,6582778,6582778,1.16836,0.637895,1.16836,0.6454,0.913866,0.586134,0.172269,6,1.17227,1.82773,14.5612,0,6,1,0,22,22,0,0,GNMT,2,32,90,5634208,0.5
Job80,18722000,18741751,2959953,2940202,1.00767,0.561761,1.00767,0.569873,0.993327,0.5,0,1,1,2,16.322,0,1,1.00672,0,78,78,0,0,ResNeXt,2,16,53,2937416,0.5
Job81,18756000,18760992,2048116,2043124,1.00246,0.55432,1.00246,0.559468,0.997563,1,1,1,1,2,16.8046,0,1,1.00244,0,0,0,0,0,GPT2_SMALL,2,128,27,2043088,0.5
Job82,19066000,19066000,2259398,2259398,1.00068,0.541546,1.00068,0.545995,1,1,1,1,1,1,16.2354,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,35,2257872,1
Job83,19206000,19218481,13637608,13609552,1.19553,1.32416,0.605441,1.33977,0.840238,0.908552,0.75285,13,5.95546,8.65448,7.72465,0,13,1.00206,0,3,3,0,0,ResNet50,16,8,99,7371160,0.066
Job84,19368000,19485120,2974474,2857354,1.04114,0.560688,1.04114,0.567643,0.960625,1,1,1,1,1,15.555,0,1,1.04099,0,0,0,0,0,ResNet50,1,128,52,2856936,1
Job85,19550000,19556715,2461699,2454984,1.00356,0.548297,1.00356,0.556352,0.997272,0.5,0,1,1,2,15.5976,0,1,1.00274,0,14,14,0,0,ResNet50,2,64,41,2452968,0.5
Job86,19960000,20005080,1295623,1250543,0.521503,0.597299,0.363851,0.609092,1.93411,0.388144,0,2,1.17784,7.28863,15.8439,0,2,1.03605,0,18,18,0,0,BERTLARGE,8,16,7,1152480,0.142
Job87,20423000,20423000,3258921,3258921,0.923406,0.509043,0.664826,0.51467,1.10257,0.256726,0,2,1.0269,3.94619,15.6108,0,2,1,0,93,93,0,0,VGG19,4,8,59,3165232,0.258
Job88,20619000,20640206,1142438,1121232,0.948744,0.578805,0.688791,0.616273,1.04484,0.5,0,1,1,4,15.1086,0,1,1.01891,0,13,13,0,0,GNMT,4,16,6,1138368,0.259
Job89,20717000,20858275,3699527,3558252,1.0399,0.524726,1.0399,0.533812,0.961813,1,1,1,1,1,14.984,0,1,1.0397,0,0,0,0,0,GNMT,1,64,67,3557568,1
Job90,20984000,21055152,3073488,3002336,1.024,0.496846,1.024,0.502533,0.97685,1,1,1,1,1,15.6133,0,1,1.0237,0,0,0,0,0,VGG19,1,32,55,3001456,1
Job91,21482000,21492685,1942909,1932224,0.732395,0.752525,0.517668,0.781272,1.28272,0.483498,0,3,1.82606,4.69577,15.7136,0,3,1.00553,0,41,41,0,0,VGG19,8,4,13,1259020,0.136
