Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,3726166,3726166,1,0.944044,1,0.955184,1,1,1,0,6.85781,0,GPT2_SMALL,4,69,3726166
Job2,363000,363000,5624753,5624753,1,0.865654,1,0.876491,1,1,1,0,8.88152,0,ResNeXt,4,91,5624753
Job3,489000,489000,3357477,3357477,1,0.936245,1,1.00443,1,1,1,0,7.84524,0,VGG19,4,60,3357477
Job4,1049000,1049000,1534329,1534329,1,0.982447,1,1.16386,1,1,1,0,7.21854,0,VGG19,4,19,1534329
Job5,1221000,1221000,2830654,2830654,1,0.914987,1,0.936759,1,1,1,0,9.23362,0,BERTLARGE,1,47,2830654
Job6,1353000,1353000,5348773,5348773,0.9931,0.801287,0.943803,0.831614,1.00728,1,1,0,10.6238,0,VGG19,4,87,5348773
Job7,1625000,1625000,2334660,2334660,1,0.90613,1,0.969483,1,1,1,0,9.81952,0,VGG19,1,35,2334660
Job8,1850000,1850000,2592205,2592205,1,0.903102,0.999326,0.98679,1,1,1,0,10.0074,0,VGG19,4,41,2592205
Job9,2222000,2222000,4702661,4702661,0.98642,0.756791,0.8748,0.787647,1.01452,1,1,0,11.5093,0,VGG19,4,79,4702661
Job10,2421000,2421000,2944066,2944066,1,0.852259,0.954472,0.863768,1,1,1,0,10.4846,0,GPT2_SMALL,4,54,2944066
Job11,2453000,27212444,29075846,4316402,2.79258,4.27747,1.32438,4.36087,0.366206,0.8,0,0,13.0903,0,ResNet50,16,75,4298054
Job12,3002000,3002000,3640750,3640750,1,0.749286,1,0.757132,1,1,1,0,11.5267,0,ResNeXt,1,66,3640750
Job13,3696000,3696000,4325617,4325617,1,0.655574,1,0.662415,1,1,1,0,13.2678,0,BERTLARGE,2,76,4325617
Job14,3768000,3768000,5847921,5847921,0.973872,0.683659,0.725153,0.703685,1.02799,1,1,0,13.9548,0,VGG19,4,93,5847921
Job15,4286000,4286000,3698873,3698873,1,0.628708,1,0.636076,1,1,1,0,13.7335,0,BERTLARGE,2,67,3698873
Job16,4653000,4653000,5328808,5328808,1,0.652295,1,0.656717,1,1,1,0,14.7311,0,ResNet50,1,86,5328808
Job17,4868000,4868000,16349736,8377582,1.25021,1.38191,0.697102,1.39524,0.968691,0.709747,0.237512,10,17.0179,0,ResNeXt,8,99,6970760
Job18,5187000,5385066,2791201,2030474,0.425532,0.873808,0.265012,0.910878,2.67872,0.898197,0.490986,1,14.8945,0,ResNet50,16,23,1876003
Job19,5397000,5397000,4209637,4209637,1,0.637593,1,0.65751,1,1,1,0,15.3543,0,GNMT,1,74,4209637
Job20,5593000,5593000,1938880,1938880,1,0.57807,1,0.590734,1,1,1,0,14.8631,0,BERTLARGE,1,24,1938880
Job21,6143000,6143000,2358635,2358635,0.934385,0.586778,0.638373,0.597351,1.07241,1,1,0,15.841,0,BERTLARGE,4,38,2358635
Job22,6256000,6382000,7539437,6472810,1.08665,0.764043,0.733787,0.783368,0.963411,1,1,1,16.8142,0,VGG19,4,96,6209373
Job23,6362000,6382000,2914833,2894833,1.00691,0.628855,1.00691,0.636406,0.993139,1,1,0,16.0317,0,ResNet50,1,50,2894833
Job24,6509000,6529000,1376288,1356288,0.915894,0.577135,0.645402,0.62997,1.11023,1,1,0,16.7125,0,GNMT,4,15,1356288
Job25,6600000,6642750,4177521,3101231,0.962302,0.931486,0.45614,0.955562,1.10024,0.967549,0.902648,1,15.8533,0,ResNeXt,8,55,2965850
Job26,6785000,6785000,1213966,1213966,1,0.550587,1,0.569147,1,1,1,0,16.9093,0,BERTLARGE,1,10,1213966
Job27,7111000,7111000,4674132,4674132,1,0.688533,1,0.706044,1,1,1,0,15.7903,0,VGG19,1,78,4674132
Job28,7163000,7163000,3413299,3413299,1,0.681844,1,0.689419,1,1,1,0,15.9459,0,ResNet50,1,62,3413299
Job29,7375000,7375000,6541230,6541230,1,0.635854,1,0.638982,1,1,1,0,17.0372,0,ResNeXt,1,98,6541230
Job30,7557000,7557000,2274316,2274316,1,0.702018,1,0.714141,1,1,1,0,16.0479,0,ResNet50,1,32,2274316
Job31,7995000,7995000,2214270,2214270,1,0.752621,1,0.765725,1,1,1,0,15.5296,0,ResNeXt,1,30,2214270
Job32,8362000,8362000,4969470,4969470,1,0.661743,1,0.665806,1,1,1,0,16.866,0,GPT2_SMALL,1,83,4969470
Job33,8399000,8399000,3014415,3014415,1,0.740101,1,0.77832,1,1,1,0,15.4522,0,GNMT,1,57,3014415
Job34,8761000,8761000,3953150,3953150,1,0.685714,1,0.691755,1,1,1,0,16.3869,0,ResNeXt,1,72,3953150
Job35,9127000,9127000,5964160,5964160,1,0.629978,1,0.641385,1,1,1,0,16.9845,0,VGG19,1,94,5964160
