Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,3726166,3726166,1,0.944044,1,0.955184,1,1,1,0,6.85781,0,GPT2_SMALL,4,69,3726166
Job2,363000,363000,5624753,5624753,1,0.865654,1,0.876491,1,1,1,0,8.88152,0,ResNeXt,4,91,5624753
Job3,489000,489000,3357477,3357477,1,0.936245,1,1.00443,1,1,1,0,7.84524,0,VGG19,4,60,3357477
Job4,1049000,1049000,1534329,1534329,1,0.982447,1,1.16386,1,1,1,0,7.21854,0,VGG19,4,19,1534329
Job5,1221000,1221000,2830654,2830654,1,0.914987,1,0.936759,1,1,1,0,9.23362,0,BERTLARGE,1,47,2830654
Job6,1353000,1353000,5348773,5348773,0.9931,0.801287,0.943803,0.831614,1.00728,1,1,0,10.6238,0,VGG19,4,87,5348773
Job7,1625000,1625000,2334660,2334660,1,0.90613,1,0.969483,1,1,1,0,9.81952,0,VGG19,1,35,2334660
Job8,1850000,1850000,2592205,2592205,1,0.903102,0.999326,0.98679,1,1,1,0,10.0074,0,VGG19,4,41,2592205
Job9,2222000,2222000,4702661,4702661,0.98642,0.756791,0.8748,0.787647,1.01452,1,1,0,11.5093,0,VGG19,4,79,4702661
Job10,2421000,2421000,2944066,2944066,1,0.852259,0.954472,0.863768,1,1,1,0,10.4846,0,GPT2_SMALL,4,54,2944066
Job11,2453000,5420000,7265054,4298054,0.700027,1.10695,0.310622,1.12932,1.45462,1,1,0,13.9506,0,ResNet50,16,75,4298054
Job12,3002000,3002000,3640750,3640750,1,0.749286,1,0.757132,1,1,1,0,11.5267,0,ResNeXt,1,66,3640750
Job13,3696000,3696000,4325617,4325617,1,0.652501,1,0.659279,1,1,1,0,13.3146,0,BERTLARGE,2,76,4325617
Job14,3768000,3768000,5847921,5847921,0.96408,0.626843,0.692778,0.643638,1.03888,1,1,0,14.6273,0,VGG19,4,93,5847921
Job15,4286000,4286000,3698873,3698873,1,0.627386,1,0.634723,1,1,1,0,13.7622,0,BERTLARGE,2,67,3698873
Job16,4653000,4653000,5328808,5328808,1,0.588798,1,0.592398,1,1,1,0,15.5851,0,ResNet50,1,86,5328808
Job17,4868000,4868000,11402214,7104160,0.770686,0.978882,0.434451,0.988472,1.3339,1,1,1,19.0529,0,ResNeXt,8,99,6970760
Job18,5187000,8120000,4809003,1876003,0.729642,1.49779,0.421756,1.561,1.44353,1,1,0,16.1402,0,ResNet50,16,23,1876003
Job19,5397000,5397000,4209637,4209637,1,0.5713,1,0.587239,1,1,1,0,16.284,0,GNMT,1,74,4209637
Job20,5593000,5593000,1938880,1938880,1,0.57807,1,0.590734,1,1,1,0,14.8631,0,BERTLARGE,1,24,1938880
Job21,6143000,6143000,3946036,2450115,1.58288,0.946617,0.994025,0.963054,0.657362,1,1,1,17.0432,0,BERTLARGE,4,38,2358635
Job22,6256000,6924661,9018604,6473940,1.17813,0.880496,0.764362,0.901932,0.891789,1,1,1,19.369,0,VGG19,4,96,6209373
Job23,6362000,6642750,3175583,2894833,1.09698,0.600137,1.09698,0.60644,0.911591,1,1,0,17.3002,0,ResNet50,1,50,2894833
Job24,6509000,6701773,1549061,1356288,1.03263,0.650008,0.721979,0.709556,0.984466,1,1,0,16.8261,0,GNMT,4,15,1356288
Job25,6600000,9718054,6083904,2965850,1.08996,1.28174,0.580694,1.313,0.934496,1,1,0,18.1642,0,ResNeXt,8,55,2965850
Job26,6785000,7531880,1960846,1213966,1.61524,0.904027,1.61524,0.935023,0.619103,1,1,0,17.0459,0,BERTLARGE,1,10,1213966
Job27,7111000,7984873,7544940,4809259,1.61419,0.996802,1.61419,1.01948,0.637415,1,1,1,19.6166,0,VGG19,1,78,4674132
Job28,7163000,7984873,5797113,3488603,1.69839,1.07021,1.69839,1.08119,0.601783,1,1,1,18.6916,0,ResNet50,1,62,3413299
Job29,7375000,8021617,9134953,6612333,1.39652,0.828883,1.39652,0.832687,0.72385,1,1,1,20.7262,0,ResNeXt,1,98,6541230
Job30,7557000,8021617,3440875,2350412,1.51293,0.956297,1.51293,0.971141,0.683086,1,1,1,17.4029,0,ResNet50,1,32,2274316
Job31,7995000,8058061,3756853,2276209,1.69666,1.1297,1.69666,1.14707,0.605882,1,1,1,17.5907,0,ResNeXt,1,30,2214270
Job32,8362000,9996003,6603473,4969470,1.32881,0.827969,1.32881,0.832754,0.752554,1,1,0,20.1886,0,GPT2_SMALL,1,83,4969470
Job33,8399000,9996003,4611418,3014415,1.52979,1.0229,1.52979,1.07038,0.653685,1,1,0,19.1217,0,GNMT,1,57,3014415
Job34,8761000,10089036,5281186,3953150,1.33594,0.85552,1.33594,0.862555,0.748535,1,1,0,19.9976,0,ResNeXt,1,72,3953150
