Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,3726166,3726166,1,0.944044,1,0.955184,1,1,1,0,6.85781,0,GPT2_SMALL,4,69,3726166
Job2,363000,363000,5624753,5624753,1,0.865654,1,0.876491,1,1,1,0,8.88152,0,ResNeXt,4,91,5624753
Job3,489000,489000,3357477,3357477,1,0.936245,1,1.00443,1,1,1,0,7.84524,0,VGG19,4,60,3357477
Job4,1049000,1049000,1534329,1534329,1,0.982447,1,1.16386,1,1,1,0,7.21854,0,VGG19,4,19,1534329
Job5,1221000,1221000,2830654,2830654,1,0.914987,1,0.936759,1,1,1,0,9.23362,0,BERTLARGE,1,47,2830654
Job6,1353000,1353000,5348773,5348773,0.9931,0.801287,0.943803,0.831614,1.00728,1,1,0,10.6238,0,VGG19,4,87,5348773
Job7,1625000,1625000,2334660,2334660,1,0.90613,1,0.969483,1,1,1,0,9.81952,0,VGG19,1,35,2334660
Job8,1850000,1850000,2592205,2592205,1,0.903102,0.999326,0.98679,1,1,1,0,10.0074,0,VGG19,4,41,2592205
Job9,2222000,2222000,4702661,4702661,0.98642,0.756791,0.8748,0.787647,1.01452,1,1,0,11.5093,0,VGG19,4,79,4702661
Job10,2421000,2421000,2944066,2944066,1,0.852259,0.954472,0.863768,1,1,1,0,10.4846,0,GPT2_SMALL,4,54,2944066
Job11,2453000,24375701,26239103,4316402,2.11012,3.30045,1.06533,3.35531,0.485644,0.8,0,0,14.6951,0,ResNet50,16,75,4298054
Job12,3002000,3002000,3640750,3640750,1,0.749286,1,0.757132,1,1,1,0,11.5267,0,ResNeXt,1,66,3640750
Job13,3696000,3696000,4325617,4325617,1,0.652775,1,0.659558,1,1,1,0,13.3042,0,BERTLARGE,2,76,4325617
Job14,3768000,3768000,5847921,5847921,0.971661,0.63619,0.710533,0.653496,1.03043,1,1,0,14.2509,0,VGG19,4,93,5847921
Job15,4286000,4286000,3698873,3698873,1,0.627386,1,0.634723,1,1,1,0,13.7622,0,BERTLARGE,2,67,3698873
Job16,4653000,4653000,5328808,5328808,1,0.593855,1,0.597517,1,1,1,0,15.1247,0,ResNet50,1,86,5328808
Job17,4868000,4868000,6970760,6970760,0.574603,0.572788,0.323393,0.578156,1.75253,1,1,0,15.6334,0,ResNeXt,8,99,6970760
Job18,5187000,25303406,21992409,1876003,3.33401,6.04223,1.94512,6.26603,0.31592,1,1,0,16.003,0,ResNet50,16,23,1876003
Job19,5397000,5397000,4209637,4209637,1,0.58199,1,0.59854,1,1,1,0,15.7634,0,GNMT,1,74,4209637
Job20,5593000,5593000,1938880,1938880,1,0.57807,1,0.590734,1,1,1,0,14.8631,0,BERTLARGE,1,24,1938880
Job21,6143000,6143000,2358635,2358635,0.928828,0.557106,0.627872,0.566628,1.07901,1,1,0,16.1112,0,BERTLARGE,4,38,2358635
Job22,6256000,6256000,6209373,6209373,0.932983,0.557496,0.607403,0.569952,1.07476,1,1,0,16.7273,0,VGG19,4,96,6209373
Job23,6362000,6362000,2894833,2894833,1,0.562076,1,0.568143,1,1,1,0,16.4991,0,ResNet50,1,50,2894833
Job24,6509000,6642750,1490038,1356288,0.991154,0.624714,0.695297,0.681892,1.026,0.5,0,0,16.804,0,GNMT,4,15,1356288
Job25,6600000,7999038,4402508,3003470,0.831943,0.834296,0.461316,0.852553,1.23844,0.666667,0,0,16.528,0,ResNeXt,8,55,2965850
Job26,6785000,6785000,1213966,1213966,1,0.546003,1,0.564251,1,1,1,0,17.0201,0,BERTLARGE,1,10,1213966
Job27,7111000,7111000,4674132,4674132,1,0.560209,1,0.571746,1,1,1,0,16.7098,0,VGG19,1,78,4674132
Job28,7163000,7163000,3413299,3413299,1,0.565193,1,0.570388,1,1,1,0,16.7345,0,ResNet50,1,62,3413299
Job29,7375000,7375000,6541230,6541230,1,0.532523,1,0.534714,1,1,1,0,17.6291,0,ResNeXt,1,98,6541230
Job30,7557000,7557000,2274316,2274316,1,0.572354,1,0.580387,1,1,1,0,16.9039,0,ResNet50,1,32,2274316
Job31,7995000,7995000,2214270,2214270,1,0.581547,1,0.58934,1,1,1,0,16.5224,0,ResNeXt,1,30,2214270
Job32,8362000,8362000,4969470,4969470,1,0.539465,1,0.542162,1,1,1,0,17.5173,0,GPT2_SMALL,1,83,4969470
Job33,8399000,8399000,3014415,3014415,1,0.575238,1,0.598064,1,1,1,0,16.5202,0,GNMT,1,57,3014415
Job34,8761000,8761000,3953150,3953150,1,0.545958,1,0.549781,1,1,1,0,17.2416,0,ResNeXt,1,72,3953150
Job35,9127000,9127000,5964160,5964160,1,0.528954,1,0.536972,1,1,1,0,17.5644,0,VGG19,1,94,5964160
