Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3533555,3533555,1.0005,0.95897,1.0005,0.967901,1,1,1,1,1,4,6.47486,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,66,3531792,0.26
Job2,363000,363000,5650680,5650680,1.00054,0.883581,1.00054,0.894067,1,1,1,1,1,4,8.57999,0,1,1,0,0,0,0,0,ResNeXt,4,8,92,5647608,0.253
Job3,489000,489000,2835952,2835952,1,0.954419,1,0.977446,1,1,1,1,1,4,7.11516,0,1,1,0,0,0,0,0,VGG19,4,8,50,2835952,0.258
Job4,1049000,1049000,1217776,1217776,1,1,1,1.06099,1,1,1,1,1,4,6.51514,0,1,1,0,0,0,0,0,VGG19,4,8,12,1217776,0.258
Job5,1221000,1221000,2784500,2784500,1.00002,0.939012,1.00002,0.950227,1,1,1,1,1,1,8.82727,0,1,1,0,0,0,0,0,BERTLARGE,1,128,47,2784440,1
Job6,1353000,1353000,4604656,4604656,1,0.86495,1,0.876474,1,1,1,1,1,4,9.67075,0,1,1,0,0,0,0,0,VGG19,4,8,80,4604656,0.258
Job7,1625000,1625000,2269252,2269252,1.00029,0.931806,1.00029,0.959382,1,1,1,1,1,1,9.33129,0,1,1,0,0,0,0,0,VGG19,1,32,37,2268592,1
Job8,1850000,1850000,2158576,2158576,1,0.924018,1,0.952561,1,1,1,1,1,4,9.60829,0,1,1,0,0,0,0,0,VGG19,4,8,30,2158576,0.258
Job9,2222000,2222000,4030768,4030768,1,0.825904,0.965816,0.837923,1,1,1,1,1,4,10.3602,0,1,1,0,0,0,0,0,VGG19,4,8,76,4030768,0.258
Job10,2421000,2421000,2765360,2765360,1.0005,0.908663,1.0005,0.918929,1,1,1,1,1,4,9.87278,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,46,2763984,0.26
Job11,2453000,2453000,8467239,7843243,1.08327,1.62793,0.420089,1.66638,1.14395,0.844438,0.603591,18,2.82383,9.8959,12.995,2,18,1.07956,0,41,41,0,0,ResNet50,16,8,74,3974512,0.066
Job12,3002000,3002000,3628664,3628664,1.00067,0.788678,1.00067,0.801747,1,1,1,1,1,1,10.8297,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3626232,1
Job13,3696000,3696000,4096730,4096730,1.03383,0.747017,1.03383,0.751815,0.969581,1,1,2,1.06084,1.93916,12.2806,0,2,1,0,0,0,0,0,BERTLARGE,2,64,73,3962680,0.5
Job14,3768000,3771900,5590660,5585071,1.10407,0.810113,0.84324,0.818415,0.91979,1,1,3,1.16132,3.67735,13.1562,0,3,1.001,0,0,0,0,0,VGG19,4,8,84,5056240,0.258
Job15,4286000,4293484,3392854,3385370,1.0023,0.696281,1.0023,0.701318,0.997794,1,1,1,1,2,12.6795,0,1,1.00221,0,0,0,0,0,BERTLARGE,2,64,62,3385080,0.5
Job16,4653000,4653000,5355776,5355776,1.00015,0.70474,1.00015,0.71082,1,1,1,1,1,1,14.1468,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5354984,1
Job17,4868000,6416989,25561353,13498451,2.50917,2.60849,1.37607,2.62861,0.465731,0.774384,0.389871,47,3.20282,5.00036,12.9073,21,47,1.89365,1,53,53,0,0,ResNeXt,8,4,100,7241736,0.13
Job18,5187000,5196180,1779591,1770411,0.376453,0.655901,0.212624,0.686253,2.82878,0.8,0,1,1,16,12.7286,0,1,1.00519,0,65,65,0,0,ResNet50,16,8,22,1740304,0.066
Job19,5397000,5469934,4395242,4322308,1.01707,0.706225,1.01707,0.72011,0.983406,1,1,1,1,1,14.6771,0,1,1.01687,0,0,0,0,0,GNMT,1,64,77,4321472,1
Job20,5593000,5736573,2011573,1868000,1.07688,0.69165,1.07688,0.700075,0.928627,1,1,1,1,1,13.9859,0,1,1.07686,0,0,0,0,0,BERTLARGE,1,128,24,1867960,1
Job21,6143000,6252768,2248303,2138535,1.04758,0.702926,0.720322,0.710702,0.954715,1,1,1,1,4,14.6729,0,1,1.05133,0,0,0,0,0,BERTLARGE,4,32,29,2138360,0.264
Job22,6256000,6257105,6743380,6564521,1.20469,0.939855,0.806453,0.949115,0.891042,0.987165,0.97433,10,1.3538,3.51456,15.6268,1,10,1.02725,0,2,2,0,0,VGG19,4,8,88,5376112,0.258
Job23,6362000,6416989,2912343,2857354,1.01939,0.715499,1.01939,0.72711,0.981119,1,1,1,1,1,15.2064,0,1,1.01924,0,0,0,0,0,ResNet50,1,128,52,2856936,1
Job24,6509000,6613866,1501381,1396515,1.07626,0.718227,0.725283,0.761968,0.935344,0.5,0,1,1,4,15.38,0,1,1.07509,0,12,12,0,0,GNMT,4,16,18,1387920,0.259
Job25,6600000,6600000,3484747,3395739,0.824012,0.812572,0.374431,0.827035,1.25326,0.695864,0.0875921,3,1.61314,7.38686,15.4774,1,3,1.02621,0,194,194,0,0,ResNeXt,8,4,58,3057336,0.13
Job26,6785000,6793496,1189121,1180625,1.00722,0.671669,1.00722,0.685216,0.992855,1,1,1,1,1,15.7037,0,1,1.0072,0,0,0,0,0,BERTLARGE,1,128,10,1180600,1
Job27,7111000,7120424,4611216,4601792,1.00234,0.780739,1.00234,0.790104,0.997956,1,1,1,1,1,15.205,0,1,1.00205,0,0,0,0,0,VGG19,1,32,79,4600432,1
Job28,7163000,7164073,3446291,3445218,1.00046,0.75166,1.00046,0.762469,0.999689,1,1,1,1,1,15.4314,0,1,1.00031,0,0,0,0,0,ResNet50,1,128,64,3444712,1
Job29,7375000,7386513,6499766,6488253,1.00245,0.760611,1.00245,0.767346,0.998229,1,1,1,1,1,16.2683,0,1,1.00177,0,0,0,0,0,ResNeXt,1,32,98,6483864,1
Job30,7557000,7564039,2276529,2269490,1.00325,0.753745,1.00325,0.770323,0.996908,1,1,1,1,1,15.6118,0,1,1.0031,0,0,0,0,0,ResNet50,1,128,39,2269160,1
Job31,7995000,8078609,2296360,2212751,1.03847,0.802013,1.03847,0.823586,0.963591,1,1,1,1,1,15.3465,0,1,1.03779,0,0,0,0,0,ResNeXt,1,32,32,2211288,1
Job32,8362000,8368341,5126965,5120624,1.00192,0.777177,1.00192,0.781203,0.998763,1,1,1,1,1,16.2823,0,1,1.00124,0,0,0,0,0,GPT2_SMALL,1,256,85,5117136,1
Job33,8399000,8408144,3089861,3080717,1.00316,0.806289,1.00316,0.832353,0.997041,1,1,1,1,1,15.0882,0,1,1.00297,0,0,0,0,0,GNMT,1,64,59,3080128,1
Job34,8761000,8762612,3935669,3934057,1.00108,0.807382,1.00108,0.819999,0.99959,1,1,1,1,1,15.7877,0,1,1.00041,0,0,0,0,0,ResNeXt,1,32,72,3931416,1
Job35,9127000,9144102,5918452,5901350,1.0032,0.781282,1.0032,0.788569,0.99711,1,1,1,1,1,16.1267,0,1,1.0029,0,0,0,0,0,VGG19,1,32,94,5899600,1
Job36,9251000,9254898,2342900,2279885,0.903298,0.870785,0.366879,0.883593,1.13299,0.5,0,2,1.05483,7.7807,14.8709,0,2,1.02764,0,10,10,0,0,GPT2_SMALL,8,32,31,2173048,0.139
Job37,9752000,9779263,1240546,1213283,1.02313,0.82255,1.02313,0.865595,0.978023,1,1,1,1,1,14.4201,0,1,1.02247,0,0,0,0,0,ResNeXt,1,32,11,1212504,1
Job38,10015000,10015000,1681626,1681626,1.00014,0.864438,1.00014,0.89432,1,1,1,1,1,1,14.3902,0,1,1,0,0,0,0,0,ResNet50,1,128,21,1681384,1
Job39,10312000,10316523,4690014,4595812,1.10159,0.983114,0.776798,1.00848,0.989171,0.713476,0.426952,6,1.29731,3.54712,16.2809,0,6,1.0205,0,23,23,0,0,GNMT,4,16,71,3754704,0.259
Job40,10540000,10588644,3364828,3301868,0.935786,0.84634,0.656552,0.87268,1.0981,0.5,0,2,1.11313,3.77374,17.0801,0,2,1.01907,0,24,24,0,0,GNMT,4,16,57,3050304,0.259
Job41,10896000,10976495,7854630,6290954,1.22682,1.04596,0.774679,1.06295,0.846685,0.534517,0.0690337,4,1.2071,3.7929,17.7797,2,4,1.24856,0,55,55,0,0,GNMT,4,16,93,5755200,0.259
Job42,11158000,11159003,2682343,2681340,0.812941,0.750862,0.568552,0.766964,1.23742,1,1,1,1,4,17.8235,0,1,1.00037,0,0,0,0,0,ResNeXt,4,8,44,2679904,0.253
