Job#,Admitted_time,Scheduled_time,JCT,Running_time,Init_time,Fairness
Job1,0,0,1214000,1214000,75,1.004
Job2,143000,143000,1166000,1166000,49,1.005
Job3,2044000,2044000,5593000,5443000,160,0.567
Job4,3321000,3321000,8149000,5124000,69,0.659
Job5,3416000,3416000,3931000,3931000,160,1.023
Job6,3667000,3689000,12709000,5035000,48,1.143
Job7,3796000,3839000,2850000,2807000,153,0.711
Job8,4172000,12699000,14915000,5075000,31,1.370
Job9,4173000,16377000,22536000,5736000,140,1.817
Job10,4187000,4187000,1436000,1436000,105,0.647
Job11,4592000,35781000,37485000,6296000,96,3.620
Job12,4990000,7637000,7708000,4846000,56,0.598
Job13,7103000,7131000,1204000,1176000,28,0.671
Job14,8066000,8094000,1129000,1101000,28,0.729
Job15,9937000,9937000,1482000,1482000,44,1.051
Job16,9937000,9937000,1329000,1329000,69,0.930
Job17,9937000,9937000,1534000,1534000,40,1.000
Job18,9937000,9937000,1729000,1729000,47,1.014
Job19,13332000,13332000,1745000,1745000,119,1.007
Job20,14994000,15040000,1319000,1273000,28,0.498
Job21,15832000,15832000,1436000,1436000,55,0.960
Job22,17225000,17246000,1226000,1205000,80,0.945
Job23,17758000,37894000,25358000,5222000,108,2.703
Job24,17931000,17951000,1346000,1326000,40,0.796
Job25,18252000,18299000,2266000,1462000,50,1.088
Job26,18252000,18299000,1766000,1719000,159,0.874
Job27,18329000,18339000,3291000,3281000,75,1.026
Job28,18710000,18710000,1605000,1605000,63,0.998
Job29,19163000,19163000,1597000,1597000,55,1.024
Job30,19321000,19332000,2977000,2927000,46,0.685
Job31,19856000,19856000,3039000,2857000,98,0.736
Job32,20109000,20109000,4557000,2769000,116,1.293
Job33,20293000,20303000,1954000,1944000,86,0.669
Job34,20452000,20462000,2116000,2106000,43,0.716
Job35,21281000,21281000,1072000,1072000,58,0.907
Job36,21672000,21672000,1601000,1601000,59,1.000
Job37,22007000,22007000,1347000,1347000,71,0.933
Job38,22592000,23354000,8439000,4996000,38,0.680
Job39,23770000,23814000,1476000,1432000,26,1.049
Job40,24146000,27172000,11634000,4689000,120,1.122
Job41,24880000,24907000,2212000,2185000,48,0.711
Job42,25026000,25026000,2146000,2146000,52,0.716
Job43,26549000,33214000,11344000,4679000,166,1.296
Job44,26991000,26991000,3082000,3082000,53,0.714
Job45,27655000,27674000,1223000,1204000,43,0.796
Job46,28832000,28832000,1062000,1062000,91,0.675
Job47,28851000,28894000,4362000,2350000,101,0.826
Job48,29986000,29997000,1044000,1033000,51,0.998
Job49,30117000,30127000,1475000,1465000,48,0.728
Job50,30418000,30418000,1416000,1416000,54,0.944
