Job#,Admitted_time,Scheduled_time,JCT,Running_time,Init_time,Fairness
Job1,0,0,1179000,1179000,54,0.975
Job2,143000,143000,1176000,1176000,64,1.014
Job3,2044000,2044000,5104000,5104000,146,0.526
Job4,3321000,3321000,16541000,4767000,57,1.356
Job5,3416000,3416000,3885000,3885000,111,1.010
Job6,3667000,7149000,17963000,4875000,71,1.349
Job7,3796000,6365000,5060000,2491000,88,1.187
Job8,4172000,8857000,9611000,4926000,38,0.670
Job9,4173000,10257000,11261000,5177000,151,0.775
Job10,4187000,6365000,3551000,1373000,97,1.526
Job11,4592000,15435000,17251000,6408000,149,1.126
Job12,4990000,13784000,18356000,4793000,44,1.334
Job13,7103000,7302000,1397000,1198000,41,0.682
Job14,8066000,8066000,1093000,1093000,26,0.633
Job15,9937000,9937000,1432000,1432000,48,1.015
Job16,9937000,9937000,1372000,1372000,76,0.961
Job17,9937000,9937000,1528000,1528000,48,0.996
Job18,9937000,9937000,1737000,1737000,45,1.019
Job19,13332000,13332000,1697000,1697000,61,0.979
Job20,14994000,16862000,3143000,1275000,23,1.098
Job21,15832000,15832000,1406000,1406000,46,0.837
Job22,17225000,17239000,1223000,1209000,80,0.943
Job23,17758000,26230000,13968000,5496000,161,0.802
Job24,17931000,19210000,2594000,1315000,25,1.121
Job25,18252000,21844000,5048000,1456000,55,1.717
Job26,18252000,20526000,3952000,1678000,129,1.381
Job27,18329000,18329000,6050000,3412000,73,1.886
Job28,18710000,18710000,4295000,1657000,50,2.671
Job29,19163000,19163000,4254000,1615000,55,2.729
Job30,19321000,23347000,6908000,2882000,126,1.330
Job31,19856000,23347000,6200000,2709000,154,1.237
Job32,20109000,24174000,7039000,2974000,81,1.529
Job33,20293000,22205000,3880000,1968000,83,1.113
Job34,20452000,23301000,5011000,2162000,127,1.443
Job35,21281000,21844000,1660000,1097000,73,1.404
Job36,21672000,21844000,1822000,1650000,72,1.138
Job37,22007000,22007000,1361000,1361000,76,0.942
Job38,22592000,27548000,9638000,4682000,40,0.695
Job39,23770000,23770000,1453000,1453000,37,1.033
Job40,24146000,31728000,12598000,4836000,156,1.409
Job41,24880000,25224000,2541000,2197000,55,0.775
Job42,25026000,25464000,2521000,2083000,52,0.819
Job43,26549000,35762000,13945000,4732000,154,2.030
Job44,26991000,27149000,5611000,3183000,49,1.346
Job45,27655000,28815000,2411000,1251000,110,1.600
Job46,28832000,30067000,2252000,1017000,58,1.416
Job47,28851000,33514000,6910000,2247000,141,1.742
Job48,29986000,32052000,3111000,1045000,53,2.973
Job49,30117000,32052000,3407000,1472000,56,1.802
Job50,30418000,32052000,3096000,1462000,91,2.064
