Job#,Admitted_time,Scheduled_time,JCT,Running_time,Init_time,Fairness
Job1,0,0,1171000,1171000,55,0.969
Job2,143000,143000,1174000,1174000,66,1.012
Job3,2044000,2044000,5101000,5101000,131,0.526
Job4,3321000,3321000,4765000,4764000,55,0.363
Job5,3416000,3416000,3883000,3883000,98,1.009
Job6,3667000,7146000,8385000,4905000,76,0.528
Job7,3796000,7299000,6205000,2702000,84,1.425
Job8,4172000,8087000,8827000,4912000,26,0.532
Job9,4173000,12053000,13046000,5166000,162,0.993
Job10,4187000,10002000,7075000,1260000,86,3.111
Job11,4592000,13000000,21619000,6953000,118,1.443
Job12,4990000,17220000,17201000,4835000,73,1.422
Job13,7103000,11263000,5358000,1198000,43,2.704
Job14,8066000,12462000,5494000,1098000,27,3.383
Job15,9937000,13561000,5051000,1427000,54,3.581
Job16,9937000,13561000,4991000,1367000,81,3.494
Job17,9937000,13561000,5140000,1516000,53,3.349
Job18,9937000,13561000,5372000,1748000,41,3.151
Job19,13332000,13561000,1884000,1655000,64,1.087
Job20,14994000,18507000,4808000,1295000,39,1.930
Job21,15832000,15833000,1410000,1409000,49,0.994
Job22,17225000,17243000,1256000,1238000,107,0.969
Job23,17758000,19866000,7394000,5286000,148,0.372
Job24,17931000,22386000,5766000,1311000,28,2.397
Job25,18252000,22386000,5606000,1472000,58,1.993
Job26,18252000,23345000,6747000,1654000,125,2.427
Job27,18329000,18329000,3275000,3275000,76,1.021
Job28,18710000,18710000,1566000,1566000,48,0.974
Job29,19163000,19163000,1587000,1587000,41,1.018
Job30,19321000,23698000,7129000,2752000,45,1.215
Job31,19856000,23859000,6651000,2648000,90,1.166
Job32,20109000,25000000,7504000,2613000,82,1.367
Job33,20293000,26212000,7634000,1715000,83,2.087
Job34,20452000,26212000,7888000,2128000,89,2.088
Job35,21281000,21281000,1083000,1083000,66,0.916
Job36,21672000,21672000,1611000,1611000,59,1.006
Job37,22007000,22007000,1337000,1337000,74,0.926
Job38,22592000,28754000,10875000,4713000,34,0.782
Job39,23770000,26451000,4138000,1457000,39,2.793
Job40,24146000,29940000,10400000,4606000,122,0.908
Job41,24880000,26508000,3873000,2245000,99,0.947
Job42,25026000,27613000,4719000,2132000,59,1.301
Job43,26549000,33468000,11480000,4561000,142,1.527
Job44,26991000,27909000,3954000,3036000,54,0.907
Job45,27655000,27927000,1288000,1016000,41,0.771
Job46,28832000,28944000,1107000,995000,48,0.811
Job47,28851000,34547000,7843000,2147000,113,2.332
Job48,29986000,30946000,2000000,1040000,52,1.911
Job49,30117000,32362000,3759000,1514000,52,2.340
Job50,30418000,30946000,1943000,1415000,54,1.295
