user, #gpu, model, submitTime, queuingTime, scheduleTime, JCT, runningTime, finishTime, avgN, avgMM, fairness
user1, 8, ResNeXt, 0, 0, 0, 1250, 1250, 1250, 1.89, 8.00, 0.97
user2, 8, BERTLARGE, 142, 0, 142, 1142, 1142, 1284, 1.97, 8.00, 1.10
user3, 16, ResNet50, 2044, 0, 2044, 5037, 5037, 7081, 6.18, 8.74, 0.53
user4, 16, BERTLARGE, 3320, 0, 3320, 7713, 6444, 11033, 7.81, 6.11, 0.56
user5, 4, ResNet50, 3414, 0, 3414, 3730, 3730, 7144, 8.08, 4.00, 1.04
user6, 16, BERTLARGE, 3669, 0, 3669, 12806, 6002, 16475, 6.82, 7.02, 1.07
user7, 8, GNMT, 3796, 0, 3796, 3190, 3190, 6986, 8.66, 4.87, 0.68
user8, 16, GPT2-SMALL, 4174, 2907, 7081, 7732, 4573, 11906, 8.16, 5.58, 0.60
user9, 16, ResNet50, 4176, 7342, 11518, 22580, 10240, 26756, 6.90, 7.11, 1.91
user10, 8, GNMT, 4186, 0, 4186, 1677, 1677, 5863, 9.28, 4.40, 0.66
user11, 16, VGG19-I, 4594, 0, 4594, 16407, 13221, 21001, 6.89, 7.21, 1.01
user12, 16, BERTLARGE, 4991, 4943, 9934, 13378, 6513, 18369, 6.51, 7.51, 1.21
user13, 8, GPT2-SMALL, 7101, 0, 7101, 1174, 1174, 8275, 7.21, 5.57, 0.75
user14, 8, GPT2-SMALL, 8066, 0, 8066, 1058, 1058, 9124, 7.20, 5.57, 0.73
user15, 1, BERTLARGE, 9934, 0, 9934, 1560, 1560, 11494, 9.53, 1.00, 1.18
user16, 1, VGG19-I, 9934, 0, 9934, 1292, 1292, 11226, 9.85, 1.00, 0.97
user17, 1, BERTLARGE, 9934, 0, 9934, 1584, 1584, 11518, 9.49, 1.00, 1.09
user18, 1, ResNeXt, 9934, 0, 9934, 1760, 1760, 11694, 9.14, 1.00, 1.03
user19, 1, ResNet50, 13329, 0, 13329, 1731, 1731, 15060, 5.04, 1.00, 1.01
user20, 16, GPT2-SMALL, 14995, 0, 14995, 1254, 1254, 16249, 5.39, 7.55, 0.51
user21, 8, ResNeXt, 15831, 0, 15831, 1473, 1473, 17304, 4.78, 7.62, 0.92
user22, 1, GNMT, 17222, 0, 17222, 1291, 1291, 18513, 5.54, 1.00, 1.03
user23, 16, ResNet50, 17760, 0, 17760, 19272, 10210, 37032, 5.52, 9.26, 2.06
user24, 8, GPT2-SMALL, 17932, 0, 17932, 1262, 1262, 19194, 7.40, 6.64, 0.86
user25, 8, ResNeXt, 18251, 0, 18251, 1566, 1566, 19817, 8.10, 6.42, 0.80
user26, 8, VGG19-I, 18251, 0, 18251, 1349, 1349, 19600, 8.12, 6.29, 0.74
user27, 1, GNMT, 18326, 0, 18326, 3558, 3558, 21884, 8.61, 1.00, 1.10
user28, 1, ResNeXt, 18707, 0, 18707, 1570, 1570, 20277, 8.28, 1.00, 0.97
user29, 2, ResNeXt, 19160, 0, 19160, 1638, 1638, 20798, 8.79, 2.00, 1.03
user30, 8, ResNet50, 19321, 0, 19321, 2892, 2892, 22213, 8.98, 5.69, 0.79
user31, 8, VGG19-I, 19854, 0, 19854, 3657, 3657, 23511, 8.55, 6.02, 1.00
user32, 8, GNMT, 20107, 0, 20107, 4421, 4074, 24528, 7.79, 6.34, 1.17
user33, 8, GNMT, 20292, 0, 20292, 2486, 2486, 22778, 9.12, 5.42, 0.85
user34, 8, VGG19-I, 20451, 0, 20451, 2188, 2188, 22639, 9.21, 5.37, 0.79
user35, 1, VGG19-I, 21278, 0, 21278, 1270, 1270, 22548, 9.33, 1.00, 1.17
user36, 1, ResNet50, 21669, 0, 21669, 1690, 1690, 23359, 8.45, 1.00, 1.07
user37, 1, GNMT, 22004, 0, 22004, 1440, 1440, 23444, 8.03, 1.00, 1.03
user38, 16, GPT2-SMALL, 22593, 0, 22593, 6777, 6777, 29370, 6.01, 7.20, 0.70
user39, 4, GPT2-SMALL, 23767, 0, 23767, 1420, 1420, 25187, 5.60, 4.00, 1.06
user40, 16, ResNet50, 24147, 0, 24147, 9148, 6897, 33295, 5.50, 8.28, 1.03
user41, 8, BERTLARGE, 24878, 0, 24878, 2114, 2114, 26992, 6.18, 6.56, 0.87
user42, 8, ResNeXt, 25024, 0, 25024, 2296, 2296, 27320, 6.16, 6.53, 0.82
user43, 16, ResNet50, 26550, 3433, 29983, 9106, 5673, 35656, 4.48, 10.60, 1.29
user44, 8, ResNeXt, 26990, 0, 26990, 3221, 3221, 30211, 5.97, 6.85, 0.83
user45, 8, VGG19-I, 27654, 0, 27654, 1007, 1007, 28661, 6.00, 6.67, 0.79
user46, 8, ResNet50, 28831, 0, 28831, 934, 934, 29765, 6.55, 6.14, 0.77
user47, 16, ResNet50, 28853, 0, 28853, 2360, 2360, 31213, 6.46, 7.06, 0.48
user48, 1, ResNeXt, 29983, 0, 29983, 1126, 1126, 31109, 6.70, 1.00, 1.07
user49, 8, ResNeXt, 30115, 0, 30115, 1593, 1593, 31708, 6.19, 7.70, 0.94
user50, 1, VGG19-I, 30415, 0, 30415, 1362, 1362, 31777, 6.04, 1.00, 0.97
