Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,1212280,1212280,1,1,1,1.10279,1,1,1,0,1.88204,0,ResNeXt,8,8,1212280
Job2,143000,143000,1143080,1143080,1,1,1,1.07235,1,1,1,0,1.93544,0,BERTLARGE,8,4,1143080
Job3,2044000,2044000,5298496,5298496,0.54705,0.455362,0.415331,0.460507,1.84881,1,1,0,6.10782,0,ResNet50,16,47,5298496
Job4,3321000,3321000,7558701,4936732,0.61833,0.623334,0.523569,0.627267,1.69982,1,1,2,7.69155,0,BERTLARGE,16,44,4743765
Job5,3416000,3416000,3752660,3752660,1,0.386019,1,0.390437,1,1,1,0,7.86231,0,ResNet50,4,39,3752660
Job6,3667000,10879701,12001742,4789041,1.10087,1.09185,0.920079,1.09946,0.916592,1,1,0,6.87895,0,BERTLARGE,16,45,4789041
Job7,3796000,3816000,2596309,2576309,0.650434,0.381431,0.615286,0.392977,1.58332,1,1,0,8.45782,0,GNMT,8,33,2576309
Job8,4172000,12371989,13785796,4931065,1.32574,1.29089,1.09219,1.29673,0.769087,1,1,1,6.5301,0,GPT2_SMALL,16,46,4861949
Job9,4173000,35938105,37092224,5327119,3.6579,3.55752,2.91832,3.60244,0.276627,1,1,0,6.05148,0,ResNet50,16,48,5327119
Job10,4187000,4187000,1335329,1335329,0.601414,0.377664,0.589486,0.400308,1.7795,1,1,0,9.09535,0,GNMT,8,12,1335329
Job11,4592000,16278979,21690156,6583144,1.8045,1.91318,1.47513,1.95905,0.689866,1,1,4,6.9799,0,VGG19,16,49,5436924
Job12,4990000,7342496,7381989,4823221,0.579612,0.604077,0.50557,0.607858,1.77869,1,1,1,7.80847,0,BERTLARGE,16,43,4726517
Job13,7103000,7123000,1189272,1169272,0.696569,0.383189,0.692117,0.389124,1.4547,1,1,0,7.44685,0,GPT2_SMALL,8,6,1169272
Job14,8066000,8086000,1109028,1089028,0.718343,0.396332,0.71633,0.403152,1.41073,1,1,0,7.20403,0,GPT2_SMALL,8,3,1089028
Job15,9937000,9937000,1410490,1410490,1,0.43523,1,0.445105,1,1,1,0,9.66835,0,BERTLARGE,1,13,1410490
Job16,9937000,9937000,1428322,1428322,1,0.453938,1,0.479601,1,1,1,0,9.64752,0,VGG19,1,15,1428322
Job17,9937000,9937000,1534708,1534708,1,0.438775,1,0.447984,1,1,1,0,9.464,0,BERTLARGE,1,22,1534708
Job18,9937000,9937000,1704750,1704750,1,0.440212,1,0.446011,1,1,1,0,9.11848,0,ResNeXt,1,26,1704750
Job19,13332000,13332000,1733563,1733563,1,0.616843,1,0.629155,1,1,1,0,5.04128,0,ResNet50,1,27,1733563
Job20,14994000,15014000,1284979,1264979,0.533149,0.549818,0.525087,0.56136,1.91084,1,1,0,4.92864,0,GPT2_SMALL,16,9,1264979
