Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,1212280,1212280,1,1,1,1.10279,1,1,1,0,1.88204,0,ResNeXt,8,8,1212280
Job2,143000,143000,1143080,1143080,1,1,1,1.07235,1,1,1,0,1.93544,0,BERTLARGE,8,4,1143080
Job3,2044000,2044000,5298496,5298496,0.529649,0.43515,0.382888,0.439846,1.91038,1,1,0,6.63068,0,ResNet50,16,47,5298496
Job4,3321000,3321000,16854300,4841477,1.45262,1.502,1.19808,1.51225,0.709356,1,1,1,7.49383,0,BERTLARGE,16,44,4743765
Job5,3416000,3416000,3752660,3752660,0.998456,0.368205,1,0.372223,1.00159,1,1,0,8.5079,0,ResNet50,4,39,3752660
Job6,3667000,7342496,8464537,4789041,0.597799,0.645724,0.518926,0.649491,1.69066,1,1,0,8.61212,0,BERTLARGE,16,45,4789041
Job7,3796000,6864000,5644309,2576309,1.32093,0.783882,1.27606,0.806277,0.782345,1,1,0,8.88611,0,GNMT,8,33,2576309
Job8,4172000,9288357,9978306,4861949,0.727767,0.77083,0.633188,0.773702,1.38292,1,1,0,8.15907,0,GPT2_SMALL,16,46,4861949
Job9,4173000,12131537,13285656,5327119,0.979422,1.00913,0.844778,1.01919,1.03652,1,1,0,7.50262,0,ResNet50,16,48,5327119
Job10,4187000,6864000,4012329,1335329,1.7128,1.06901,1.6965,1.12918,0.628063,1,1,0,9.53497,0,GNMT,8,12,1335329
Job11,4592000,18723635,19568559,5436924,1.35077,1.53844,1.10574,1.57124,0.764064,1,1,0,8.42699,0,VGG19,16,49,5436924
Job12,4990000,14150306,13886823,4726517,1.17146,1.20227,0.997141,1.21023,0.862024,1,1,0,7.44578,0,BERTLARGE,16,43,4726517
Job13,7103000,7168660,1234932,1169272,0.577323,0.349804,0.575327,0.354559,1.76527,1,1,0,9.35507,0,GPT2_SMALL,8,6,1169272
Job14,8066000,8199329,1222357,1089028,0.689257,0.403001,0.685519,0.409391,1.47628,1,1,0,8.33154,0,GPT2_SMALL,8,3,1089028
Job15,9937000,9937000,1410490,1410490,1,0.41262,1,0.421486,1,1,1,0,10,0,BERTLARGE,1,13,1410490
Job16,9937000,9937000,1428322,1428322,1,0.430495,1,0.453508,1,1,1,0,9.98752,0,VGG19,1,15,1428322
Job17,9937000,9937000,1534708,1534708,1,0.412177,1,0.420293,1,1,1,0,9.84974,0,BERTLARGE,1,22,1534708
Job18,9937000,9937000,1704750,1704750,1,0.408972,1,0.413972,1,1,1,0,9.56549,0,ResNeXt,1,26,1704750
Job19,13332000,13332000,1733563,1733563,1,0.554329,1,0.564252,1,1,1,0,5.51332,0,ResNet50,1,27,1733563
Job20,14994000,17458656,3729635,1264979,1.33184,1.40018,1.20669,1.4259,0.767097,1,1,0,6.25085,0,GPT2_SMALL,16,9,1264979
