Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,1212280,1212280,1,1,1,1.10279,1,1,1,0,1.88204,0,ResNeXt,8,8,1212280
Job2,143000,143000,1143080,1143080,1,1,1,1.07235,1,1,1,0,1.93544,0,BERTLARGE,8,4,1143080
Job3,2044000,2044000,5298496,5298496,0.529649,0.43515,0.382888,0.439846,1.91038,1,1,0,6.63068,0,ResNet50,16,47,5298496
Job4,3321000,3321000,4743765,4743765,0.361487,0.362039,0.297233,0.364152,2.79512,1,1,0,8.50718,0,BERTLARGE,16,44,4743765
Job5,3416000,3416000,3752660,3752660,0.998456,0.368205,1,0.372223,1.00159,1,1,0,8.5079,0,ResNet50,4,39,3752660
Job6,3667000,7342496,8464537,4789041,0.535788,0.634796,0.465216,0.638437,1.88739,1,1,0,9.61105,0,BERTLARGE,16,45,4789041
Job7,3796000,7168660,5948969,2576309,1.35734,0.830599,1.31747,0.854459,0.762292,1,1,0,9.08017,0,GNMT,8,33,2576309
Job8,4172000,8064765,8754714,4861949,0.532369,0.644553,0.460427,0.646841,1.8916,1,1,0,9.84975,0,GPT2_SMALL,16,46,4861949
Job9,4173000,12131537,13285656,5327119,1.02602,1.06205,0.740569,1.07321,0.988991,1,1,0,8.56715,0,ResNet50,16,48,5327119
Job10,4187000,9744969,6893298,1335329,3.01812,1.93479,2.85257,2.04986,0.355574,1,1,0,9.76158,0,GNMT,8,12,1335329
Job11,4592000,12926714,32445234,5723873,2.30651,2.52155,1.77864,2.57468,0.470814,1,1,1,8.69011,0,VGG19,16,49,5436924
Job12,4990000,17458656,17195173,4726517,1.43067,1.55028,1.02072,1.56098,0.705905,1,1,0,9.01519,0,BERTLARGE,16,43,4726517
Job13,7103000,11080298,5146570,1169272,2.59194,1.64276,2.22022,1.66796,0.392505,1,1,0,10.1196,0,GPT2_SMALL,8,6,1169272
Job14,8066000,12249570,5272598,1089028,3.24482,2.00548,2.48468,2.04225,0.312802,1,1,0,9.95837,0,GPT2_SMALL,8,3,1089028
Job15,9937000,13338598,4812088,1410490,3.41164,1.73079,3.41164,1.77674,0.293114,1,1,0,9.79687,0,BERTLARGE,1,13,1410490
Job16,9937000,13338598,4829920,1428322,3.38153,1.77945,3.38153,1.89713,0.295724,1,1,0,9.78655,0,VGG19,1,15,1428322
Job17,9937000,13338598,4936306,1534708,3.21645,1.64314,3.21645,1.68343,0.310902,1,1,0,9.70494,0,BERTLARGE,1,22,1534708
Job18,9937000,13338598,5106348,1704750,2.99536,1.53273,2.99536,1.55625,0.333849,1,1,0,9.55793,0,ResNeXt,1,26,1704750
Job19,13332000,13338598,1740161,1733563,1.00381,0.759934,1.00381,0.778636,0.996208,1,1,0,7.55681,0,ResNet50,1,27,1733563
