Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,1224714,1224714,1.00074,1.00074,1.00074,1.06607,1,1,1,1,1,8,1.86879,0,1,1,0,0,0,0,0,ResNeXt,8,4,10,1223808,0.13
Job2,143000,143000,1064016,1064016,1.00006,1.00006,1.00006,1.04116,1,1,1,1,1,8,2,0,1,1,0,0,0,0,0,BERTLARGE,8,16,4,1063952,0.142
Job3,2044000,2044000,7072516,7072516,0.69779,0.596178,0.541834,0.60227,1.49222,0.976025,0.880125,3,1.57853,11.3717,6.77778,0,3,1,0,1,1,0,0,ResNet50,16,8,44,4890336,0.066
Job4,3321000,3321000,10941592,10941592,0.739822,0.742474,0.62913,0.745052,1.05844,1,1,4,2.87806,6.44203,7.73244,0,4,1,0,0,0,0,0,BERTLARGE,16,8,48,5657448,0.083
Job5,3416000,3416000,3584552,3584552,1.00041,0.379406,1.00041,0.382034,1,1,1,1,1,4,8.05941,0,1,1,0,0,0,0,0,ResNet50,4,32,39,3583080,0.255
Job6,3667000,3682350,12957015,12879396,0.873424,0.894534,0.764203,0.897694,0.886631,0.864333,0.592999,10,3.89826,5.47214,7.45519,0,10,1.00603,0,13,13,0,0,BERTLARGE,16,8,49,5719512,0.083
Job7,3796000,3796498,3773812,3773314,0.803242,0.463831,0.769154,0.471362,1.31939,1,1,3,1.40486,6.38057,8.64942,0,3,1.00013,0,0,0,0,0,GNMT,8,8,35,2891136,0.142
Job8,4172000,4177000,10785753,10770496,0.852437,0.890905,0.756137,0.893858,1.1713,1,1,4,2.85083,6.67982,7.9213,0,4,1.00142,0,0,0,0,0,GPT2_SMALL,16,16,43,4529248,0.072
Job9,4173000,4175386,11921802,11919416,0.905519,0.936809,0.801976,0.945727,1.14095,0.941651,0.883303,8,3.50099,6.71883,7.67912,0,8,1.0002,0,2,2,0,0,ResNet50,16,8,45,4920528,0.066
Job10,4187000,4260805,1522410,1448605,0.606894,0.374735,0.595204,0.387123,1.71648,1,1,1,1,8,9.20652,0,1,1.05095,0,0,0,0,0,GNMT,8,8,18,1448520,0.142
Job11,4592000,4629617,20157034,20086204,1.35905,1.4053,1.07287,1.41816,0.741772,0.944104,0.888207,30,4.84936,5.26823,7.17282,0,30,1.00353,0,2,2,0,0,VGG19,16,2,50,6633008,0.075
