max schd: 0.150313, max dp: 0.144116, max job: 946
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,1111288103,1109682541,0.633694,0.256432,0.587392,0.256434,1.57728,0.832863,0.665727,4,1.00198,3.99802,27.2787,2,4,1.00145,0,45,45,0,0,GPT2_SMALL,4,64,7452,1109687184,0.26
Job2,70024000,70024000,810234063,808675700,0.510012,0.287887,0.353402,0.287895,1.9693,0.942092,0.826328,5,1.00054,7.99851,22.7844,1,5,1.00193,1,545,545,0,0,ResNeXt,8,4,7440,805047048,0.13
Job3,135296000,135296000,1203976622,1061176446,0.617207,0.251473,0.55035,0.251476,1.61945,0.889262,0.778523,11,1.00282,3.99678,32.996,3,11,1.13457,0,10,10,0,0,ResNet50,4,32,7450,1060842600,0.255
Job4,178298000,178298000,1351240593,1109745448,0.659799,0.27255,0.595836,0.272552,1.51392,0.803323,0.606645,15,1.1686,3.79623,34.4133,5,15,1.21761,0,9,9,0,0,GPT2_SMALL,4,64,7449,1054405008,0.26
Job5,265278000,265278000,1351871752,986676815,0.663501,0.278049,0.607556,0.278051,1.50568,0.743554,0.495284,9,1.01709,3.96694,36.3473,3,9,1.37013,0,12,12,0,0,GPT2_SMALL,4,64,7448,979501072,0.26
Job6,313422000,313422000,514174139,514019566,0.581296,0.225574,0.542649,0.225578,1.72044,0.870956,0.827941,4,1.00427,3.99573,29.528,1,4,1.0003,0,29,29,0,0,GPT2_SMALL,4,64,7410,513441616,0.26
Job7,318554000,318554000,1420354269,850998914,0.496753,0.413565,0.453938,0.413581,1.97254,0.809442,0.464362,7,1.50598,6.17932,37.3146,3,7,1.66904,0,42,42,0,0,GNMT,8,8,7426,670930928,0.142
Job8,318802000,318802000,571797045,570337781,0.287951,0.21772,0.254999,0.217727,3.48372,0.867997,0.735993,4,1.00547,7.99366,31.577,1,4,1.00256,0,103,103,0,0,ResNet50,8,16,7417,568165200,0.13
Job9,319542000,319542000,3725616737,1349326445,1.3363,0.939318,0.842559,0.939327,0.753061,0.788363,0.423287,116,3.23954,5.3308,39.5917,77,116,2.76109,0,148,148,0,0,GPT2_SMALL,8,32,7446,893508280,0.139
Job10,319849000,319849000,3968794374,1054239524,1.52448,1.0285,0.933412,1.02852,0.66934,0.526656,0.175635,136,1.83862,6.91494,38.09,128,136,3.7646,0,1638,1638,0,0,ResNeXt,8,4,7445,893086824,0.13
Job11,320203000,320203000,4869872414,1013065076,1.44608,1.54356,0.727563,1.54362,0.694004,0.736042,0.0940361,119,2.4483,13.0535,32.5105,95,119,4.80707,0,726,726,0,0,VGG19,16,2,7442,823652308,0.075
Job12,323049000,323056712,4714858782,1268177407,1.41601,1.56043,0.733563,1.56049,0.670774,1,1,41,6.60575,9.26033,33.2702,38,41,3.71782,0,0,0,0,0,VGG19,16,2,7436,772859396,0.075
Job13,324143000,324155197,1772662456,1100304399,0.592737,0.489974,0.551307,0.489991,1.65642,0.808215,0.471142,14,3.14137,5.11144,35.9245,3,14,1.61107,0,105,105,0,0,GNMT,8,8,7429,716132896,0.142
Job14,324387000,2659263327,4801663041,966392331,1.44719,1.56579,0.737544,1.56585,0.6914,0.575446,0.0984606,44,2.44443,13.1402,32.8315,25,44,4.96865,0,742,742,0,0,VGG19,16,2,7439,793295730,0.075
Job15,330439000,330455398,2688293223,889628571,0.937863,0.711475,0.593881,0.711483,1.07853,0.538006,0.132429,33,1.896,7.07495,46.5584,12,33,3.02182,15,484,484,0,0,GPT2_SMALL,8,32,7437,777834168,0.139
Job16,394438000,394472032,2832980237,894311987,0.723235,1.07777,0.453653,1.07779,1.18633,0.655859,0.334777,70,3.59149,8.36102,45.8606,17,70,3.16778,12,501,501,0,0,BERTLARGE,16,8,7413,544724664,0.083
Job17,394610000,394645464,2752376591,652555395,0.851877,1.28274,0.536453,1.28281,1.19693,0.623088,0.258048,66,4.92018,11.0174,46.5704,17,66,4.21784,8,995,995,0,0,ResNet50,16,8,7403,440792368,0.066
Job18,394774000,2667432196,4043031303,916582159,1.55079,2.01419,0.921373,2.01423,0.67401,0.783009,0.500717,47,5.03914,8.55008,37.4569,30,47,4.41099,1,93,93,0,0,GPT2_SMALL,16,16,7405,468633040,0.072
Job19,394933000,394956368,4013830048,1775765752,1.08856,1.42648,0.651486,1.42655,0.79627,0.862241,0.734575,72,8.54326,5.10931,37.6708,40,72,2.26034,0,531,531,0,0,VGG19,16,2,7424,654313664,0.075
