Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,1299236587,1185965141,0.65551,0.26837,0.599573,0.268372,1.52836,0.762234,0.656107,7,29.2888,0,GPT2_SMALL,4,7453,1183784242
Job2,70024000,70024000,773517400,771864532,0.524724,0.296596,0.370716,0.296609,1.90957,0.903903,0.865464,1,21.6698,0,ResNeXt,8,7438,770380680
Job3,135296000,135296000,1502063014,1104185844,0.715357,0.297444,0.651256,0.29745,1.40338,0.665319,0.545889,8,33.5517,0,ResNet50,4,7449,1099929413
Job4,178298000,178298000,1610200178,1124817628,0.721313,0.302359,0.662337,0.302362,1.38647,1,1,1,34.5839,0,GPT2_SMALL,4,7450,1124751334
Job5,265278000,265278000,1548869774,1047729392,0.704086,0.29942,0.652909,0.299423,1.42423,0.695457,0.390914,3,36.3279,0,GPT2_SMALL,4,7448,1044847732
Job6,313422000,313422000,549140265,548356350,0.567096,0.221565,0.524593,0.221569,1.76554,0.849876,0.774814,2,30.5811,0,GPT2_SMALL,4,7416,547703734
Job7,318554000,318554000,592561742,590371420,0.288499,0.219305,0.254786,0.219322,3.52689,0.793171,0.710439,1,32.0674,0,GNMT,8,7419,580359827
Job8,318802000,318802000,601123904,598763208,0.283196,0.21595,0.250111,0.21596,3.54979,0.785703,0.699985,1,32.2819,0,ResNet50,8,7421,595708753
Job9,319542000,319542000,3626906383,971350338,1.13156,0.800423,0.726697,0.800431,0.879956,0.51456,0.00475729,15,40.9296,0,GPT2_SMALL,8,7446,975557304
Job10,319849000,319849000,2710045434,867030023,0.842859,0.644918,0.539813,0.644936,1.20378,0.487452,0.0874572,16,46.9998,0,ResNeXt,8,7443,854623020
Job11,320203000,4667711084,5372162854,659456606,2.05855,2.14117,1.05108,2.14139,0.489114,0.994526,0.983579,12,31.2161,0,VGG19,16,7427,655159824
Job12,323049000,4532679916,5035222099,627486876,1.93914,2.06046,1.00802,2.06069,0.526537,0.92182,0.771477,4,32.5136,0,VGG19,16,7423,614765919
Job13,324143000,324163000,634917430,632188720,0.275772,0.215514,0.246751,0.215529,3.70161,0.827229,0.654458,1,33.2388,0,GNMT,8,7424,619454051
Job14,324387000,4546223671,4939515558,687184537,1.78574,1.94475,0.948857,1.94495,0.610035,0.666667,0,1,33.0112,0,VGG19,16,7425,631019190
Job15,330439000,2225056578,3070133664,846947898,1.00982,0.749795,0.64321,0.749804,0.987648,0.41649,0.00937211,33,44.9664,0,GPT2_SMALL,8,7442,849232444
Job16,394438000,2898045560,3750597318,479332577,1.28712,1.7855,0.822508,1.78556,0.820083,0.444434,0,1,40.1665,0,BERTLARGE,16,7406,454172745
Job17,394610000,3004396170,3328612101,480278555,1.00423,1.45721,0.648137,1.45729,1.00166,0.583693,0,4,43.0252,0,ResNet50,16,7409,477573907
Job18,394774000,4003144162,4137905916,508833427,1.43587,1.84578,0.872275,1.84582,0.702647,0.570183,0,1,37.6242,0,GPT2_SMALL,16,7411,504378824
Job19,394933000,4299209750,4479246345,538115285,1.70987,2.01902,0.97258,2.01927,0.604886,0.783146,0.609663,2,35.4096,0,VGG19,16,7415,520494123
Job20,395522000,395542000,586135586,582533510,0.232541,0.196003,0.223529,0.196011,4.32516,0.725049,0.587573,1,36.2189,0,ResNeXt,8,7418,579274310
Job21,395678000,1924683482,2216433242,687427760,0.81306,0.653201,0.761054,0.653216,1.23293,0.4,0,0,33.9754,0,BERTLARGE,8,7430,685806650
Job22,395836000,2681640000,3896093308,1009408469,1.24133,0.842405,0.782246,0.842414,0.80236,0.627153,0,20,39.3159,0,GPT2_SMALL,8,7447,1013500828
Job23,400593000,2802613862,2989747491,467829390,0.922427,1.38203,0.591056,1.38208,1.14623,0.433199,0,9,45.7284,0,BERTLARGE,16,7403,442534657
Job24,400756000,2771751966,3921204565,482460947,1.44555,1.94939,0.907033,1.94965,0.755197,0.783701,0,4,39.1296,0,VGG19,16,7402,442166505
Job25,400914000,4145035318,4422725240,510526357,1.68922,2.0223,0.971726,2.02255,0.593382,0.994223,0.982669,1,35.7459,0,VGG19,16,7412,509542503
Job26,401067000,4153883000,4266644084,513828084,1.53087,1.9057,0.908181,1.90581,0.656236,0.666667,0,0,36.7419,0,ResNet50,16,7413,511576668
Job27,401222000,1543649212,1887227926,613054926,0.767093,0.642852,0.729691,0.642895,1.38425,0.467789,0,2,35.8377,0,GNMT,8,7417,577500542
Job28,401376000,1853632965,2042380965,590124000,0.843018,0.691366,0.795386,0.691384,1.18914,0.333333,0,0,34.8959,0,BERTLARGE,8,7420,588732380
Job29,401530000,2015133335,2401063862,707662890,0.859878,0.688234,0.655656,0.688285,1.18088,0.935529,0.907707,7,42.0383,0,VGG19,8,7432,697116139
Job30,401681000,1903597931,2370050966,718122831,0.873122,0.700135,0.67326,0.700176,1.21785,0.640255,0,7,41.7005,0,GNMT,8,7429,675502745
Job31,504171000,504171000,438222353,437067193,0.450706,0.192658,0.436186,0.192664,2.21338,0.651525,0.535366,2,36.6898,0,BERTLARGE,4,7401,438164467
Job32,664358000,664378000,3155630,3135630,1.00638,0.206953,1.00638,0.207639,0.993662,1,1,0,34.2555,0,ResNeXt,1,7021,3135630
Job33,664372000,664378000,2836646,2830646,1.00212,0.215409,1.00212,0.218731,0.997885,1,1,0,34.5091,0,GNMT,1,6946,2830646
Job34,664544000,664544000,2088574,2088574,1,0.206142,1,0.207079,1,1,1,0,34.9947,0,GPT2_SMALL,1,5764,2088574
Job35,664555000,664555000,2192206,2192206,1,0.206701,1,0.207778,1,1,1,0,34.9477,0,ResNet50,1,6051,2192206
Job36,674938000,674958000,8224804,8204804,1.00244,0.209025,1.00244,0.210092,0.997568,1,1,0,32,0,GNMT,1,7122,8204804
Job37,686170000,686190000,326416673,325073197,0.389353,0.18081,0.376488,0.180821,2.58595,0.439847,0.159872,3,42.9661,0,ResNet50,4,7384,322930211
Job38,686742000,686762000,487389179,484385047,0.37288,0.178422,0.361998,0.178438,2.73567,0.4391,0.106077,4,45.3665,0,VGG19,4,7408,475005997
Job39,737775000,737795000,2575198,2555198,0.795558,0.177379,0.788709,0.177941,1.26181,1,1,0,82.1052,0,GPT2_SMALL,1,6707,2555198
Job40,737781000,737795000,2538165,2524165,0.791319,0.177356,0.783763,0.178041,1.26971,1,1,0,82.5136,0,ResNet50,1,6658,2524165
Job41,737788000,737795000,2359322,2352322,0.774609,0.177443,0.768523,0.178408,1.30024,1,1,0,84.14,0,BERTLARGE,1,6385,2352322
Job42,737793000,737795000,2505624,2503624,0.79499,0.185391,0.78668,0.188175,1.28033,1,1,0,82.9319,0,GNMT,1,6628,2503624
Job43,737803000,737823000,2675541,2655541,0.803773,0.178131,0.796694,0.178785,1.24945,1,1,0,81.2952,0,ResNet50,1,6810,2655541
Job44,737808000,737823000,2204170,2189170,0.761882,0.177686,0.757388,0.178722,1.32338,1,1,0,85.7958,0,BERTLARGE,1,6046,2189170
Job45,737814000,737823000,3056182,3047182,0.824633,0.178475,0.833967,0.178954,1.21595,1,1,0,77.1663,0,GPT2_SMALL,1,7014,3047182
Job46,737821000,737823000,3312075,3310075,0.8367,0.179646,0.862591,0.180184,1.19848,1,1,0,74.4129,0,ResNet50,1,7043,3310075
Job47,737830000,737850000,2592948,2572948,0.798677,0.178766,0.788357,0.179657,1.25954,1,1,0,82.3247,0,BERTLARGE,1,6725,2572948
Job48,737837000,737850000,2137280,2124280,0.754861,0.177271,0.749148,0.178334,1.33634,1,1,0,86.7223,0,BERTLARGE,1,5880,2124280
Job49,737844000,737850000,2530744,2524744,0.789349,0.177544,0.777564,0.178444,1.27476,1,1,0,83.0464,0,BERTLARGE,1,6659,2524744
Job50,737849000,737850000,2444070,2443070,0.778823,0.17559,0.766331,0.176228,1.28997,1,1,0,83.9603,0,ResNeXt,1,6523,2443070
Job51,737855000,737875000,2776810,2756810,0.810353,0.17793,0.805069,0.178454,1.23811,1,1,0,80.3448,0,GPT2_SMALL,1,6894,2756810
Job52,737861000,737875000,2970535,2956535,0.829033,0.186512,0.833151,0.188884,1.22153,1,1,0,78.1369,0,GNMT,1,6993,2956535
Job53,737868000,737875000,2811698,2804698,0.810398,0.178627,0.806625,0.179446,1.24018,1,1,0,79.9499,0,BERTLARGE,1,6927,2804698
Job54,737875000,737875000,2803870,2803870,0.806621,0.176992,0.802494,0.177557,1.24412,1,1,0,80.0394,0,ResNeXt,1,6926,2803870
Job55,737884000,737904000,3395030,3349030,0.869977,0.186243,0.904333,0.186759,1.17723,1,1,1,73.4378,0,ResNeXt,1,7037,3278190
