Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,851884283,802434431,1.0484,0.939231,1.06263,0.939405,0.954739,1,1,4,6.34133,0,VGG19,1,377,801678111
Job2,14987000,14987000,973471672,906071311,1.06212,0.963885,1.07472,0.963953,0.941801,1,1,3,6.49575,0,BERTLARGE,1,379,905793544
Job3,333610000,333610000,238513630,238513630,0.999533,0.980115,1,0.980318,1.00047,1,1,0,5.59068,0,ResNeXt,1,358,238513630
Job4,337642000,337642000,29767420,29767420,1,1,1,1.00242,1,1,1,0,4,0,BERTLARGE,1,253,29767420
Job5,411449000,411449000,200828584,200828584,0.973849,0.859024,1,0.859288,1.02686,1,1,0,9.03869,0,BERTLARGE,1,348,200828584
Job6,423176000,423176000,2389013,2389013,1,1,0.413501,1.05755,1,1,1,0,5,0,ResNet50,8,88,2389013
Job7,428623000,428623000,252645374,252645374,0.954849,0.71489,1,0.714983,1.04729,1,1,0,11.7161,0,GPT2_SMALL,1,362,252645374
Job8,449352000,449352000,8692830,8692830,1,1,1,1.00583,1,1,1,0,6,0,ResNeXt,1,164,8692830
Job9,459376000,459376000,7989201,7989201,1,1,1,1.02568,1,1,1,0,6,0,GNMT,1,160,7989201
Job10,501790000,501790000,19294222,19294222,1,1,0.629188,1.00239,1,1,1,0,6.36303,0,GPT2_SMALL,4,228,19294222
Job11,514234000,514234000,146643635,146643635,0.929542,0.657574,1,0.658164,1.0759,1,1,0,14.7148,0,GNMT,1,330,146643635
Job12,520930000,520930000,7467187,7467187,1,1,1,1.00742,1,1,1,0,7.02065,0,ResNet50,1,154,7467187
Job13,528694000,528694000,16155050,16155050,1,1,0.554024,1.00686,1,1,1,0,7.24198,0,ResNet50,4,209,16155050
Job14,543023000,543023000,4380383,4380383,1,1,1,1.04784,1,1,1,0,9.0456,0,GNMT,1,104,4380383
Job15,543736000,543736000,54957374,54957374,0.915508,0.689083,1,0.690815,1.09263,1,1,0,15.5153,0,GNMT,1,287,54957374
Job16,543879000,543879000,1775717,1775717,1,1,1,1.10475,1,1,1,0,9.54629,0,VGG19,1,80,1775717
Job17,545712000,545712000,26402800,26402800,0.718855,0.845416,0.33463,0.846664,1.39178,1,1,0,11.9674,0,GPT2_SMALL,4,248,26402800
Job18,547547000,547547000,29012153,29012153,0.628304,0.800748,0.311359,0.803186,1.59384,1,1,0,12.8806,0,ResNet50,4,251,29012153
Job19,554770000,554770000,47871310,47871310,0.892538,0.633949,0.928741,0.634372,1.12053,1,1,0,17.2289,0,ResNeXt,1,277,47871310
Job20,555814000,572114800,76566482,60265682,1.1409,0.77755,1.16442,0.777912,0.876572,1,1,0,17.4585,0,GPT2_SMALL,1,291,60265682
Job21,560117000,572114800,18600775,6602975,2.74027,1.98349,2.81703,2.02672,0.365238,1,1,0,15.5816,0,GNMT,1,145,6602975
Job22,560303000,572114800,103670472,91858672,1.01184,0.636152,1.01345,0.636367,0.988363,1,1,0,17.8187,0,ResNet50,1,303,91858672
Job23,564407000,572114800,185084694,177376894,0.979149,0.652595,1.04345,0.6527,1.02131,1,1,0,14.9571,0,GPT2_SMALL,1,343,177376894
Job24,566107000,572123630,110450162,104433532,0.948523,0.571804,0.942611,0.572303,1.05445,1,1,0,17.9552,0,VGG19,1,314,104433532
Job25,566704000,576559153,28075854,18220701,0.336371,0.90606,0.332058,0.913234,3.00438,1,1,0,18.7587,0,VGG19,4,225,18220701
Job26,570420000,578717775,100962145,92664370,0.969792,0.589942,0.963563,0.59019,1.03124,1,1,0,18.0936,0,BERTLARGE,1,304,92664370
Job27,571900000,594779854,24436294,1556440,13.1435,9.1185,13.0113,9.30956,0.076537,1,1,0,19.4275,0,ResNet50,1,78,1556440
Job28,573586000,604439829,37763872,6910043,1.19634,3.20196,1.18239,3.22392,0.847299,0.333333,0,0,18.7413,0,ResNeXt,4,148,6879923
Job29,576731000,594779854,119713806,101664952,1.06818,0.634157,1.08229,0.634341,0.936218,1,1,0,17.4087,0,ResNet50,1,312,101664952
Job30,577431000,594779854,22364159,5015305,3.58509,2.50233,3.56878,2.55038,0.280832,1,1,0,20.1306,0,VGG19,1,126,5015305
Job31,577612000,594779854,155345644,138177790,1.04422,0.6729,1.12424,0.673047,0.957678,1,1,0,15.5963,0,ResNeXt,1,327,138177790
Job32,582485000,611349872,58974351,30109479,0.455313,1.1073,0.434428,1.11238,2.25343,0.333333,0,0,18.5052,0,VGG19,4,252,29534281
Job33,584215000,596336294,135483187,123361893,1.01572,0.631082,1.091,0.631577,0.984626,1,1,0,16.1066,0,VGG19,1,320,123361893
Job34,585265000,598693374,19154829,5726455,2.68132,1.80917,2.66302,1.81862,0.373668,1,1,0,20.1371,0,ResNet50,1,134,5726455
Job35,591096000,641459351,70830871,20467520,0.803475,1.87381,0.772558,1.88377,1.25402,0.333333,0,0,18.0552,0,GNMT,4,232,20467520
Job36,613103000,613123000,873753642,873733642,0.99298,0.917345,1.00002,0.917538,1.00707,1,1,0,5.43941,0,GNMT,1,378,873733642
Job37,614832000,614852000,7845690,7825690,0.906636,0.680594,0.905689,0.69261,1.10575,1,1,0,17.7561,0,GNMT,1,159,7825690
Job38,615312000,622677690,14936708,7571018,1.68569,1.09573,1.68049,1.11205,0.595571,1,1,0,18.8594,0,GNMT,1,156,7571018
Job39,616295000,630248708,21317392,7363684,2.47955,1.50766,2.47411,1.51537,0.40387,1,1,0,18.7483,0,BERTLARGE,1,153,7363684
Job40,622648000,661926871,59043300,19764429,0.699493,1.4742,0.694336,1.48322,1.4716,0.333333,0,0,17.7157,0,VGG19,4,229,19388469
Job41,622933000,663993472,60429140,19368668,0.728183,1.51868,0.716342,1.52289,1.3882,0.333333,0,0,17.6112,0,ResNet50,4,227,19245116
Job42,623774000,681691300,77824853,19907553,1.12403,2.00202,0.948939,2.00569,0.886332,0.333333,0,0,16.4198,0,BERTLARGE,4,231,20032795
Job43,650398000,650418000,7092713,7072713,0.853448,0.522661,0.852986,0.529227,1.17597,1,1,0,18.8792,0,VGG19,1,151,7072713
Job44,650662000,650682000,6128270,6108270,0.846344,0.520029,0.846324,0.52226,1.18309,1,1,0,18.9918,0,ResNeXt,1,138,6108270
Job45,650712000,656790270,13104409,7026139,1.57137,0.859325,1.56957,0.862435,0.637177,1,1,0,19.0363,0,ResNet50,1,150,7026139
Job46,657069000,683362140,42222219,15929079,0.870644,1.39001,0.70589,1.40124,1.18334,0.333333,0,0,15.4895,0,VGG19,4,205,15626985
Job47,657823000,699291219,57969093,16500874,1.76919,2.085,1.01529,2.08846,0.568404,0.333333,0,0,13.9268,0,GPT2_SMALL,4,210,16431736
Job48,657902000,701598853,59600282,15903429,1.98424,2.29747,1.1214,2.31924,0.517626,0.333333,0,0,13.7787,0,VGG19,4,204,15601829
Job49,666213000,671382145,133422567,128253422,1.03502,0.855636,1.0403,0.856561,0.966173,1,1,0,9.89077,0,VGG19,1,323,128253422
Job50,670037000,676557162,219232412,212712250,1.02852,0.92786,1.03065,0.92804,0.972272,1,1,0,8.90989,0,GPT2_SMALL,1,353,212712250
Job51,719168000,719168000,93535841,93535841,1,1,1,1.00214,1,1,1,0,7.80393,0,GNMT,1,305,93535841
Job52,720082000,720082000,436997208,436997208,1,1,1,1.00046,1,1,1,0,5.62888,0,GNMT,1,373,436997208
Job53,769562000,769562000,177881630,177881630,1,1,1,1.00028,1,1,1,0,7.51913,0,ResNeXt,1,344,177881630
Job54,811311000,811311000,85632110,85632110,1,1,1,1.00059,1,1,1,0,7.83212,0,ResNeXt,1,300,85632110
Job55,832094000,832094000,3256190,3256190,1,1,1,1.01571,1,1,1,0,8,0,ResNeXt,1,96,3256190
Job56,835575000,835575000,24187487,24187487,1,1,0.496871,1.00457,1,1,1,0,8.06889,0,ResNet50,4,244,24187487
Job57,850218000,850218000,128024350,128024350,1,1,1,1.00039,1,1,1,0,7.0885,0,ResNeXt,1,322,128024350
Job58,860395000,860395000,3026339,3026339,1,1,1,1.05891,1,1,1,0,8.01102,0,VGG19,1,95,3026339
Job59,863388000,863388000,24100408,24100408,1,1,0.473059,1.00837,1,1,1,0,8.49289,0,GNMT,4,243,24100408
Job60,875643000,875643000,602386590,602386590,1,1,1,1.00008,1,1,1,0,3.14521,0,ResNeXt,1,376,602386590
Job61,905784000,905784000,7652670,7652670,1,1,1,1.00662,1,1,1,0,7,0,ResNeXt,1,157,7652670
Job62,913581000,913581000,34581369,34581369,1,1,0.574858,1.00709,1,1,1,0,6.97922,0,VGG19,4,261,34581369
Job63,948890000,948890000,5474260,5474260,1,1,1,1.01015,1,1,1,0,6,0,ResNet50,1,130,5474260
Job64,954486000,954486000,26729860,26729860,1,1,0.679636,1.00173,1,1,1,0,5.88876,0,GPT2_SMALL,4,249,26729860
Job65,1656081000,1656081000,51724434,51724434,1,1,1,1.00089,1,1,1,0,3.91516,0,GPT2_SMALL,1,284,51724434
Job66,1656081000,1656081000,51479614,51479614,1,1,1,1.0014,1,1,1,0,3.92427,0,BERTLARGE,1,283,51479614
Job67,1656859000,1656859000,50218050,50218050,1,1,1,1.00091,1,1,1,0,3.96298,0,GPT2_SMALL,1,282,50218050
Job68,1658718000,1658718000,66058310,66058310,1,1,1,1.00256,1,1,1,0,3.21454,0,VGG19,1,293,66058310
Job69,1736386000,1736386000,406998,406998,1,1,1,2.82938,1,1,1,0,1,0,VGG19,8,22,406998
Job70,1738609000,1738609000,598659,598659,1,1,1,1.27739,1,1,1,0,1,0,ResNet50,8,43,598659
Job71,1776761000,1776761000,63863659,63863659,1,1,1,1.00314,1,1,1,0,1.21721,0,GNMT,1,292,63863659
Job72,1826753000,1826753000,17831588,17831588,1,1,1,1.00953,1,1,1,0,1.98263,0,VGG19,1,223,17831588
Job73,1842714000,1842714000,40414190,40414190,1,1,1,1.00125,1,1,1,0,2.64556,0,ResNeXt,1,269,40414190
Job74,1842805000,1842805000,52298838,52298838,1,1,1,1.00088,1,1,1,0,2.55042,0,GPT2_SMALL,1,285,52298838
Job75,1854378000,1854378000,2237376,2237376,1,1,1,1.09817,1,1,1,0,3.01224,0,GNMT,1,87,2237376
Job76,1856588000,1856588000,14662768,14662768,1,1,1,1.00315,1,1,1,0,3.00867,0,GPT2_SMALL,4,201,14662768
Job77,1871151000,1871151000,2209034,2209034,1,1,1,1.02118,1,1,1,0,3.65947,0,GPT2_SMALL,1,86,2209034
Job78,1872003000,1872003000,5200951,5200951,1,1,1,1.01069,1,1,1,0,3.26092,0,ResNet50,1,128,5200951
Job79,1884165000,1884165000,32057615,32057615,1,1,1,1.00344,1,1,1,0,3.67116,0,ResNet50,4,259,32057615
Job80,1892086000,1892086000,9206738,9206738,1,1,1,1.01209,1,1,1,0,3.37836,0,ResNet50,4,168,9206738
Job81,1894388000,1894388000,135352339,135352339,1,1,1,1.00041,1,1,1,0,5.25742,0,ResNet50,1,325,135352339
Job82,1899602000,1899602000,47156086,47156086,1,1,1,1.00153,1,1,1,0,5.56672,0,BERTLARGE,1,276,47156086
