max schd: 0.016036, max dp: 0.000144, max job: 17
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,888749711,805209588,1.10314,1.06643,1.10446,1.06652,0.907089,1,1,5,1,1,6.05307,4,5,1.10375,0,0,0,0,0,VGG19,1,32,377,804688048,1
Job2,14987000,14987000,963241582,874780125,1.10015,1.06628,1.10137,1.06632,0.909167,1,1,6,1,1,6.16841,5,6,1.10112,0,0,0,0,0,BERTLARGE,1,128,378,874586040,1
Job3,333610000,333610000,235199847,235199847,1.00068,0.989158,1.00068,0.98947,1,1,1,1,1,1,5.41692,0,1,1,0,0,0,0,0,ResNeXt,1,32,359,235038936,1
Job4,337642000,337642000,28904750,28904750,1.00002,1.00002,1.00002,1.00123,1,1,1,1,1,1,4,0,1,1,0,0,0,0,0,BERTLARGE,1,128,253,28904120,1
Job5,411449000,411449000,193874750,193874750,0.994555,0.925763,1.00002,0.925918,1.0055,1,1,1,1,1,8.23956,0,1,1,0,0,0,0,0,BERTLARGE,1,128,347,193870520,1
Job6,423176000,423176000,2253501,2253501,1.00015,1.00015,0.409882,1.04176,1,1,1,1,1,8,5,0,1,1,0,0,0,0,0,ResNet50,8,16,87,2253168,0.13
Job7,428623000,428623000,269435365,247757006,1.08425,0.973956,1.08854,0.974076,0.923187,1,1,3,1,1,10.1258,2,3,1.0875,0,0,0,0,0,GPT2_SMALL,1,256,361,247519184,1
Job8,449352000,449352000,8598241,8598241,1.00068,1.00068,1.00068,1.00949,1,1,1,1,1,1,6,0,1,1,0,0,0,0,0,ResNeXt,1,32,166,8592408,1
Job9,459376000,459376000,8238095,8238095,1.0002,1.0002,1.0002,1.01498,1,1,1,1,1,1,6,0,1,1,0,0,0,0,0,GNMT,1,64,162,8236480,1
Job10,501790000,501790000,18129260,18129260,1.0005,1.0005,0.634308,1.00238,1,1,1,1,1,4,6.3136,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,226,18120144,0.26
