Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,801678111,801678111,0.995952,0.93814,1,0.938325,1.00407,1,1,0,6.22753,0,VGG19,1,377,801678111
Job2,14987000,14987000,905793544,905793544,0.996417,0.944852,1,0.944923,1.0036,1,1,0,6.47387,0,BERTLARGE,1,379,905793544
Job3,333610000,333610000,238513630,238513630,0.999947,0.980947,1,0.98115,1.00005,1,1,0,5.57685,0,ResNeXt,1,358,238513630
Job4,337642000,337642000,29767420,29767420,1,1,1,1.00242,1,1,1,0,4,0,BERTLARGE,1,253,29767420
Job5,411449000,411449000,200828584,200828584,0.990744,0.899055,1,0.899345,1.00935,1,1,0,8.65172,0,BERTLARGE,1,348,200828584
Job6,423176000,423176000,2389013,2389013,1,1,0.413501,1.05755,1,1,1,0,5,0,ResNet50,8,88,2389013
Job7,428623000,428623000,252645374,252645374,0.987154,0.826967,1,0.827091,1.01302,1,1,0,10.8736,0,GPT2_SMALL,1,362,252645374
Job8,449352000,449352000,8692830,8692830,1,1,1,1.00583,1,1,1,0,6,0,ResNeXt,1,164,8692830
Job9,459376000,459376000,7989201,7989201,1,1,1,1.02568,1,1,1,0,6,0,GNMT,1,160,7989201
Job10,501790000,501790000,19294222,19294222,1,1,0.629188,1.00239,1,1,1,0,6.36303,0,GPT2_SMALL,4,228,19294222
Job11,514234000,514234000,146643635,146643635,0.977894,0.769749,1,0.770558,1.02264,1,1,0,13.534,0,GNMT,1,330,146643635
Job12,520930000,520930000,7467187,7467187,1,1,1,1.00742,1,1,1,0,7.02065,0,ResNet50,1,154,7467187
Job13,528694000,528694000,16155050,16155050,1,1,0.554024,1.00686,1,1,1,0,7.24198,0,ResNet50,4,209,16155050
Job14,543023000,543023000,4380383,4380383,1,1,1,1.04784,1,1,1,0,9.0456,0,GNMT,1,104,4380383
Job15,543736000,543736000,54957374,54957374,0.966284,0.759535,1,0.76164,1.03502,1,1,0,14.2804,0,GNMT,1,287,54957374
Job16,543879000,543879000,1775717,1775717,1,1,1,1.10475,1,1,1,0,9.54629,0,VGG19,1,80,1775717
