Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,1933120679,1470565417,0.865879,0.945634,0.638669,0.945694,1.15552,1,1,5,18.5346,0,ResNet50,16,1606,1469813373
Job2,90831000,90831000,1732498852,1240893495,0.923351,0.999837,0.663846,0.999865,1.0858,0.942402,0.716842,2,18.9772,0,GPT2_SMALL,16,1604,1237727154
Job3,625599000,625599000,2107202197,1397580910,1.08832,0.947503,0.980809,0.947536,0.921355,0.836288,0.508864,22,27.746,0,BERTLARGE,8,1605,1393805015
Job4,627118000,627118000,1313001503,786587198,1.21289,1.0706,1.14584,1.07078,0.834117,0.939643,0.81893,4,26.5291,0,GNMT,8,1576,777549872
Job5,864658000,864658000,1375490842,932740385,1.00631,0.892252,0.861578,0.892296,0.994173,1,1,4,30.8228,0,BERTLARGE,8,1596,932350085
Job6,907145000,907145000,524071630,524071630,1,0.594088,1,0.594136,1,1,1,0,33.9703,0,BERTLARGE,1,1544,524071630
Job7,907188000,907188000,533754634,533754634,1,0.591199,1,0.591229,1,1,1,0,34.0779,0,GPT2_SMALL,1,1547,533754634
Job8,907214000,907214000,566039950,566039950,1,0.584638,1,0.584669,1,1,1,0,34.3051,0,ResNeXt,1,1549,566039950
Job9,907234000,907234000,574216768,574216768,1,0.582851,1,0.582894,1,1,1,0,34.3667,0,BERTLARGE,1,1551,574216768
Job10,908373000,908373000,257371329,257371329,1,0.766246,1,0.766631,1,1,1,0,25.2301,0,VGG19,1,1429,257371329
Job11,911148000,911148000,38474432,38474432,1,1,1,1.00523,1,1,1,0,12.6638,0,GNMT,4,805,38474432
Job12,923812000,923812000,801322824,435756881,1.15679,1.04659,0.965872,1.04674,0.865073,1,1,2,34.2954,0,ResNeXt,8,1522,435489760
Job13,933311000,933311000,221402910,221402910,1,0.758501,1,0.758632,1,1,1,0,26.352,0,ResNeXt,1,1381,221402910
Job14,939432000,939432000,7925368,7925368,1,1,1,1.02589,1,1,1,0,15.4765,0,GNMT,4,369,7925368
Job15,939485000,939485000,3877411,3877411,1,1,1,1.01869,1,1,1,0,15.9876,0,BERTLARGE,4,294,3877411
Job16,939533000,939533000,51239187,51239187,1,0.942969,1,0.944205,1,1,1,0,18.3018,0,BERTLARGE,4,907,51239187
Job17,954744000,954744000,307863,307863,1,1,0.928983,7.26726,1,1,1,0,14,0,VGG19,16,160,307863
Job18,957461000,957461000,806553614,450211048,1.09506,0.997284,0.920893,0.997343,0.912933,0.933339,0.800018,5,35.0074,0,GPT2_SMALL,8,1527,450358838
Job19,957799000,957799000,859781146,429564724,1.22572,1.11428,1.04059,1.11444,0.817712,1,1,7,34.7019,0,ResNeXt,8,1519,428629270
Job20,957949000,957949000,969822294,447098575,1.34938,1.22245,1.15813,1.22252,0.741909,0.990904,0.972711,8,33.7514,0,GPT2_SMALL,8,1524,446617090
Job21,958206000,958206000,1036896326,450597154,1.4664,1.31981,1.25684,1.31989,0.682486,1,1,5,32.9829,0,GPT2_SMALL,8,1526,450256304
Job22,958789000,958789000,865062836,254624903,2.08053,1.89145,1.76822,1.89228,0.48205,1,1,3,34.6881,0,GNMT,8,1425,253961963
Job23,965408000,965408000,1228429625,567120315,1.40292,1.26046,1.1938,1.26072,0.713722,1,1,3,32.7033,0,GNMT,8,1550,566457497
Job24,973926000,973926000,216020735,216020735,0.78989,0.692234,0.608954,0.692405,1.26609,1,1,0,29.563,0,BERTLARGE,8,1376,216020735
Job25,976273000,976293000,108414,88414,1.20234,1.21848,0.762223,2.64905,0.850979,1,1,0,21,0,GPT2_SMALL,16,59,88414
Job26,979275000,979295000,36632058,36612058,0.484643,0.746251,0.366555,0.748233,2.06717,1,1,0,24.6218,0,ResNet50,16,789,36612058
Job27,980335000,980355000,71370839,71350839,0.453045,0.743902,0.340827,0.744911,2.20949,1,1,0,26.4455,0,ResNet50,16,1036,71350839
Job28,980386000,980406000,62118024,62098024,0.454384,0.739533,0.343815,0.739956,2.20171,1,1,0,26.1986,0,GPT2_SMALL,16,993,62098024
Job29,983159000,983179000,174572659,174552659,0.806535,0.707864,0.615559,0.708438,1.24015,1,1,0,29.258,0,GNMT,8,1315,174552659
Job30,988785000,990772187,939446567,370314293,1.54574,1.41041,1.33604,1.41058,0.647162,1,1,1,34.191,0,BERTLARGE,8,1491,370216925
Job31,989062000,1015907058,1001724130,414917529,1.50892,1.36679,1.30081,1.36703,0.663045,1,1,1,33.4245,0,ResNet50,8,1515,414766792
Job32,1017595000,1017595000,77558990,77558990,1,0.741506,1,0.741863,1,1,1,0,29.1581,0,ResNeXt,1,1056,77558990
Job33,1018516000,1018536000,65904630,65884630,1.0003,0.738284,1.0003,0.738665,0.999697,1,1,0,29.1551,0,GPT2_SMALL,4,1015,65884630
Job34,1018786000,1018786000,76782056,76782056,1,0.740977,1,0.741552,1,1,1,0,29.2182,0,ResNeXt,4,1052,76782056
Job35,1026555000,1042504024,20763020,4813996,4.31305,3.18681,4.31305,3.20949,0.231854,1,1,0,29.0571,0,GPT2_SMALL,4,317,4813996
Job36,1026912000,1026912000,7364910,7364910,1,0.723353,1,0.726948,1,1,1,0,29.863,0,ResNeXt,1,358,7364910
Job37,1027921000,1042504024,22773782,8190758,2.78042,2.07358,2.78042,2.09456,0.359657,1,1,0,28.9253,0,ResNet50,4,374,8190758
Job38,1047577000,1047577000,13041443,13041443,1,0.734721,1,0.739303,1,1,1,0,29.5213,0,ResNet50,4,441,13041443
Job39,1050302000,1051705839,1576092,172253,6.77977,8.27498,5.914,26.0663,0.265048,1,1,0,29.0753,0,ResNet50,16,116,172253
Job40,1051024000,1051878092,28701666,27847574,0.410737,0.744675,0.309482,0.745604,2.43718,1,1,0,30.009,0,GPT2_SMALL,16,673,27847574
Job41,1051258000,1051278000,834573206,300652665,1.62083,1.50617,1.42369,1.50638,0.617234,1,1,1,35.1118,0,BERTLARGE,8,1453,300555170
