max schd: 0.038822, max dp: 0.025109, max job: 96
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,1868878748,1380809388,1.01456,1.16106,0.833322,1.16115,0.990789,0.857282,0.71829,12,1.10307,15.8009,14.8792,6,12,1.35347,0,359,359,0,0,ResNet50,16,8,1606,1356586176,0.066
Job2,90831000,90831000,1439238166,1234606517,0.941247,1.03167,0.773792,1.0317,1.07199,0.958993,0.820737,36,1.3223,15.0373,14.5569,3,36,1.16575,0,122,122,0,0,GPT2_SMALL,16,16,1603,1149976432,0.072
Job3,625599000,625599000,2450791320,1442418603,1.63562,1.50024,1.47734,1.50027,0.596737,0.652944,0.360796,68,1.65249,7.12042,22.7016,17,68,1.69908,0,156,156,0,0,BERTLARGE,8,16,1605,1315358096,0.142
Job4,627118000,627118000,1290371799,1020283332,1.24092,1.13015,1.21348,1.13028,0.80877,0.810842,0.47653,33,1.72006,7.07382,21.2932,5,33,1.26472,0,295,295,0,0,GNMT,8,8,1590,898926304,0.142
Job5,864658000,864658000,1437882147,952117173,1.39725,1.27553,1.18885,1.27558,0.697283,0.611397,0.289892,32,1.5481,7.20282,24.7431,8,32,1.51019,0,125,125,0,0,BERTLARGE,8,16,1587,879878800,0.142
Job6,907145000,907145000,506172125,506172125,1.00002,0.662652,1.00002,0.662683,1,1,1,1,1,1,31.0505,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1540,506161080,1
Job7,907188000,907188000,523002530,523002530,1.00069,0.663088,1.00069,0.663117,1,1,1,1,1,1,31.02,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,1542,522643920,1
Job8,907214000,907214000,558111300,558111300,1.00068,0.662802,1.00068,0.662861,1,1,1,1,1,1,30.8779,0,1,1,0,0,0,0,0,ResNeXt,1,32,1547,557729400,1
Job9,907234000,907234000,554517500,554517500,1.00002,0.662567,1.00002,0.662594,1,1,1,1,1,1,30.8844,0,1,1,0,0,0,0,0,BERTLARGE,1,128,1545,554505400,1
Job10,908373000,908373000,258348822,258348822,1.0003,0.771976,1.0003,0.772137,1,1,1,1,1,1,24.9522,0,1,1,0,0,0,0,0,VGG19,1,32,1429,258271312,1
Job11,911148000,911148000,41637978,41637978,1.00035,1.00035,1.00035,1.00325,1,1,1,1,1,4,12.771,0,1,1,0,0,0,0,0,GNMT,4,16,838,41623248,0.259
Job12,923812000,923812000,459546185,459467375,0.735801,0.665667,0.577665,0.665739,1.36239,0.972779,0.945558,5,1.01439,7.94246,31.4688,0,5,1.00017,0,1,1,0,0,ResNeXt,8,4,1526,455067636,0.13
Job13,933311000,933311000,218319943,218319943,1.00068,0.771713,1.00068,0.771918,1,1,1,1,1,1,25.8206,0,1,1,0,0,0,0,0,ResNeXt,1,32,1376,218170584,1
Job14,939432000,939432000,8519428,8519428,1.00035,1.00035,1.00035,1.01465,1,1,1,1,1,4,15.4014,0,1,1,0,0,0,0,0,GNMT,4,16,376,8516448,0.259
Job15,939485000,939485000,3520858,3520858,1.00008,1.00008,1.00008,1.01012,1,1,1,1,1,4,15.9864,0,1,1,0,0,0,0,0,BERTLARGE,4,32,286,3520568,0.264
Job16,939533000,939533000,46432972,46432972,1.00008,0.968892,1.00008,0.9696,1,1,1,1,1,4,17.7027,0,1,1,0,0,0,0,0,BERTLARGE,4,32,874,46429112,0.264
Job17,954744000,954744000,185244,185244,1,1,0.857869,3.3532,1,1,1,1,1,16,14,0,1,1,0,0,0,0,0,VGG19,16,2,88,185244,0.075
Job18,957461000,957461000,412580610,412580610,0.712154,0.644976,0.549695,0.645015,1.40458,1,1,1,1,8,32.7551,0,1,1,0,0,0,0,0,GPT2_SMALL,8,32,1516,412476440,0.139
Job19,957799000,957799000,620237158,471353719,1.01715,0.924975,0.815852,0.925079,0.984528,1,1,8,1.37233,7.61232,30.5539,4,8,1.31586,0,0,0,0,0,ResNeXt,8,4,1525,447900900,0.13
Job20,957949000,957949000,409182696,409182696,0.71322,0.645721,0.550127,0.64576,1.40248,1,1,1,1,8,32.7294,0,1,1,0,0,0,0,0,GPT2_SMALL,8,32,1513,409079384,0.139
