Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,2434007879,1472876548,1.17514,1.36457,0.875646,1.36467,0.852758,0.939507,0.735143,9,17.0213,0,ResNet50,16,1606,1469813373
Job2,90831000,90831000,1746442765,1240915931,1.006,1.16103,0.806357,1.16106,0.996613,0.944228,0.721142,3,15.749,0,GPT2_SMALL,16,1604,1237727154
Job3,625599000,625599000,2921457735,1397522357,1.76809,1.58589,1.53908,1.58596,0.567096,0.890556,0.736061,29,24.5141,0,BERTLARGE,8,1605,1393805015
Job4,627118000,627118000,870509497,777992128,0.909274,0.829116,0.905172,0.829273,1.10046,1,1,2,22.2643,0,GNMT,8,1576,777549872
Job5,864658000,864658000,1491041610,934142070,1.3592,1.21858,1.15549,1.21866,0.737151,0.862462,0.587386,9,24.913,0,BERTLARGE,8,1596,932350085
Job6,907145000,907145000,524071630,524071630,1,0.660522,1,0.660582,1,1,1,0,31.1451,0,BERTLARGE,1,1544,524071630
Job7,907188000,907188000,533754634,533754634,1,0.660334,1,0.660372,1,1,1,0,31.1351,0,GPT2_SMALL,1,1547,533754634
Job8,907214000,907214000,566039950,566039950,1,0.658763,1,0.658801,1,1,1,0,31.0698,0,ResNeXt,1,1549,566039950
Job9,907234000,907234000,574216768,574216768,1,0.658515,1,0.658569,1,1,1,0,31.0382,0,BERTLARGE,1,1551,574216768
Job10,908373000,908373000,257371329,257371329,1,0.770303,1,0.770691,1,1,1,0,25.0084,0,VGG19,1,1429,257371329
Job11,911148000,911148000,38474432,38474432,1,1,1,1.00523,1,1,1,0,12.6638,0,GNMT,4,805,38474432
Job12,923812000,923812000,435489760,435489760,0.738352,0.664933,0.578042,0.665048,1.35446,1,1,0,31.143,0,ResNeXt,8,1522,435489760
Job13,933311000,933311000,221402910,221402910,1,0.763127,1,0.76326,1,1,1,0,26.0942,0,ResNeXt,1,1381,221402910
Job14,939432000,939432000,7925368,7925368,1,1,1,1.02589,1,1,1,0,15.4765,0,GNMT,4,369,7925368
Job15,939485000,939485000,3877411,3877411,1,1,1,1.01869,1,1,1,0,15.9876,0,BERTLARGE,4,294,3877411
